Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Beta-sitosterol,222284,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Chaulmoogric acid,441446,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,C1CC(C=C1)CCCCCCCCCCCCC(=O)O,C18H32O2,280.45,13,2,1,87.82,37.3,3.95,6.98,5.72,4.17,5.21,-5.12,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.607,No,No,1.524,2.987,No,Yes,0.903,-1.048
Flacourtin,13889568,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,C1=CC=C(C=C1)C(=O)OCC2C(C(C(C(O2)OC3=CC(=C(C=C3)CO)O)O)O)O,C20H22O9,406.38,7,9,5,98.38,145.91,2.54,0.75,-0.22,-0.33,0.59,-2.68,Low,No,No,No,No,No,No,0,0,0.55,0,No,-0.109,No,No,2.068,3.455,No,No,0.291,3.211
Hydnocarpic acid,164601,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,C1CC(C=C1)CCCCCCCCCCC(=O)O,C16H28O2,252.39,11,2,1,78.21,37.3,3.52,5.9,4.94,3.69,4.49,-4.4,High,Yes,Yes,Yes,Yes,No,No,0,0,0.85,0,No,-0.449,No,No,1.561,2.841,No,Yes,1.002,-0.543
Jangomolide,14240958,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,CC1(C2CC(=O)C3(C(C24C=CC(=O)OC4O1)CCC5(C36C(O6)C(=O)OC5C7=COC=C7)C)C)C,C26H28O8,468.5,1,8,0,115.7,104.57,2.63,2.41,2.94,1.78,2.64,-4.31,High,No,No,No,No,No,No,0,0,0.55,0,No,-0.645,No,No,3.416,1.958,No,No,0.286,0.45
Limonin,179651,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,CC1(C2CC(=O)C3(C(C24COC(=O)CC4O1)CCC5(C36C(O6)C(=O)OC5C7=COC=C7)C)C)C,C26H30O8,470.51,1,8,0,116.17,104.57,2.87,1.77,2.81,1.45,2.55,-3.92,High,No,No,No,No,No,No,0,0,0.55,0,No,-0.508,No,No,3.452,1.911,No,No,0.286,0.446
Luteolin,5280445,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,1.73,-3.71,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.455,2.409,No,No,0.326,3.169
Ostruthin,5281420,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,CC(=CCCC(=CCC1=C(C=C2C(=C1)C=CC(=O)O2)O)C)C,C19H22O3,298.38,5,3,1,91.79,50.44,3.59,5.34,4.73,3.51,4.46,-5.06,High,Yes,Yes,Yes,Yes,No,No,0,0,0.55,0,No,0.651,No,No,2.012,1.753,No,No,1.712,-0.417
Quercetin,5280343,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
Ramontoside,131684,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,COC1C(COC(C1OC)OC2=C3COC(=O)C3=C(C4=CC(=C(C=C42)OC)OC)C5=CC6=C(C=C5)OCO6)OC7C(C(C(C(O7)CO)O)O)O,C34H38O16,702.66,10,16,4,167.78,199.52,4.09,1.37,0.72,-1.34,1.27,-4.64,Low,No,No,No,No,No,No,2,3,0.17,0,No,0.441,No,Yes,3.176,3.82,No,No,0.285,1.552
Rutin,5280805,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,610.52,6,16,10,141.38,269.43,1.58,-0.33,-1.69,-3.89,-1.29,-3.3,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.452,No,Yes,2.491,3.673,No,No,0.285,7.677
Tremulacin,442544,Coffee Plum,Flacourita jangomas,DOI: 10.22159/ijpps.2018v10i3.23998,C1CC(=O)C(C=C1)(C(=O)OCC2=CC=CC=C2OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=CC=CC=C4)O,C27H28O11,528.5,10,11,4,128.94,169.05,3.93,1.69,0.27,-0.06,1.39,-3.76,Low,No,No,No,No,No,No,2,1,0.17,0,No,-0.209,No,Yes,2.733,3.236,No,No,0.285,3.134
