Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"3,4-Di-O-caffeoylquinic acid",5281780,Governor's Plum,Flacourtia indica ,DOI: 10.1016/j.foodres.2014.03.036,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.25,1.52,0.81,-0.35,0.78,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.626,4.131,No,No,0.285,4.942
"3,5-Di-O-caffeoylquinic acid",6474310,Governor's Plum,Flacourtia indica ,DOI: 10.1016/j.foodres.2014.03.036,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.05,1.52,0.81,-0.35,0.74,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.643,4.374,No,No,0.285,5.538
3-O-caffeoylquinic acid,1794427,Governor's Plum,Flacourtia indica ,DOI: 10.1016/j.foodres.2014.03.036,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
3-O-Caffeoylshikimic acid,10131826,Governor's Plum,Flacourtia indica ,DOI: 10.1016/j.foodres.2014.03.036,C1C(C(C(C=C1C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H16O8,336.29,5,8,5,81.83,144.52,1.26,0.23,0.05,-0.35,0.21,-1.92,Low,No,No,No,No,No,No,0,0,0.56,1,No,-0.47,No,No,2.068,2.747,No,No,0.288,3.561
3-O-Feruloylquinic acid,9799386,Governor's Plum,Flacourtia indica ,DOI: 10.1016/j.foodres.2014.03.036,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)O)O,C17H20O9,368.34,6,9,5,87.97,153.75,1.47,-0.1,-0.45,-0.81,0.01,-1.84,Low,No,No,No,No,No,No,0,1,0.11,0,No,1.285,No,No,2.025,4.485,No,No,0.285,4.876
3-p-Coumaroylquinic acid,9945785,Governor's Plum,Flacourtia indica ,DOI: 10.1016/j.foodres.2014.03.036,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC=C(C=C2)O)O)O,C16H18O8,338.31,5,8,5,81.48,144.52,0.88,-0.07,-0.46,-0.54,-0.07,-1.75,Low,No,No,No,No,No,No,0,1,0.56,0,No,-0.09,No,No,1.737,2.508,No,No,0.285,4.611
"4,5-Di-O-caffeoylquinic acid",6474309,Governor's Plum,Flacourtia indica ,DOI: 10.1016/j.foodres.2014.03.036,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.25,1.52,0.81,-0.35,0.78,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.626,4.131,No,No,0.285,4.942
4-O-caffeoylquinic acid,9798666,Governor's Plum,Flacourtia indica ,DOI: 10.1016/j.foodres.2014.03.036,C1C(C(C(CC1(C(=O)O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,1.23,-0.42,-0.75,-1.05,-0.32,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.002,No,No,2.073,3.463,No,No,0.285,5.803
5-O-caffeoylquinic acid,5280633,Governor's Plum,Flacourtia indica ,DOI: 10.1016/j.foodres.2014.03.036,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
5-O-Caffeoylquinic acid methyl ester,54585255,Governor's Plum,Flacourtia indica ,PMID: 19413117,COC(=O)C1(CC(C(C(C1)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O)O,C17H20O9,368.34,6,9,5,87.82,153.75,0.87,-0.1,-0.67,-0.81,-0.15,-1.84,Low,No,No,No,No,No,No,0,1,0.55,1,No,-0.312,No,No,1.844,2.403,No,No,0.286,3.938
