Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(+)-trans-Limonene oxide,449290,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CC(=C)C1CCC2(C(C1)O2)C,C10H16O,152.23,1,1,0,46.6,12.53,2.63,3.2,2.52,2.3,2.71,-2.73,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.639,No,No,1.758,1.964,No,Yes,0.209,1.64
(E)-2-Hydroxy-4'-cyano-stilbene,5376331,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,C1=CC=C(C(=C1)C=CC2=CC=C(C=C2)C#N)O,C15H11NO,221.25,2,2,1,68.55,44.02,2.33,3.55,3.22,2.78,3.09,-3.84,High,Yes,Yes,Yes,Yes,No,No,0,0,0.55,0,Yes,0.788,No,No,2.091,1.121,No,Yes,1.647,0.89
"1,4-Dimethoxybenzene",9016,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,COC1=CC=C(C=C1)OC,C8H10O2,138.16,2,2,0,39.43,18.46,2.16,2.04,1.7,1.48,1.84,-2.29,High,Yes,Yes,No,No,No,No,0,2,0.55,0,No,1.177,No,No,1.916,2.296,No,Yes,0.07,1.56
1-Octanol,957,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CCCCCCCCO,C8H18O,130.23,6,1,1,41.73,20.23,2.51,3.0,2.34,2.22,2.44,-2.14,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.723,No,No,1.679,1.981,No,Yes,0.207,1.193
1-Undecanol,8184,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CCCCCCCCCCCO,C11H24O,172.31,9,1,1,56.15,20.23,3.28,4.59,3.51,3.13,3.59,-3.21,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.402,No,No,1.59,2.235,No,Yes,1.765,0.346
"2,6,6-Trimethyl-bicyclo[3.1.1]heptane, trans",91015300,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CC1CCC2CC1C2(C)C,C10H18,138.25,0,0,0,45.7,0.0,2.68,3.9,3.08,4.43,3.38,-3.15,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.238,No,No,1.626,2.255,No,No,0.644,1.088
"2,6-Dimethyl-2,4,6-octatriene",5368821,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CC=C(C)C=CC=C(C)C,C10H16,136.23,2,0,0,48.76,0.0,2.93,4.2,3.48,3.56,3.37,-3.2,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.709,No,No,1.665,2.456,No,No,0.732,0.742
2-Cyclohexen-1-OL,13198,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,C1CC=CC(C1)O,C6H10O,98.14,0,1,1,29.53,20.23,1.59,0.98,1.09,1.0,1.17,-1.07,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.105,No,No,2.017,1.658,No,Yes,-1.202,2.63
2-Heptanol,10976,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CCCCCC(C)O,C7H16O,116.2,4,1,1,36.92,20.23,2.29,2.31,1.95,1.89,1.99,-1.75,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.913,No,No,1.787,1.895,No,Yes,-0.488,1.658
2-Heptene,11611,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CCCCC=CC,C7H14,98.19,3,0,0,35.29,0.0,2.53,3.18,2.75,3.72,2.85,-2.25,Low,Yes,No,No,No,No,No,0,2,0.55,0,No,0.773,No,No,1.752,2.306,No,Yes,0.007,1.127
2-Methoxycyclohexanone,110998,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,COC1CCCCC1=O,C7H12O2,128.17,1,2,0,34.93,26.3,1.65,0.74,1.14,0.42,1.12,-1.03,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.925,No,No,1.928,2.178,Yes,Yes,-0.679,2.429
3-Carene,26049,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CC1=CCC2C(C1)C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.38,3.0,4.29,3.42,-3.44,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.674,No,No,1.804,2.258,No,No,0.411,1.23
3'-Methoxypropiophenone,584765,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CCC(=O)C1=CC(=CC=C1)OC,C10H12O2,164.2,3,2,0,47.94,26.3,2.24,2.31,2.29,1.74,2.22,-2.49,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,1.215,No,No,1.771,2.361,No,Yes,0.561,0.928
4-carene,530422,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CC1CC2C(C2(C)C)C=C1,C10H16,136.23,0,0,0,45.22,0.0,2.63,3.26,2.85,4.29,3.09,-2.74,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.608,No,No,1.747,2.192,No,No,0.393,1.326
4-fluorohistamine,68584299,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,C1=NC=NC1(CCN)F,C5H8FN3,129.14,2,4,1,40.85,50.74,1.1,-0.81,-0.23,-0.29,0.28,0.0,High,No,No,No,No,No,No,0,2,0.55,0,No,0.821,No,No,2.739,1.054,No,No,-0.433,2.705
4'-Methoxyacetophenone,7476,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CC(=O)C1=CC=C(C=C1)OC,C9H10O2,150.17,2,2,0,43.13,26.3,1.93,1.74,1.9,1.44,1.83,-2.14,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,1.187,No,No,1.755,2.499,No,No,0.263,1.293
4-Methoxyphenylacetone,31231,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CC(=O)CC1=CC=C(C=C1)OC,C10H12O2,164.2,3,2,0,47.71,26.3,2.03,1.61,1.83,1.74,1.94,-2.04,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,1.092,No,No,1.83,2.416,No,Yes,0.332,1.376
5-Methyl-2-heptanol,41143,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CCC(C)CCC(C)O,C8H18O,130.23,4,1,1,41.73,20.23,2.47,2.56,2.19,2.22,2.25,-2.0,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.98,No,No,1.834,1.906,No,Yes,-0.154,1.518
Allantoic acid,203,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,C(C(=O)O)(NC(=O)N)NC(=O)N,C4H8N4O4,176.13,5,4,5,35.31,147.54,-1.09,-2.56,-2.27,-2.24,-2.29,1.01,Low,No,No,No,No,No,No,0,2,0.56,0,No,1.474,No,No,1.707,3.259,No,No,0.285,4.771
alpha-PINENE,6654,Fennel,Foeniculum vulgare Mill.,PMID: 25162032,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
