Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(E)-2-Nonenal,5283335,Soybean,Glycine max,DOI: 10.1016/j.foodres.2012.10.025,CCCCCCC=CC=O,C9H16O,140.22,6,1,0,45.1,17.07,2.43,3.15,2.71,2.28,2.66,-2.3,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.519,No,No,1.745,2.117,No,Yes,1.231,0.775
(E)-2-Octenal,5283324,Soybean,Glycine max,DOI: 10.1016/j.foodres.2012.10.025,CCCCCC=CC=O,C8H14O,126.2,5,1,0,40.3,17.07,2.21,2.61,2.32,1.97,2.27,-1.94,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.63,No,No,1.822,2.032,No,Yes,1.016,1.052
"(E, E)-2,4-Heptadienal",5283321,Soybean,Glycine max,DOI: 10.1016/j.foodres.2012.10.025,CCC=CC=CC=O,C7H10O,110.15,3,1,0,35.02,17.07,1.83,1.62,1.71,1.54,1.67,-1.35,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,0.776,No,No,1.909,1.895,No,Yes,0.778,1.466
"(E, Z)-2,6-nonadienal",643731,Soybean,Glycine max,DOI: 10.1016/j.foodres.2012.10.025,CCC=CCCC=CC=O,C9H14O,138.21,5,1,0,44.63,17.07,2.3,2.21,2.49,2.19,2.34,-1.76,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.527,No,No,1.75,2.064,No,Yes,1.162,0.902
2-Methyl-butanal,7284,Soybean,Glycine max,DOI: 10.1016/j.foodres.2012.10.025,CCC(C)C=O,C5H10O,86.13,2,1,0,26.35,17.07,1.52,1.24,1.23,1.01,1.2,-1.02,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.009,No,No,1.88,1.788,No,No,-0.645,1.954
5-O-Caffeoylquinic acid,5280633,Soybean,Glycine max,DOI: 10.1016/j.foodres.2012.10.025,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Aconitic acid,643757,Soybean,Glycine max,DOI: 10.1016/j.foodres.2012.10.025,C(C(=CC(=O)O)C(=O)O)C(=O)O,C6H6O6,174.11,4,6,3,35.8,111.9,-0.13,-0.97,-0.44,-0.77,-0.68,-0.04,High,No,No,No,No,No,No,0,3,0.56,0,No,0.583,No,No,2.138,2.959,No,No,0.285,3.659
Benzaldehyde,240,Soybean,Glycine max,DOI: 10.1016/j.foodres.2012.10.025,C1=CC=C(C=C1)C=O,C7H6O,106.12,1,1,0,31.83,17.07,1.36,1.48,1.5,1.45,1.57,-1.92,High,Yes,Yes,No,No,No,No,0,3,0.55,0,No,0.997,No,No,1.803,1.959,No,No,-0.285,1.724
Beta-Ionone,638014,Soybean,Glycine max,DOI: 10.1016/j.foodres.2012.10.025,CC1=C(C(CCC1)(C)C)C=CC(=O)C,C13H20O,192.3,2,1,0,61.48,17.07,2.77,2.91,3.66,2.94,3.22,-2.73,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.416,No,No,1.678,1.277,No,Yes,1.148,0.883
Beta-Sitosterol,222284,Soybean,Glycine max,DOI: 10.1016/j.foodres.2012.10.025,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
