Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"2,5-dimethoxy-3-methyl-9H-carbazole",11207217,Katphala,Glycosmis arborea ,PMID: 15387647,CC1=CC2=C(C=C1OC)NC3=C2C(=CC=C3)OC,C15H15NO2,241.29,2,2,1,73.75,34.25,2.54,3.69,3.65,2.35,3.25,-4.06,High,Yes,Yes,Yes,No,Yes,Yes,0,0,0.55,0,Yes,0.257,No,No,2.897,1.317,No,No,1.326,0.867
"2,6-Dimethoxy-3-methyl-9H-carbazole",147297,Katphala,Glycosmis arborea ,PMID: 15387647,CC1=CC2=C(C=C1OC)NC3=C2C=C(C=C3)OC,C15H15NO2,241.29,2,2,1,73.75,34.25,2.59,3.69,3.65,2.35,3.27,-4.06,High,Yes,Yes,Yes,No,Yes,Yes,0,0,0.55,0,Yes,0.257,No,No,2.897,1.317,No,No,1.326,0.867
"4,8-dimethoxyfuro[2,3-b]quinoline",107936,Katphala,Glycosmis arborea ,PMID: 15387647,COC1=CC=CC2=C1N=C3C(=C2OC)C=CO3,C13H11NO3,229.23,2,4,0,64.5,44.49,2.52,2.87,3.0,1.65,2.59,-3.5,High,Yes,Yes,Yes,No,Yes,Yes,0,0,0.55,0,Yes,-0.049,No,No,2.439,1.995,No,No,0.533,0.936
Arborine,63123,Katphala,Glycosmis arborea ,PMID: 15387647,CN1C2=CC=CC=C2C(=O)N=C1CC3=CC=CC=C3,C16H14N2O,250.3,2,2,0,76.72,34.89,2.33,2.47,2.52,3.13,2.77,-3.44,High,Yes,Yes,Yes,No,No,No,0,0,0.55,0,Yes,0.371,No,No,1.826,1.642,No,No,0.829,-0.088
Arborinine,5281832,Katphala,Glycosmis arborea ,PMID: 15387647,CN1C2=CC=CC=C2C(=O)C3=C(C(=C(C=C31)OC)OC)O,C16H15NO4,285.29,2,4,1,81.98,60.69,2.68,3.25,2.41,1.07,2.4,-4.02,High,Yes,Yes,No,Yes,Yes,Yes,0,0,0.55,0,Yes,0.135,No,No,1.874,1.408,No,No,0.732,0.523
glybomine B,11208660,Katphala,Glycosmis arborea ,PMID: 15387647,CC1=CC2=C(C=C1O)NC3=C2C(=C(C=C3)OC)CC=C(C)C,C19H21NO2,295.38,3,2,2,93.01,45.25,2.98,5.29,4.85,3.24,4.32,-5.24,High,Yes,Yes,Yes,Yes,Yes,No,0,0,0.55,0,Yes,0.141,No,Yes,1.91,1.298,Yes,No,0.647,-0.195
glybomine C,11357993,Katphala,Glycosmis arborea ,PMID: 15387647,CC1=CC2=C(C=C1O)NC3=C2C(=C(C=C3)O)CC=C(C)C,C18H19NO2,281.35,2,2,3,88.54,56.25,2.62,4.97,4.55,3.0,3.97,-5.04,High,Yes,Yes,Yes,No,Yes,No,0,0,0.55,0,Yes,0.351,No,Yes,2.065,1.073,No,No,0.375,0.255
Glycoborinine,10446329,Katphala,Glycosmis arborea ,PMID: 15387647,CC1=CC2=C(C=C1O)NC3=C2C4=C(C=C3)OC(C=C4)(C)C,C18H17NO2,279.33,0,2,2,86.91,45.25,2.8,4.32,4.41,3.0,3.79,-4.75,High,Yes,Yes,Yes,No,Yes,No,0,0,0.55,0,Yes,-0.198,No,Yes,2.179,1.093,No,No,0.909,0.265
Isodictamnine,442913,Katphala,Glycosmis arborea ,PMID: 15387647,CN1C2=CC=CC=C2C(=O)C3=C1OC=C3,C12H9NO2,199.21,0,2,0,59.24,35.14,2.21,2.51,2.28,1.62,2.22,-3.3,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,-0.653,No,No,1.895,0.983,No,No,0.574,0.613
Iso-gamma-fagarine,927945,Katphala,Glycosmis arborea ,PMID: 15387647,CN1C2=C(C=CC=C2OC)C(=O)C3=C1OC=C3,C13H11NO3,229.23,1,3,0,65.73,44.37,2.45,2.48,2.29,1.31,2.19,-3.32,High,Yes,Yes,No,No,No,Yes,0,0,0.55,0,Yes,-0.471,No,No,2.045,1.661,No,No,0.624,1.331
