Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,4-Piperazinediethanol",67151,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1CN(CCN1CCO)CCO,C8H18N2O2,174.24,4,4,2,54.4,46.94,1.83,-1.29,-2.17,-0.83,-0.54,0.16,Low,No,No,No,No,No,No,0,1,0.55,0,No,1.164,No,No,1.47,2.203,Yes,Yes,-0.762,3.847
2(1H)-Naphthalenone,11400841,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1C(=O)C=CC2=CC=CC=C21,C10H8O,144.17,0,1,0,44.39,17.07,1.78,1.87,1.72,1.92,1.99,-2.32,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.805,No,No,1.911,1.893,No,Yes,0.512,1.555
2-Propenoic acid,6581,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C=CC(=O)O,C3H4O2,72.06,1,2,1,17.83,37.3,0.85,0.35,0.26,-0.08,0.23,-0.44,High,No,No,No,No,No,No,0,3,0.85,0,No,1.044,No,No,1.74,2.613,No,No,-0.873,2.519
"3,5-Di-t-butylphenol",70825,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC(C)(C)C1=CC(=CC(=C1)O)C(C)(C)C,C3H4O2,72.06,1,2,1,17.83,37.3,0.85,0.35,0.26,-0.08,0.23,-0.44,High,No,No,No,No,No,No,0,3,0.85,0,No,0.409,No,No,2.346,1.736,No,Yes,1.667,-0.108
3-Phosphoglycerate,724,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C(C(C(=O)O)O)OP(=O)(O)O,C3H7O7P,186.06,4,7,4,31.54,134.1,-0.85,-2.61,-1.46,-2.62,-1.84,0.91,Low,No,No,No,No,No,No,0,3,0.56,0,No,1.186,No,No,1.461,3.158,No,No,0.285,4.045
4-Aminobutanoate,5460232,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C(CC(=O)[O-])CN,C4H8NO2-,102.11,3,3,1,23.88,66.15,0.72,-3.17,-1.52,-0.39,-0.99,1.72,High,No,No,No,No,No,No,0,4,0.55,0,No,1.252,No,No,1.665,0.467,No,No,-0.764,2.863
4-Methoxychalcone,641819,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,COC1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,C16H14O2,238.28,4,2,0,72.74,26.3,2.83,3.05,3.48,3.03,3.27,-3.47,High,Yes,Yes,Yes,No,Yes,No,0,0,0.55,0,No,0.897,No,No,1.929,2.363,No,Yes,1.12,0.075
6-Phosphogluconic acid,91493,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O,C6H13O10P,276.14,7,10,7,49.45,194.79,-1.15,-4.46,-3.38,-3.72,-3.15,1.72,Low,No,No,No,No,No,No,1,1,0.11,0,No,1.461,No,No,1.491,4.305,No,No,0.285,7.491
Acenocoumarol,54676537,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,C19H15NO6,353.33,5,6,1,97.4,113.33,2.05,1.98,3.52,1.55,2.26,-3.4,High,No,Yes,No,Yes,No,No,0,0,0.55,0,Yes,0.067,No,Yes,2.379,1.833,Yes,No,0.398,-0.529
Alanine,5950,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC(C(=O)O)N,C3H7NO2,89.09,1,3,2,21.01,63.32,0.33,-2.96,-0.58,-3.06,-1.46,1.54,High,No,No,No,No,No,No,0,4,0.55,0,No,1.118,No,No,1.994,2.799,No,No,0.086,3.123
