Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"11-Hexadecen-1-ol, acetate, (Z)",5364711,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CCCCC=CCCCCCCCCCCOC(=O)C,C18H34O2,282.46,15,2,0,89.45,26.3,4.57,6.93,5.81,4.57,5.59,-4.97,High,Yes,Yes,No,No,No,No,1,1,0.55,0,No,1.496,No,Yes,1.88,2.897,No,Yes,2.016,-2.061
5-methyltridecane,520182,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CCCCCCCCC(C)CCCC,C14H30,198.39,10,0,0,69.41,0.0,4.12,7.51,5.56,5.93,5.66,-5.14,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,1.754,No,No,2.039,3.116,No,Yes,1.627,-0.054
Alpha-Amyrin,73170,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C,C30H50O,426.72,0,1,1,135.14,20.23,4.77,9.01,8.02,6.92,7.05,-8.16,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.208,No,Yes,2.577,1.866,No,No,0.706,-0.277
Alpha-Copaene,19725,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CC1=CCC2C3C1C2(CCC3C(C)C)C,C15H24,204.35,1,0,0,67.14,0.0,3.4,4.47,4.27,5.65,4.3,-3.86,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,0.864,No,No,2.185,2.514,No,No,1.187,0.807
Alpha-Tocopherol,14985,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,C29H50O2,430.71,12,2,1,139.27,29.46,5.92,10.7,8.84,6.14,8.27,-8.6,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.462,No,Yes,2.7,2.312,No,No,1.515,-1.069
Arachidic acid,10467,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CCCCCCCCCCCCCCCCCCCC(=O)O,C20H40O2,312.53,18,2,1,100.03,37.3,4.56,9.29,7.11,5.13,6.62,-6.44,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,1.404,No,Yes,2.366,2.973,No,Yes,1.691,-0.856
"Cadina-1(10),4-diene",10223,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CC1=CC2C(CCC(=C2CC1)C)C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.32,3.8,4.73,4.63,4.12,-3.43,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,1.237,No,No,2.037,2.61,No,Yes,1.738,0.683
Caryophyllene,5281515,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,1.226,No,No,2.018,2.581,No,Yes,1.76,0.731
Caryophyllene oxide,1742210,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,C15H24O,220.35,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,3.68,-3.45,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.954,No,No,1.795,2.282,No,Yes,1.695,0.962
Ethyl palmitate,12366,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CCCCCCCCCCCCCCCC(=O)OCC,C18H36O2,284.48,16,2,0,89.92,26.3,4.65,7.88,6.03,4.67,5.9,-5.51,High,No,Yes,No,No,No,No,1,1,0.55,0,No,1.482,No,Yes,2.329,2.75,No,Yes,2.098,-0.413
Glycerol Beta-palmitate,123409,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CCCCCCCCCCCCCCCC(=O)OC(CO)CO,C19H38O4,330.5,18,4,2,97.06,66.76,4.5,6.14,4.36,3.18,4.72,-4.57,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,1.354,No,Yes,2.176,2.217,No,Yes,1.681,-0.045
Heneicosane,12403,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CCCCCCCCCCCCCCCCCCCCC,C21H44,296.57,18,0,0,103.06,0.0,5.85,10.99,8.44,7.6,8.26,-7.41,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,1.441,No,Yes,2.243,3.326,No,Yes,1.54,-1.295
"Heptacosane, 1-chloro",545593,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CCCCCCCCCCCCCCCCCCCCCCCCCCCCl,C27H55Cl,415.18,25,0,0,136.7,0.0,7.33,14.98,11.0,8.14,10.62,-10.2,Low,No,No,No,No,No,No,1,3,0.55,0,No,1.181,No,Yes,2.819,3.231,No,Yes,0.496,-2.54
Humulene,5281520,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,1.419,No,No,1.96,2.645,No,Yes,1.784,0.643
Humulene epoxide,5352470,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CC1=CCCC2(C(O2)CC(C=CC1)(C)C)C,C15H24O,220.35,0,1,0,69.91,12.53,3.1,3.91,4.25,3.56,3.72,-3.67,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,1.148,No,No,1.751,2.347,No,Yes,1.965,0.873
Lauric acid,3893,Levant cotton,Gossypium herbaceum,DOI: 10.1016/j.ccmp.2021.100008,CCCCCCCCCCCC(=O)O,C12H24O2,200.32,10,2,1,61.57,37.3,2.7,4.2,3.99,3.15,3.51,-3.07,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.759,No,No,2.13,2.801,No,Yes,1.302,0.466
