Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
1-Docosene,74138,Falsa,Grewia bulot,DOI: 10.22146ijc.84619,CCCCCCCCCCCCCCCCCCCCC=C,C22H44,308.58,19,0,0,107.39,0.0,6.02,12.2,8.6,7.67,8.67,-8.19,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.109,No,Yes,1.611,1.098,No,Yes,0.614,-2.775
1-Eicosene,18936,Falsa,Grewia bulot,DOI: 10.22146ijc.84619,CCCCCCCCCCCCCCCCCCC=C,C20H40,280.53,17,0,0,97.78,0.0,5.53,11.12,7.82,7.23,7.94,-7.46,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.023,No,Yes,1.555,1.159,No,Yes,0.937,-2.293
1-Hexadecene,12395,Falsa,Grewia bulot,DOI: 10.22146ijc.84619,CCCCCCCCCCCCCCC=C,C16H32,224.43,13,0,0,78.55,0.0,4.61,8.95,6.26,6.29,6.46,-6.01,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.131,No,No,1.484,1.289,No,Yes,1.841,-1.33
1-Octadecene,8217,Falsa,Grewia bulot,DOI: 10.22146ijc.84619,CCCCCCCCCCCCCCCCC=C,C18H36,252.48,15,0,0,88.17,0.0,5.05,10.03,7.04,6.77,7.2,-6.73,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.057,No,Yes,1.51,1.222,No,Yes,1.386,-1.811
2-Methoxy-4-vinylphenol,332,Falsa,Grewia bulot,DOI: 10.22146ijc.84619,COC1=C(C=CC(=C1)C=C)O,C9H10O2,150.17,2,2,1,45.05,29.46,2.14,2.81,1.93,1.71,2.14,-2.81,High,Yes,Yes,No,No,No,No,0,1,0.55,0,Yes,1.067,No,No,2.076,2.019,No,Yes,0.071,1.957
2-tert-Butoxyethanol,24232,Falsa,Grewia bulot,DOI: 10.22146ijc.84619,CC(C)(C)OCCO,C6H14O2,118.17,3,2,1,33.24,29.46,2.02,0.39,0.79,0.61,0.88,-0.62,High,Yes,No,No,No,No,No,0,2,0.55,0,No,1.106,No,No,1.659,2.482,No,Yes,-0.558,2.129
"3,7,11,15-Tetramethyl-2-hexadecen-1-ol",5366244,Falsa,Grewia bulot,DOI: 10.22146ijc.84619,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,C20H40O,296.53,13,1,1,98.94,20.23,4.71,8.19,6.36,5.25,6.22,-5.98,Low,No,No,No,Yes,No,No,1,1,0.55,0,No,0.05,No,Yes,1.607,1.043,No,Yes,1.884,-1.504
Dihydroactinidiolide,27209,Falsa,Grewia bulot,DOI: 10.22146ijc.84619,CC1(CCCC2(C1=CC(=O)O2)C)C,C11H16O2,180.24,0,2,0,51.35,26.3,2.29,2.16,2.44,2.37,2.41,-2.32,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.641,No,No,2.018,1.935,No,Yes,0.022,1.499
Docosane,12405,Falsa,Grewia bulot,DOI: 10.22146ijc.84619,CCCCCCCCCCCCCCCCCCCCCC,C22H46,310.6,19,0,0,107.87,0.0,6.17,11.53,8.83,7.82,8.64,-7.78,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.101,No,Yes,1.637,1.117,No,Yes,0.607,-2.854
Dodecane,8182,Falsa,Grewia bulot,DOI: 10.22146ijc.84619,CCCCCCCCCCCC,C12H26,170.33,9,0,0,59.8,0.0,3.82,6.1,4.93,5.4,4.94,-4.15,Low,No,Yes,No,No,No,No,1,0,0.55,0,No,0.324,No,No,1.566,1.45,No,Yes,1.898,-0.41
