Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"2,2,6-Trimethylcyclohexanone",17000,Gumweeds,Grindelia squarrosa,PMID: 31965918,CC1CCCC(C1=O)(C)C,C9H16O,140.22,0,1,0,43.2,17.07,2.19,2.44,2.4,2.0,2.32,-2.25,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.848,No,No,1.891,2.017,No,Yes,0.087,1.653
3-Methyl-2-cyclohexen-1-on,14511,Gumweeds,Grindelia squarrosa,PMID: 31965918,CC1=CC(=O)CCC1,C7H10O,110.15,0,1,0,33.38,17.07,1.75,0.81,1.69,1.24,1.53,-1.03,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.941,No,No,1.957,1.876,No,Yes,-0.495,2.08
Beta-Selinene,442393,Gumweeds,Grindelia squarrosa,PMID: 31965918,CC(=C)C1CCC2(CCCC(=C)C2C1)C,C15H24,204.35,1,0,0,68.78,0.0,3.28,5.44,4.73,4.63,4.5,-4.47,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,Yes,-0.03,No,No,1.581,1.511,No,Yes,1.736,-0.078
Bornyl Acetate,6448,Gumweeds,Grindelia squarrosa,PMID: 31965918,CC(=O)OC1CC2CCC1(C2(C)C)C,C12H20O2,196.29,2,2,0,56.33,26.3,2.5,4.3,2.76,2.76,3.0,-3.63,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.526,No,No,1.904,1.875,No,Yes,0.557,1.593
Camphene,92221,Gumweeds,Grindelia squarrosa,PMID: 31965918,CC1(C2CCC(C2)C1=C)C,C10H16,136.23,0,0,0,45.22,0.0,2.58,4.22,3.0,4.29,3.43,-3.34,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.305,No,No,1.554,2.247,No,No,0.533,1.19
Camphor,2537,Gumweeds,Grindelia squarrosa,PMID: 31965918,CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
Carvone,16724,Gumweeds,Grindelia squarrosa,PMID: 31965918,CC1=CCC(CC1=O)C(=C)C,C10H14O,150.22,1,1,0,47.32,17.07,2.27,2.71,2.49,2.1,2.44,-2.41,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.775,No,No,1.86,1.972,No,Yes,0.41,1.445
Caryophyllene oxide,1742210,Gumweeds,Grindelia squarrosa,PMID: 31965918,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,C15H24O,220.35,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,3.68,-3.45,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.148,No,No,1.548,1.224,No,Yes,1.079,0.955
"Cis-p-Mentha-2,8-dien-1-ol",11105550,Gumweeds,Grindelia squarrosa,PMID: 31965918,CC(=C)C1CCC(C=C1)(C)O,C10H16O,152.23,1,1,1,48.32,20.23,2.43,2.4,2.28,2.2,2.27,-2.23,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.885,1.872,No,Yes,-0.035,1.938
Dihydro agarofuran,6427117,Gumweeds,Grindelia squarrosa,PMID: 31965918,CC1CCCC2(C13CC(CC2)C(O3)(C)C)C,C15H26O,222.37,0,1,0,68.78,9.23,3.15,3.93,4.16,3.81,3.8,-3.69,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.299,No,No,1.811,1.192,No,Yes,0.918,0.925
