Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(+)-Cubenene,50986185,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC1CCC(C2C1=CCC(=C2)C)C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.39,4.46,4.58,4.63,4.16,-3.85,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.023,No,No,1.506,1.473,No,Yes,1.731,0.037
"1,2,4-Trimethylbenzene",7247,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC1=CC(=C(C=C1)C)C,C9H12,120.19,0,0,0,41.34,0.0,2.28,3.63,2.61,4.17,3.19,-3.37,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.869,No,No,1.827,2.208,No,No,0.253,1.213
"1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol",64685,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC1(C2CCC1(C(C2)O)C)C,C10H18O,154.25,0,1,1,46.6,20.23,2.29,2.72,2.19,2.45,2.38,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.577,No,No,1.707,1.877,No,Yes,0.175,1.727
2-Hexenal,5281168,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CCCC=CC=O,C6H10O,98.14,3,1,0,30.68,17.07,1.74,1.52,1.54,1.28,1.5,-1.21,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,0.867,No,No,1.988,1.87,No,Yes,0.685,1.634
2-Nonenal,5283335,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CCCCCCC=CC=O,C9H16O,140.22,6,1,0,45.1,17.07,2.43,3.15,2.71,2.28,2.66,-2.3,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.519,No,No,1.745,2.117,No,Yes,1.231,0.775
"6,10,14-Trimethylpentadecan-2-one",10408,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC(C)CCCC(C)CCCC(C)CCCC(=O)C,C18H36O,268.48,12,1,0,88.84,17.07,4.39,6.95,6.01,4.79,5.66,-5.09,High,No,No,No,Yes,No,No,1,1,0.55,0,No,0.244,No,No,1.532,1.094,No,Yes,2.14,-1.478
6-Methyl-5-hepten-2-one,9862,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC(=CCCC(=O)C)C,C8H14O,126.2,3,1,0,40.3,17.07,2.23,1.88,2.32,1.97,2.07,-1.61,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.766,No,No,1.735,2.024,No,Yes,0.053,1.4
Apiole (parsley),10659,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,COC1=C2C(=C(C(=C1)CC=C)OC)OCO2,C12H14O4,222.24,4,4,0,59.59,36.92,2.85,2.75,2.16,1.4,2.44,-2.96,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,0.561,No,No,2.303,1.853,No,No,1.049,1.928
Benzaldehyde,240,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,C1=CC=C(C=C1)C=O,C7H6O,106.12,1,1,0,31.83,17.07,1.36,1.48,1.5,1.45,1.57,-1.92,High,Yes,Yes,No,No,No,No,0,3,0.55,0,No,0.997,No,No,1.803,1.959,No,No,-0.285,1.724
beta-Ionone,638014,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC1=C(C(CCC1)(C)C)C=CC(=O)C,C13H20O,192.3,2,1,0,61.48,17.07,2.77,2.91,3.66,2.94,3.22,-2.73,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.416,No,No,1.678,1.277,No,Yes,1.148,0.883
Bicyclogermacrene,13894537,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC1=CCCC(=CC2C(C2(C)C)CC1)C,C15H24,204.35,0,0,0,68.78,0.0,3.34,4.14,4.73,4.63,4.15,-3.72,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.334,No,No,1.646,1.386,No,Yes,1.338,0.595
"cis-Muurola-4(14),5-diene",51351709,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC1CCC(C2=CC(=C)CCC12)C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.33,4.7,4.58,4.63,4.25,-4.0,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.127,No,No,1.56,1.409,No,Yes,1.721,-0.03
Damascenone,5366074,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC=CC(=O)C1=C(C=CCC1(C)C)C,C13H18O,190.28,2,1,0,61.01,17.07,2.74,3.18,3.43,2.85,3.12,-2.89,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.593,No,No,1.772,1.232,No,Yes,1.136,0.97
Decanal,8175,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CCCCCCCCCC=O,C10H20O,156.27,8,1,0,50.38,17.07,2.72,3.8,3.33,2.7,3.17,-2.67,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.423,No,No,1.577,2.254,No,Yes,1.238,0.366
Docosane,12405,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CCCCCCCCCCCCCCCCCCCCCC,C22H46,310.6,19,0,0,107.87,0.0,6.17,11.53,8.83,7.82,8.64,-7.78,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.101,No,Yes,1.637,1.117,No,Yes,0.607,-2.854
Dodecanal,8194,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CCCCCCCCCCCC=O,C12H24O,184.32,10,1,0,60.0,17.07,3.22,4.89,4.11,3.27,3.94,-3.4,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.273,No,No,1.523,1.298,No,Yes,1.926,-0.198
Eicosane,8222,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CCCCCCCCCCCCCCCCCCCC,C20H42,282.55,17,0,0,98.25,0.0,5.64,10.45,8.05,7.38,7.9,-7.05,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.014,No,Yes,1.586,1.177,No,Yes,0.926,-2.372
Eugenol,3314,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,COC1=C(C=CC(=C1)CC=C)O,C10H12O2,164.2,3,2,1,49.06,29.46,2.37,2.27,2.13,2.01,2.25,-2.46,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,1.024,No,No,2.118,2.049,No,Yes,0.3,1.702
Heptadecane,12398,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CCCCCCCCCCCCCCCCC,C17H36,240.47,14,0,0,83.83,0.0,4.91,8.82,6.88,6.68,6.79,-5.96,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.103,No,No,1.529,1.273,No,Yes,1.609,-1.649
Heptanal,8130,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CCCCCCC=O,C7H14O,114.19,5,1,0,35.96,17.07,2.01,2.32,2.16,1.74,2.05,-1.68,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.723,No,No,1.703,1.999,No,Yes,-0.094,1.211
Hexadecane,11006,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CCCCCCCCCCCCCCCC,C16H34,226.44,13,0,0,79.03,0.0,4.67,8.28,6.49,6.44,6.42,-5.6,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.141,No,No,1.521,1.307,No,Yes,1.825,-1.409
Isophorone,6544,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC1=CC(=O)CC(C1)(C)C,C9H14O,138.21,0,1,0,42.73,17.07,2.09,1.7,2.32,1.89,2.11,-1.77,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.842,No,No,1.929,1.968,No,Yes,0.084,1.738
"Linalool, (+/-)-",6549,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.774,No,No,1.704,2.024,No,Yes,0.515,1.277
Linalyl oxide,22310,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC1(CCC(O1)C(C)(C)O)C=C,C10H18O2,170.25,2,2,1,49.92,29.46,2.45,2.43,1.88,1.38,2.05,-2.29,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.891,No,No,1.917,2.221,No,Yes,-0.049,1.972
Lycopsamine,107938,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC(C)C(C(C)O)(C(=O)OCC1=CCN2C1C(CC2)O)O,C15H25NO5,299.36,6,6,3,81.14,90.23,2.34,-0.44,-0.71,0.07,0.32,-1.02,High,No,No,No,No,No,No,0,1,0.55,0,No,0.633,No,No,2.267,2.402,Yes,No,0.166,3.61
Mesitylene,7947,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC1=CC(=CC(=C1)C)C,C9H12,120.19,0,0,0,41.34,0.0,2.34,3.42,2.61,4.17,3.16,-3.23,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.869,No,No,1.827,2.208,No,No,0.253,1.213
Methyl Salicylate,4133,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,COC(=O)C1=CC=CC=C1O,C8H8O3,152.15,2,3,1,39.74,46.53,2.03,2.55,1.18,1.32,1.66,-2.66,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,0.769,No,No,1.764,2.305,No,No,0.367,1.778
Naphthalene,931,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,C1=CC=C2C=CC=CC2=C1,C10H8,128.17,0,0,0,43.95,0.0,1.99,3.3,2.84,4.26,3.1,-3.45,Low,Yes,Yes,No,No,No,No,1,2,0.55,0,No,0.703,No,No,1.942,2.345,No,Yes,0.584,0.52
Nerylacetone,1713001,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CC(=CCCC(=CCCC(=O)C)C)C,C13H22O,194.31,6,1,0,63.86,17.07,3.21,3.7,4.05,3.34,3.62,-2.98,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.266,No,No,1.559,1.284,No,Yes,1.684,0.269
Nonadecane,12401,Hatha Jodi,Heliotropium indicum L.,PMID: 19476009,CCCCCCCCCCCCCCCCCCC,C19H40,268.52,16,0,0,93.45,0.0,5.46,9.91,7.66,7.15,7.54,-6.69,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.027,No,Yes,1.563,1.208,No,Yes,1.137,-2.131
