Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,1,4,7-Tetramethyldecahydro-1H-cyclopropa[e]azulen-4-ol",101716,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC1CCC2C1C3C(C3(C)C)CCC2(C)O,C15H26O,222.37,0,1,1,68.82,20.23,3.08,3.74,3.47,3.81,3.42,-3.57,High,Yes,No,Yes,No,No,No,0,0,0.55,0,No,-0.193,No,No,1.615,1.187,No,Yes,1.369,1.063
"1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol",64685,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC1(C2CCC1(C(C2)O)C)C,C10H18O,154.25,0,1,1,46.6,20.23,2.29,2.72,2.19,2.45,2.38,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.577,No,No,1.707,1.877,No,Yes,0.175,1.727
"2,10-Epoxypinane",93046,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC1(C2CCC3(C1C2)CO3)C,C10H16O,152.23,0,1,0,44.7,12.53,2.47,2.06,2.21,2.45,2.42,-2.08,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.341,No,No,1.752,1.892,No,Yes,0.347,1.579
2-Hydroxy-4-methoxybenzaldehyde,69600,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,COC1=CC(=C(C=C1)C=O)O,C8H8O3,152.15,2,3,1,40.34,46.53,1.4,0.87,1.21,0.51,1.1,-1.6,High,Yes,No,No,No,No,No,0,2,0.55,0,No,1.314,No,No,1.911,2.02,No,No,-0.011,1.899
alpha-Terpinyl acetate,111037,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC1=CCC(CC1)C(C)(C)OC(=O)C,C12H20O2,196.29,3,2,0,58.53,26.3,2.93,3.96,3.07,2.65,3.04,-3.35,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.663,No,No,1.897,2.012,No,Yes,0.646,1.474
Beta-Elemene,6918391,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,C15H24,204.35,3,0,0,70.42,0.0,3.37,6.11,4.75,4.53,4.65,-4.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.058,No,No,1.535,1.309,No,Yes,1.901,0.118
beta-Selinene,442393,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC(=C)C1CCC2(CCCC(=C)C2C1)C,C15H24,204.35,1,0,0,68.78,0.0,3.28,5.44,4.73,4.63,4.5,-4.47,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,Yes,-0.03,No,No,1.581,1.511,No,Yes,1.736,-0.078
Beta-Sitosterol,222284,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
beta-Terpineol,8748,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC(=C)C1CCC(CC1)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.41,2.52,2.5,2.3,2.44,-2.32,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.923,1.945,No,Yes,-0.027,1.859
Bornyl acetate,6448,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC(=O)OC1CC2CCC1(C2(C)C)C,C12H20O2,196.29,2,2,0,56.33,26.3,2.5,4.3,2.76,2.76,3.0,-3.63,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.526,No,No,1.904,1.875,No,Yes,0.557,1.593
Camphor,2537,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
Dihydrocarvyl acetate,30248,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC1CCC(CC1OC(=O)C)C(=C)C,C12H20O2,196.29,3,2,0,58.49,26.3,2.98,3.78,2.93,2.65,2.97,-3.24,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.698,No,No,1.914,1.981,No,Yes,0.681,1.164
Isobornyl acetate,6950273,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC(=O)OC1CC2CCC1(C2(C)C)C,C12H20O2,196.29,2,2,0,56.33,26.3,2.5,4.3,2.76,2.76,3.0,-3.63,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.526,No,No,1.904,1.875,No,Yes,0.557,1.593
Isocaryophyllene,5281522,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Isovanillin,12127,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,COC1=C(C=C(C=C1)C=O)O,C8H8O3,152.15,2,3,1,40.34,46.53,1.44,0.97,1.21,0.51,1.12,-1.67,High,Yes,No,No,No,No,No,0,2,0.55,0,No,1.314,No,No,1.911,2.02,No,No,-0.011,1.899
Lauric Acid,3893,Anantmool,Hemidesmus indicus L.,DOI: doi.org/10.1002/ffj.985,CCCCCCCCCCCC(=O)O,C12H24O2,200.32,10,2,1,61.57,37.3,2.7,4.2,3.99,3.15,3.51,-3.07,High,Yes,No,No,No,No,No,0,0,0.85,0,No,-0.34,No,No,1.511,2.89,No,Yes,0.954,-0.084
