Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Alpha-Tocopherol,14985,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,C29H50O2,430.71,12,2,1,139.27,29.46,5.92,10.7,8.84,6.14,8.27,-8.6,Low,No,No,No,No,No,No,1,3,0.55,0,No,1.153,No,Yes,2.143,2.909,No,No,1.261,-3.237
Catechin,9064,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,Yes,0.547,No,No,2.39,1.501,No,No,1.147,1.796
Epicatechin,72276,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,Yes,0.547,No,No,2.39,1.501,No,No,1.147,1.796
Epigallocatechin,72277,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,C15H14O7,306.27,1,7,6,76.36,130.61,0.98,0.0,0.93,-0.29,0.42,-2.08,High,No,No,No,No,No,No,1,0,0.55,1,Yes,0.475,No,No,2.393,1.467,No,No,0.977,1.902
Ferulic acid,445858,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,Yes,1.502,No,No,2.105,2.753,No,No,0.548,1.649
Lutein,5281243,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C,C40H56O2,568.87,10,2,2,186.76,40.46,7.15,11.01,10.4,6.96,9.21,-9.64,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.07,No,Yes,2.554,1.712,Yes,No,0.656,-1.386
p-Coumaric acid,637542,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,C1=CC(=CC=C1C=CC(=O)O)O,C9H8O3,164.16,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.26,-2.02,High,Yes,No,No,No,No,No,0,0,0.85,0,Yes,1.624,No,No,1.965,2.882,No,No,0.005,1.696
Procyanidin B3,146798,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,C30H26O12,578.52,3,12,10,146.71,220.76,2.05,2.37,2.35,-0.26,1.53,-5.14,Low,No,No,No,No,No,Yes,3,2,0.17,1,No,-0.827,No,Yes,2.489,1.174,No,No,0.297,1.474
Procyanidin C2,11182062,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C(C(=CC(=C34)O)O)C5C(C(OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O,C45H38O18,866.77,5,18,15,219.09,331.14,1.87,3.31,3.47,-1.11,1.77,-7.39,Low,No,No,No,No,No,No,3,3,0.17,1,No,-0.769,No,Yes,1.822,0.637,No,No,0.285,1.152
Prodelphinidin B3,13831068,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C(=C5)O)O)O)O)O)O)C6=CC(=C(C(=C6)O)O)O)O,C30H26O14,610.52,3,14,12,150.76,261.22,1.78,1.66,1.76,-1.22,0.84,-4.88,Low,No,No,No,No,No,No,3,2,0.17,1,No,-0.733,No,Yes,2.236,1.106,No,No,0.289,1.687
saponarin,441381,Barley,Hordeum vulgare,PMID: 37396229,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)C5C(C(C(C(O5)CO)O)O)O)O)O,C27H30O15,594.52,6,15,10,138.73,260.2,1.99,-1.6,-2.76,-4.1,-1.65,-2.4,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.161,No,Yes,1.625,1.487,No,No,0.291,2.73
Vanillic acid,8468,Barley,Hordeum vulgare,DOI: 10.1002/(sici)1097-0010(199909)79:12<1625::aid-jsfa411>3.0.co;2-8,COC1=C(C=CC(=C1)C(=O)O)O,C8H8O4,168.15,2,4,2,41.92,66.76,1.4,1.43,1.1,0.74,1.08,-2.02,High,No,No,No,No,No,No,0,0,0.85,0,Yes,1.616,No,No,2.063,2.796,No,No,0.026,1.813
