Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"(1E,4Z)-germacrene B",15559495,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CCCC(=CCC(=C(C)C)CC1)C,C15H24,204.35,0,0,0,70.68,0.0,3.27,5.77,5.18,4.53,4.6,-4.74,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.494,No,No,1.73,1.416,No,Yes,1.478,0.511
"(R,R)-1-isopropyl-4-methyl-3-(prop-1-en-2-yl)-4-vinylcyclohexene",12309449,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC(C)C1=CC(C(CC1)(C)C=C)C(=C)C,C15H24,204.35,3,0,0,70.42,0.0,3.43,5.27,4.75,4.53,4.49,-4.23,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.388,No,No,1.516,1.359,No,Yes,1.928,-0.08
"1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol",64685,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1(C2CCC1(C(C2)O)C)C,C10H18O,154.25,0,1,1,46.6,20.23,2.29,2.72,2.19,2.45,2.38,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.577,No,No,1.707,1.877,No,Yes,0.175,1.727
1-Methyl-4-(prop-1-en-2-yl)benzene,62385,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CC=C(C=C1)C(=C)C,C10H12,132.2,1,0,0,46.31,0.0,2.43,3.69,3.03,4.38,3.37,-3.36,Low,Yes,No,No,No,Yes,No,1,1,0.55,0,No,0.83,No,No,1.839,2.292,No,Yes,0.441,1.253
1-Octen-3-OL,18827,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CCCCCC(C=C)O,C8H16O,128.21,5,1,1,41.26,20.23,2.33,2.55,2.11,2.07,2.21,-1.91,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.849,No,No,1.722,1.915,No,Yes,-0.017,1.413
2-Carene,79044,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CC2C(C2(C)C)CC1,C10H16,136.23,0,0,0,45.22,0.0,2.66,2.85,3.0,4.29,3.12,-2.48,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.609,No,No,1.771,2.258,No,No,0.389,1.289
"2-Cyclohexen-1-ol, 1-methyl-4-(1-methylethyl)-, cis-",526657,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC(C)C1CCC(C=C1)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.5,2.29,2.36,2.3,2.3,-2.17,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.797,No,No,1.756,1.938,No,Yes,0.163,1.643
"2-Penten-1-ol, 5-[(1S,5S,6R)-2,6-dimethylbicyclo[3.1.1]hept-2-en-6-yl]-2-methyl-, (2Z)-",73555482,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CCC2CC1C2(C)CCC=C(C)CO,C15H24O,220.35,4,1,1,69.94,20.23,2.98,5.2,3.7,3.56,3.82,-4.22,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.034,No,No,1.761,1.199,No,Yes,1.559,0.376
3-Carene,26049,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CCC2C(C1)C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.38,3.0,4.29,3.42,-3.44,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.674,No,No,1.804,2.258,No,No,0.411,1.23
"3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-, acetate",20960,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CCC(CC1)(C(C)C)OC(=O)C,C12H20O2,196.29,3,2,0,58.53,26.3,2.9,2.76,3.07,2.65,2.85,-2.6,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.599,No,No,1.811,2.123,No,Yes,0.794,1.219
"4-Terpineol, (+/-)-",11230,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CCC(CC1)(C(C)C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.26,2.5,2.3,2.6,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.857,No,No,1.811,2.02,No,Yes,0.189,1.545
"4-Thujanol, cis-(+/-)-",20055523,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC(C)C12CCC(C1C2)(C)O,C10H18O,154.25,1,1,1,46.9,20.23,2.47,2.12,2.19,2.45,2.33,-2.07,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.637,No,No,1.703,1.926,No,Yes,0.323,1.337
7-epi-alpha-Selinene,10123,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CCCC2(C1CC(CC2)C(=C)C)C,C15H24,204.35,1,0,0,68.78,0.0,3.31,5.2,4.73,4.63,4.4,-4.32,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.018,No,No,1.543,1.351,No,Yes,1.623,0.353
"Abieta-7,13-diene",443470,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC(C)C1=CC2=CCC3C(CCCC3(C2CC1)C)(C)C,C20H32,272.47,1,0,0,90.44,0.0,3.94,6.26,6.14,5.82,5.48,-5.41,Low,No,No,Yes,Yes,No,No,1,1,0.55,0,No,-0.309,No,Yes,1.361,1.255,No,No,1.739,-0.572
alpha-Muurolene,12306047,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CC2C(CC1)C(=CCC2C(C)C)C,C15H24,204.35,1,0,0,69.04,0.0,3.38,4.08,4.58,4.63,4.08,-3.61,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.129,No,No,1.53,1.382,No,Yes,1.622,0.365
alpha-PHELLANDRENE,7460,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.754,No,No,1.741,2.328,No,No,0.638,0.942
alpha-PINENE,6654,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
alpha-Terpinene,7462,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CC=C(CC1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.7,4.25,3.31,3.27,3.3,-3.3,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.756,No,No,1.766,2.394,No,No,0.627,0.906
Alpha-Terpineol,17100,Vilayati Tulsi,Hyptis suaveolens,DOI: 10.1080/10412905.2000.9699504,CC1=CCC(CC1)C(C)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.58,-2.87,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.923,1.945,No,Yes,0.008,1.8
