Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(+/-)-Taxifolin,471,Elecampane,Inula Helenium,PMID: 31965918,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H12O7,304.25,1,7,5,74.76,127.45,1.3,0.95,0.86,-0.64,0.63,-2.66,High,No,No,No,No,No,No,0,0,0.55,1,No,0.345,No,No,2.261,3.102,No,No,0.286,4.688
2-(((2-Ethylhexyl)oxy)carbonyl)benzoic acid,20393,Elecampane,Inula Helenium,PMID: 31965918,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)O,C16H22O4,278.34,9,4,1,78.33,63.6,2.91,4.0,3.76,3.43,3.55,-3.71,High,Yes,No,Yes,No,No,No,0,0,0.85,0,No,0.801,No,No,2.05,2.367,No,No,0.276,0.431
"3-(3,4-Dihydroxyphenyl)propionic acid",348154,Elecampane,Inula Helenium,PMID: 31965918,C1=CC(=C(C=C1CCC(=O)O)O)O,C9H10O4,182.17,3,4,3,46.84,77.76,0.86,-0.54,1.11,0.79,0.63,-0.77,High,No,No,No,No,No,No,0,0,0.56,1,No,1.114,No,No,2.358,2.113,Yes,No,0.292,2.195
"3,4,5-Tricaffeoylquinic acid",6440783,Elecampane,Inula Helenium,PMID: 31965918,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)OC(=O)C=CC4=CC(=C(C=C4)O)O,C34H30O15,678.59,13,15,8,170.29,257.81,1.87,3.47,2.38,0.16,1.98,-5.65,Low,No,No,No,No,No,No,3,3,0.11,1,No,0.45,No,Yes,2.511,5.618,No,No,0.285,5.014
3-O-Feruloylquinic acid,9799386,Elecampane,Inula Helenium,PMID: 31965918,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)O)O,C17H20O9,368.34,6,9,5,87.97,153.75,1.47,-0.1,-0.45,-0.81,0.01,-1.84,Low,No,No,No,No,No,No,0,1,0.11,0,No,1.285,No,No,2.025,4.485,No,No,0.285,4.876
4-Hydroxybenzoic acid,135,Elecampane,Inula Helenium,PMID: 31965918,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,1.05,-2.07,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.846,No,No,2.255,2.483,No,No,0.268,1.812
Alantolactone,72724,Elecampane,Inula Helenium,PMID: 31965918,CC1CCCC2(C1=CC3C(C2)OC(=O)C3=C)C,C15H20O2,232.32,0,2,0,67.95,26.3,2.77,3.38,3.24,3.35,3.2,-3.41,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.042,No,No,1.597,1.856,No,Yes,1.237,0.936
Alloalantolactone,474518,Elecampane,Inula Helenium,PMID: 31965918,CC1=C2CC3C(CC2(CCC1)C)OC(=O)C3=C,C15H20O2,232.32,0,2,0,67.95,26.3,2.64,3.04,3.38,3.35,3.21,-3.2,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.227,No,No,1.833,1.862,No,Yes,0.933,1.089
Carabrone,164879,Elecampane,Inula Helenium,PMID: 31965918,CC(=O)CCC1C2C1(CC3C(C2)C(=C)C(=O)O3)C,C15H20O3,248.32,3,3,0,68.63,43.37,2.62,2.05,2.5,2.47,2.56,-2.47,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.045,No,No,1.879,1.691,No,No,0.782,1.233
Dammadienol acetate,179610,Elecampane,Inula Helenium,PMID: 31965918,CC(=CCCC(=C)C1CCC2(C1CCC3C2(CCC4C3(CCC(C4(C)C)OC(=O)C)C)C)C)C,C32H52O2,468.75,6,2,0,146.78,26.3,5.31,10.54,8.91,6.98,7.94,-8.99,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.598,No,Yes,2.4,2.353,No,No,0.364,-2.235
Epicatechin,72276,Elecampane,Inula Helenium,PMID: 31965918,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Isoalantolactone,73285,Elecampane,Inula Helenium,PMID: 31965918,CC12CCCC(=C)C1CC3C(C2)OC(=O)C3=C,C15H20O2,232.32,0,2,0,67.95,26.3,2.76,3.42,3.24,3.35,3.26,-3.43,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.123,No,No,1.617,1.902,No,Yes,1.222,0.758
Isochlorogenic acid A,6474310,Elecampane,Inula Helenium,PMID: 31965918,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.05,1.52,0.81,-0.35,0.74,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.643,4.374,No,No,0.285,5.538
Isocostunolide,101006689,Elecampane,Inula Helenium,PMID: 31965918,CC1=CCC2C(C=C(CCC1)C)OC(=O)C2=C,C15H20O2,232.32,0,2,0,69.85,26.3,2.66,3.02,3.55,3.26,3.15,-3.18,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.411,No,No,1.862,1.86,No,Yes,1.119,1.167
Malonylgenistin,15934091,Elecampane,Inula Helenium,PMID: 31965918,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O)O,C24H22O13,518.42,8,13,6,122.43,213.42,1.57,0.58,0.08,-1.75,0.13,-3.21,Low,No,No,No,No,No,No,3,1,0.11,0,No,0.507,No,No,2.547,3.798,No,No,0.285,5.927
Phthalic acid,1017,Elecampane,Inula Helenium,PMID: 31965918,C1=CC=C(C(=C1)C(=O)O)C(=O)O,C8H6O4,166.13,2,4,2,40.36,74.6,0.6,0.73,1.08,1.2,0.84,-1.57,High,No,No,No,No,No,No,0,1,0.85,0,No,0.582,No,No,1.449,2.165,No,No,0.281,2.378
Quercetin-3-O-beta-glucopyranoside,15959354,Elecampane,Inula Helenium,PMID: 31965918,C1C(C(C(C(C1OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O)CO,C22H22O11,462.4,4,11,8,113.88,201.28,1.75,0.96,0.12,-2.02,0.17,-3.41,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.496,No,Yes,2.576,3.131,No,No,0.285,6.344
Quercetin-3-O-galactoside-7-O-glucoside,6453392,Elecampane,Inula Helenium,PMID: 31965918,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)O,C27H30O17,626.52,7,17,11,142.28,289.66,2.06,-1.44,-3.07,-4.62,-1.95,-2.62,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.384,No,Yes,2.484,6.467,No,No,0.285,10.645
