Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(Z)-9-Octadecenamide,5283387,Sweet Potato,Ipomoea batatas L.,DOI: 10.3897/pharmacia.70.e108922,CCCCCCCCC=CCCCCCCCC(=O)N,C18H35NO,281.48,15,1,1,91.07,43.09,4.22,6.99,5.51,4.16,5.32,-5.0,High,Yes,Yes,No,Yes,No,No,1,0,0.55,0,No,-0.265,No,Yes,1.805,0.92,No,Yes,1.481,-1.12
13-cis-beta-Carotene,10256668,Sweet Potato,Ipomoea batatas L.,DOI: 10.3897/pharmacia.70.e108922,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.79,13.54,12.61,8.96,11.11,-11.04,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.379,No,Yes,2.073,0.65,No,No,0.326,-4.028
"3,4-Dicaffeoylquinic acid",6474309,Sweet potato,Ipomoea batatas L.,PMID: 27234523,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.25,1.52,0.81,-0.35,0.78,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.626,4.131,No,No,0.285,4.942
"4,5-dicaffeoylquinic acid",6474309,Sweet Potato,Ipomoea batatas L.,DOI: 10.3897/pharmacia.70.e108922,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.25,1.52,0.81,-0.35,0.78,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.626,4.131,No,No,0.285,4.942
5-caffeoylquinic acid,5280633,Sweet Potato,Ipomoea batatas L.,DOI: 10.3897/pharmacia.70.e108922,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
apigenin,5280443,Sweet Potato,Ipomoea batatas L.,DOI: 10.3897/pharmacia.70.e108922,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
benzenesulfonic acid,7371,Sweet Potato,Ipomoea batatas L.,DOI: 10.3897/pharmacia.70.e108922,C1=CC=C(C=C1)S(=O)(=O)O,C6H6O3S,158.18,1,3,1,36.3,62.75,0.46,0.01,2.01,1.09,0.76,-1.2,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.691,No,No,2.0,2.598,No,No,0.19,1.563
Beta-carotene ,5280489,Sweet Potato,Ipomoea batatas L.,DOI: 10.3897/pharmacia.70.e108922,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.79,13.54,12.61,8.96,11.11,-11.04,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.379,No,Yes,2.073,0.65,No,No,0.326,-4.028
Beta-cryptoxanthin,5281235,Sweet Potato,Ipomoea batatas L.,DOI: 10.3897/pharmacia.70.e108922,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C,C40H56O,552.87,10,1,1,185.59,20.23,7.44,12.25,11.58,7.89,10.19,-10.33,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.657,No,Yes,2.233,0.517,No,No,0.334,-3.499
Caffeic Acid,689043,Sweet potato,Ipomoea batatas L.,PMID: 27234523,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
