Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"3,4-Dicaffeoylquinic acid",6474309,Rangan,Ixora coccinea L.,PMID: 25185927,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,C25H24O12,516.45,9,12,7,126.9,211.28,1.25,1.52,0.81,-0.35,0.78,-3.65,Low,No,No,No,No,No,No,3,1,0.11,1,No,0.393,No,No,2.626,4.131,No,No,0.285,4.942
5-O-caffeoylshikimate,25243950,Rangan,Ixora coccinea L.,PMID: 25185927,C1C(C(C(C=C1C(=O)[O-])O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O,C16H15O8-,335.29,5,8,4,79.89,147.35,0.33,0.23,-1.28,-0.35,-0.24,-1.92,Low,No,No,No,No,No,No,0,1,0.56,1,No,-0.231,No,No,1.711,2.199,No,No,0.24,4.651
Beta-Sitosterol,222284,Rangan,Ixora coccinea L.,PMID: 22231708,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Chlorogenic Acid,1794427,Rangan,Ixora coccinea L.,PMID: 22231708,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Cianidanol,9064,Rangan,Ixora coccinea L.,PMID: 22231708,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Cinnamtannin B1,475277,Rangan,Ixora coccinea L.,PMID: 25185927,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C3C(=CC5=C4C6C(C(O5)(OC7=CC(=CC(=C67)O)O)C8=CC(=C(C=C8)O)O)O)O)C9=CC(=C(C=C9)O)O)O)O)O)C1=CC(=C(C=C1)O)O)O,C45H36O18,864.76,4,18,14,216.52,320.14,0.99,3.33,3.49,-0.7,1.72,-7.46,Low,No,No,No,Yes,No,No,3,3,0.17,1,No,0.438,No,Yes,2.482,8.163,No,No,0.285,11.602
cis-Chlorogenic acid,1794425,Rangan,Ixora coccinea L.,PMID: 25185927,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Epicatechin,72276,Rangan,Ixora coccinea L.,PMID: 22231708,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Kaempferol,5280863,Rangan,Ixora coccinea L.,PMID: 22231708,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Linoleic Acid,5280450,Rangan,Ixora coccinea L.,PMID: 22231708,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.14,6.98,5.88,4.47,5.45,-5.05,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.827,No,No,1.429,3.187,Yes,Yes,0.701,-1.31
Lupeol,259846,Rangan,Ixora coccinea L.,PMID: 22231708,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,C30H50O,426.72,1,1,1,135.14,20.23,4.68,9.87,8.02,6.92,7.26,-8.64,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.502,No,Yes,2.563,0.89,No,No,0.316,-1.696
Mannitol,6251,Rangan,Ixora coccinea L.,PMID: 22231708,C(C(C(C(C(CO)O)O)O)O)O,C6H14O6,182.17,5,6,6,37.93,121.38,0.34,-3.1,-3.59,-2.77,-2.21,1.31,Low,No,No,No,No,No,No,1,2,0.55,0,No,2.19,No,No,1.637,4.25,No,No,0.285,5.763
Methyl chlorogenate,6476139,Rangan,Ixora coccinea L.,PMID: 25185927,COC(=O)C1(CC(C(C(C1)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O)O,C17H20O9,368.34,6,9,5,87.82,153.75,0.87,-0.1,-0.67,-0.81,-0.15,-1.84,Low,No,No,No,No,No,No,0,1,0.55,1,No,-0.312,No,No,1.844,2.403,No,No,0.286,3.938
Methyl linoleate,5284421,Rangan,Ixora coccinea L.,PMID: 25185927,CCCCCC=CCC=CCCCCCCCC(=O)OC,C19H34O2,294.47,15,2,0,93.78,26.3,4.61,6.82,5.97,4.7,5.69,-4.97,High,No,Yes,No,Yes,No,No,1,1,0.55,0,No,-0.019,No,No,1.617,3.004,No,Yes,1.603,-1.6
Methyl oleate,5364509,Rangan,Ixora coccinea L.,PMID: 22231708,CCCCCCCCC=CCCCCCCCC(=O)OC,C19H36O2,296.49,16,2,0,94.26,26.3,4.75,7.45,6.2,4.8,5.95,-5.32,High,No,Yes,No,No,No,No,1,1,0.55,0,No,0.04,No,No,1.637,3.075,No,Yes,1.529,-1.727
Methyl palmitate,8181,Rangan,Ixora coccinea L.,PMID: 22231708,CCCCCCCCCCCCCCCC(=O)OC,C17H34O2,270.45,15,2,0,85.12,26.3,4.41,7.38,5.64,4.44,5.54,-5.18,High,Yes,Yes,No,No,No,No,1,1,0.55,0,No,0.178,No,No,1.635,2.998,No,Yes,1.935,-1.373
Neochlorogenic acid,5280633,Rangan,Ixora coccinea L.,PMID: 22231708,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Octadecadienoic acid,5312457,Rangan,Ixora coccinea L.,PMID: 25185927,CCCCCCCCCCCCCC=CC=CC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.3,7.65,5.88,4.47,5.61,-5.47,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.827,No,No,1.429,3.187,No,Yes,0.701,-1.31
Oleanolic Acid,10494,Rangan,Ixora coccinea L.,PMID: 22231708,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,C30H48O3,456.7,1,3,2,136.65,57.53,3.89,7.49,7.23,5.82,6.06,-7.32,Low,No,No,No,No,No,No,1,3,0.85,0,No,0.203,No,No,2.349,2.085,Yes,No,0.285,-0.823
Oleic Acid,445639,Rangan,Ixora coccinea L.,PMID: 22231708,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,282.46,15,2,1,89.94,37.3,4.27,7.64,6.11,4.57,5.71,-5.41,High,No,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.81,No,No,1.417,3.259,No,Yes,0.676,-1.438
Procyanidin A2,124025,Rangan,Ixora coccinea L.,PMID: 25185927,C1C(C(OC2=C1C(=CC3=C2C4C(C(O3)(OC5=CC(=CC(=C45)O)O)C6=CC(=C(C=C6)O)O)O)O)C7=CC(=C(C=C7)O)O)O,C30H24O12,576.5,2,12,9,144.14,209.76,1.8,2.39,2.36,0.14,1.61,-5.21,Low,No,No,No,Yes,No,Yes,3,2,0.17,1,No,0.438,No,Yes,2.483,4.434,No,No,0.285,7.992
Quercetin,5280343,Rangan,Ixora coccinea L.,PMID: 22231708,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
"Quercetin 3,7-dirhamnoside",15953752,Rangan,Ixora coccinea L.,PMID: 25185927,CC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)OC4C(C(C(C(O4)C)O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O,C27H30O15,594.52,5,15,9,139.96,249.2,1.21,-0.44,-1.01,-3.16,-0.98,-3.2,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.494,No,Yes,2.531,3.337,No,No,0.285,8.678
Quercetin 3-galactoside 7-rhamnoside,14130922,Rangan,Ixora coccinea L.,PMID: 25185927,CC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)OC4C(C(C(C(O4)CO)O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O,C27H30O16,610.52,6,16,10,141.12,269.43,1.51,0.01,-2.04,-3.89,-1.3,-3.51,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.477,No,Yes,2.502,4.038,No,No,0.285,9.978
Quercetin 3-O-[6''-O-rhamnosyl)glucoside] 7-O-rhamnoside,44259269,Rangan,Ixora coccinea L.,PMID: 25185927,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)OC5C(C(C(C(O5)C)O)O)O)C6=CC(=C(C=C6)O)O)CO)O)O)O)O)O,C33H40O20,756.66,8,20,12,172.34,328.35,1.73,-2.04,-3.19,-5.22,-2.47,-2.94,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.425,No,Yes,2.48,4.948,No,No,0.285,9.179
quercetin 3-O-rhamnoside-7-O-glucoside,6325870,Rangan,Ixora coccinea L.,PMID: 25185927,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)C5=CC(=C(C=C5)O)O)O)O)O,C27H30O16,610.52,6,16,10,141.12,269.43,2.59,0.01,-2.04,-3.89,-1.09,-3.51,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.476,No,Yes,2.508,4.922,No,No,0.285,8.093
Rutin,5280805,Rangan,Ixora coccinea L.,PMID: 22231708,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,610.52,6,16,10,141.38,269.43,1.58,-0.33,-1.69,-3.89,-1.29,-3.3,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.452,No,Yes,2.491,3.673,No,No,0.285,7.677
