Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
afzelin,5316673,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O,C21H20O10,432.38,3,10,6,106.97,170.05,1.84,1.22,0.78,-1.34,0.6,-3.47,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.544,No,Yes,2.61,2.799,No,No,0.285,3.726
betulin,72326,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,C30H50O2,442.72,2,2,2,136.3,40.46,4.31,8.28,7.0,6.0,6.36,-7.67,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.794,No,Yes,2.699,2.172,Yes,No,0.315,-1.118
Betulinic Acid,64971,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,C30H48O3,456.7,2,3,2,136.91,57.53,3.79,8.21,7.09,5.82,6.13,-7.71,Low,No,No,No,Yes,No,No,1,3,0.85,0,No,0.144,No,No,2.256,2.206,Yes,No,0.285,-1.174
betulonic acid,122844,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,CC(=C)C1CCC2(C1C3CCC4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)C(=O)O,C30H46O3,454.68,2,3,1,135.95,54.37,3.62,7.89,7.3,5.73,6.17,-7.5,Low,No,No,No,Yes,No,No,1,3,0.85,0,No,0.378,No,No,2.215,2.037,No,No,0.285,-1.255
gallic acid,370,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
methyl gallate,7428,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,COC(=O)C1=CC(=C(C(=C1)O)O)O,C8H8O5,184.15,2,5,3,43.79,86.99,0.97,0.86,0.59,0.18,0.57,-1.73,High,No,No,No,No,No,No,0,0,0.55,1,Yes,-0.296,No,No,1.898,2.432,No,No,0.195,2.871
myricitrin,5281673,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O,C21H20O12,464.38,3,12,8,111.02,210.51,0.92,0.51,0.19,-2.32,-0.23,-3.2,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.454,No,Yes,2.537,3.386,No,No,0.285,5.997
protocatechuic acid,72,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.65,-1.86,High,No,No,No,No,No,Yes,0,3,0.56,1,No,0.814,No,No,2.423,2.021,No,No,0.273,2.451
quercetin,5280343,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
quercitrin,5280459,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,C21H20O11,448.38,3,11,7,109.0,190.28,1.27,0.86,0.49,-1.84,0.16,-3.33,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.495,No,No,2.586,3.022,No,No,0.285,4.954
squalene,638072,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,C30H50,410.72,15,0,0,143.48,0.0,6.37,11.58,10.6,7.93,9.38,-8.69,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.393,No,Yes,1.848,0.946,No,No,0.464,-3.485
Taxifolin,439533,Water primrose,Jussieua repens,DOI: 10.5281/zenodo.1214998,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H12O7,304.25,1,7,5,74.76,127.45,1.3,0.95,0.86,-0.64,0.63,-2.66,High,No,No,No,No,No,No,0,0,0.55,1,No,0.345,No,No,2.261,3.102,No,No,0.286,4.688
