Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Adhatodine,5316460,Malabar Nut,Justicia adhatoda,E-ISSN: 2278-778X,CNC1=C(C=C(C=C1)C2CCN3C2=NC4=CC=CC=C4C3)C(=O)OC,C20H21N3O2,335.4,4,3,1,106.02,53.93,3.2,3.08,2.44,3.18,3.07,-3.95,High,Yes,No,Yes,Yes,Yes,Yes,0,0,0.55,0,Yes,0.055,No,Yes,2.371,0.986,Yes,No,0.649,1.48
Anisotine,442884,Malabar Nut,Justicia adhatoda,E-ISSN: 2278-778X,CNC1=C(C=C(C=C1)C2CCN3C2=NC4=CC=CC=C4C3=O)C(=O)OC,C20H19N3O3,349.38,4,4,1,100.0,73.22,3.21,3.02,2.57,2.45,2.83,-4.1,High,Yes,Yes,No,Yes,Yes,Yes,0,0,0.55,0,No,0.158,No,No,2.268,1.758,Yes,No,0.386,1.992
Arachidic acid,10467,Malabar Nut,Justicia adhatoda,E-ISSN: 2278-778X,CCCCCCCCCCCCCCCCCCCC(=O)O,C20H40O2,312.53,18,2,1,100.03,37.3,4.56,9.29,7.11,5.13,6.62,-6.44,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.817,No,No,1.381,3.483,Yes,Yes,0.487,-2.046
Ascorbic Acid,54670067,Malabar Nut,Justicia adhatoda,E-ISSN: 2278-778X,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
Behenic Acid,12842714,Malabar Nut,Justicia adhatoda,E-ISSN: 2278-778X,CC1C(=O)CCC12CCCC2,C10H16O,152.23,0,1,0,45.9,17.07,2.15,2.66,2.55,2.3,2.52,-2.46,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.61,No,No,1.737,2.072,No,Yes,0.317,1.419
Beta Carotene,5280489,Malabar Nut,Justicia adhatoda,E-ISSN: 2278-778X,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.79,13.54,12.61,8.96,11.11,-11.04,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.379,No,Yes,2.073,0.65,No,No,0.326,-4.028
Beta Sitosterol,222284,Malabar Nut,Justicia adhatoda,E-ISSN: 2278-778X,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Betaine,247,Malabar Nut,Justicia adhatoda,E-ISSN: 2278-778X,C[N+](C)(C)CC(=O)[O-],C5H11NO2,117.15,2,2,0,28.35,40.13,-2.19,-0.13,-1.56,-3.67,-2.18,-0.35,Low,No,No,No,No,No,No,0,4,0.55,0,No,0.838,No,No,1.654,0.254,No,Yes,-0.057,2.97
Beta-Sitosterol-beta-D glucoside,12309055,Malabar Nut,Justicia adhatoda,E-ISSN: 2278-778X,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,C35H60O6,576.85,9,6,4,165.61,99.38,4.98,7.74,5.85,3.96,5.51,-7.7,Low,No,No,No,No,No,No,1,4,0.55,0,No,-0.887,No,No,2.571,3.293,No,No,0.285,-0.811
Cerotic acid,10469,Malabar Nut,Justicia adhatoda,E-ISSN: 2278-778X,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,C26H52O2,396.69,24,2,1,128.87,37.3,6.23,12.54,9.45,6.41,8.86,-8.62,Low,No,No,No,No,No,No,1,2,0.85,0,No,-0.651,No,No,1.405,3.953,Yes,Yes,0.299,-3.492
