Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(+)-delta-Cadinene,441005,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CC2C(CCC(=C2CC1)C)C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.32,3.8,4.73,4.63,4.12,-3.43,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.213,No,No,1.552,1.448,No,Yes,1.61,0.093
(E)-nuciferal,6429176,Raimuniya,Lantana aculeata L.,PMID: 11449493,CC1=CC=C(C=C1)CCCCC=C(C)C=O,C15H20O,216.32,6,1,0,69.75,17.07,3.03,4.22,3.85,3.68,3.9,-3.72,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.889,No,No,1.749,1.064,No,Yes,1.05,-0.336
(Z)-nuciferol,6429180,Raimuniya,Lantana aculeata L.,PMID: 11449493,CC1=CC=C(C=C1)CCCCC=C(C)CO,C15H22O,218.33,6,1,1,70.71,20.23,3.32,4.34,3.65,3.76,3.89,-3.81,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,0.875,No,No,2.044,1.073,No,Yes,1.645,-0.068
1-Octen-3-one,61346,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CCCCCC(=O)C=C,C8H14O,126.2,5,1,0,40.3,17.07,2.25,2.45,2.32,1.97,2.26,-1.84,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.739,No,No,1.721,1.986,No,Yes,0.203,1.157
3-Carene,26049,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CCC2C(C1)C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.38,3.0,4.29,3.42,-3.44,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.674,No,No,1.804,2.258,No,No,0.411,1.23
4-Terpineol,11230,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CCC(CC1)(C(C)C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.26,2.5,2.3,2.6,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.857,No,No,1.811,2.02,No,Yes,0.189,1.545
"4-Thujanol, cis-(+/-)-",20055523,Raimuniya,Lantana aculeata L.,PMID: 11449493,CC(C)C12CCC(C1C2)(C)O,C10H18O,154.25,1,1,1,46.9,20.23,2.47,2.12,2.19,2.45,2.33,-2.07,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.637,No,No,1.703,1.926,No,Yes,0.323,1.337
6-Epi-beta-bisabolol,12300148,Raimuniya,Lantana aculeata L.,PMID: 11449493,CC1=CCC(CC1)(C(C)CCC=C(C)C)O,C15H26O,222.37,4,1,1,72.36,20.23,3.54,5.04,4.23,3.56,4.07,-4.13,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.468,No,No,1.729,1.202,No,Yes,1.702,0.645
8-Epiloganin,10548420,Raimuniya,Lantana aculeata L.,PMID: 11449494,CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)O,C17H26O10,390.38,5,10,5,87.37,155.14,1.52,-1.39,-2.15,-1.76,-1.19,-1.05,Low,No,No,No,No,No,No,0,1,0.11,0,No,1.003,No,No,2.214,3.582,No,No,0.285,6.454
alpha-Cubebene,442359,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1CCC(C2C13C2C(=CC3)C)C(C)C,C15H24,204.35,1,0,0,67.14,0.0,3.41,4.47,4.27,5.65,4.31,-3.86,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.351,No,No,1.568,1.364,No,No,1.483,0.161
alpha-PHELLANDRENE,7460,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.754,No,No,1.741,2.328,No,No,0.638,0.942
alpha-PINENE,6654,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
