Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Alpha-Phellandrene,7460,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.008,CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,1.362,No,No,2.122,2.213,No,No,0.373,0.84
Alpha-Pinene,6654,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.004,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,1.34,No,No,1.987,2.661,No,No,0.722,1.238
alpha-Terpinene,7462,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.009,CC1=CC=C(CC1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.7,4.25,3.31,3.27,3.3,-3.3,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,1.732,No,No,1.822,2.754,No,No,0.494,1.101
alpha-Terpineol,17100,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.019,CC1=CCC(CC1)C(C)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.58,-2.87,High,Yes,No,No,No,No,No,0,1,0.55,0,No,1.67,No,No,1.827,2.506,No,Yes,0.441,1.313
beta-Caryophyllene,5281515,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.021,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,1.226,No,No,2.018,2.581,No,Yes,1.76,0.731
Beta-Myrcene,31253,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.007,CC(=CCCC(=C)C=C)C,C10H16,136.23,4,0,0,48.76,0.0,2.89,4.17,3.48,3.56,3.43,-3.05,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,1.934,No,No,1.764,2.875,No,No,0.414,0.905
Carvacrol,10364,lavender,Lavandula mairei ,DOI: 10.56499/jppres21.1200_10.2.227,CC1=C(C=C(C=C1)C(C)C)O,C10H14O,150.22,1,1,1,48.01,20.23,2.24,3.49,2.82,2.76,2.82,-3.31,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,1.678,No,No,1.895,2.585,No,Yes,0.454,1.281
Carvacrol methyl ether,80790,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.020,CC1=C(C=C(C=C1)C(C)C)OC,C11H16O,164.24,2,1,0,52.48,9.23,2.76,3.82,3.13,3.05,3.21,-3.5,High,Yes,Yes,No,No,Yes,No,0,0,0.55,0,No,1.626,No,No,1.958,2.502,No,Yes,0.983,1.127
Caryophyllene oxide,1742210,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.023,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,C15H24O,220.35,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,3.68,-3.45,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.954,No,No,1.795,2.282,No,Yes,1.695,0.962
cis-beta-Ocimene,5320250,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.012,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,1.927,No,No,1.758,2.846,No,No,0.422,0.953
Limonene,22311,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.011,CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,1.732,No,No,1.822,2.754,No,Yes,0.494,1.101
Linalool,6549,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.015,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,1.884,No,No,1.764,2.626,No,Yes,0.353,1.117
Manoyl oxide,6432025,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.024,CC1(CCCC2(C1CCC3(C2CCC(O3)(C)C=C)C)C)C,C20H34O,290.48,1,1,0,92.08,9.23,3.8,5.93,5.74,4.86,5.14,-5.31,Low,No,No,Yes,Yes,No,No,1,1,0.55,0,No,0.645,No,Yes,2.364,2.218,No,No,2.085,0.364
Octan-3-one,246728,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.006,CCCCCC(=O)CC,C8H16O,128.21,5,1,0,40.77,17.07,2.39,2.33,2.55,2.07,2.33,-1.77,High,Yes,No,No,No,No,No,0,1,0.55,0,No,1.994,No,No,1.81,2.781,No,Yes,-0.124,1.114
Octen-3-ol,18827,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.005,CCCCCC(C=C)O,C8H16O,128.21,5,1,1,41.26,20.23,2.33,2.55,2.11,2.07,2.21,-1.91,High,Yes,No,No,No,No,No,0,1,0.55,0,No,1.99,No,No,1.709,2.834,No,Yes,-0.259,1.224
p-Cymen-8-ol,14529,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.018,CC1=CC=C(C=C1)C(C)(C)O,C10H14O,150.22,1,1,1,47.03,20.23,2.17,1.99,2.11,2.49,2.25,-2.36,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,1.674,No,No,1.779,2.456,No,Yes,0.368,1.432
p-Cymene,7463,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.010,CC1=CC=C(C=C1)C(C)C,C10H14,134.22,1,0,0,45.99,0.0,2.51,4.1,3.12,4.47,3.5,-3.63,Low,Yes,No,No,No,Yes,No,1,1,0.55,0,No,1.733,No,No,1.79,2.719,No,Yes,0.458,1.174
"p-Mentha-1,8-dien-4-ol",527428,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.016,CC1=CCC(CC1)(C(=C)C)O,C10H16O,152.23,1,1,1,48.32,20.23,2.29,2.09,2.42,2.2,2.29,-2.03,High,Yes,No,No,No,No,No,0,1,0.55,0,No,1.672,No,No,1.815,2.494,No,Yes,0.414,1.356
Quercetin 3-glucuronide,12004528,lavender,Lavandula mairei ,DOI: 10.56499/jppres21.1200_10.2.227,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,C21H18O13,478.36,4,13,8,110.77,227.58,0.75,0.61,-0.45,-2.6,-0.55,-3.27,Low,No,No,No,No,No,No,2,1,0.11,1,No,-0.077,No,Yes,2.075,1.351,No,No,0.353,2.376
Spathulenol,92231,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.022,CC1(C2C1C3C(CCC3(C)O)C(=C)CC2)C,C15H24O,220.35,0,1,1,68.34,20.23,2.88,3.11,3.39,3.67,3.26,-3.17,High,Yes,No,Yes,No,No,No,0,0,0.55,0,No,0.944,No,No,2.072,2.224,No,No,1.567,1.11
Terpinen-4-ol,11230,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.017,CC1=CCC(CC1)(C(C)C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.26,2.5,2.3,2.6,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,1.67,No,No,1.827,2.506,No,Yes,0.441,1.313
Terpinolene,11463,lavender,Lavandula mairei ,DOI: 10.1016/j.bse.2017.11.014,CC1=CCC(=C(C)C)CC1,C10H16,136.23,0,0,0,47.12,0.0,2.71,4.47,3.45,3.27,3.4,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,1.723,No,No,1.836,2.757,No,No,0.579,1.113
