Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
2-Butoxysuccinic acid acid,71722049,Henna ,Lawsonia inermis L.,PMID: 24886774,CCCCOC(CC(=O)O)C(=O)O,C8H14O5,190.19,7,5,2,45.2,83.83,1.18,0.46,0.73,0.1,0.56,-0.85,High,No,No,No,No,No,No,0,0,0.56,0,No,0.603,No,No,1.926,2.432,No,No,0.268,2.679
"2-Hydroxy-1,4-naphthoquinone",6755,Henna ,Lawsonia inermis L.,PMID: 24886774,C1=CC=C2C(=C1)C(=CC(=O)C2=O)O,C10H6O3,174.15,0,3,1,46.39,54.37,0.83,0.85,1.35,0.03,0.96,-1.8,High,Yes,No,No,No,No,No,0,1,0.85,2,No,0.976,No,No,1.825,2.705,No,No,0.812,1.576
"2-Methoxy-3-methyl-1,4-naphthoquinone",79441,Henna ,Lawsonia inermis L.,PMID: 24886774,CC1=C(C(=O)C2=CC=CC=C2C1=O)OC,C12H10O3,202.21,1,3,0,54.94,43.37,1.96,2.14,1.99,0.61,1.88,-2.67,High,Yes,Yes,Yes,No,No,No,0,0,0.85,1,No,0.937,No,No,1.803,2.712,No,No,0.892,1.368
4-Hydroxybenzaldehyde,126,Henna ,Lawsonia inermis L.,PMID: 24886774,C1=CC(=CC=C1C=O)O,C7H6O2,122.12,1,2,1,33.85,37.3,0.99,1.35,1.2,0.79,1.17,-1.87,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.248,No,No,1.902,2.635,No,Yes,-0.133,1.883
7-Hydroxyflavone,5281894,Henna ,Lawsonia inermis L.,PMID: 24886774,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O,C15H10O3,238.24,1,3,1,69.94,50.44,2.22,3.62,3.17,1.66,2.84,-4.19,High,Yes,Yes,Yes,No,Yes,Yes,0,0,0.55,0,Yes,0.015,No,No,1.893,1.613,No,No,0.793,0.637
alpha-IONONE,5282108,Henna ,Lawsonia inermis L.,PMID: 24886774,CC1=CCCC(C1C=CC(=O)C)(C)C,C13H20O,192.3,2,1,0,61.48,17.07,2.81,3.85,3.51,2.94,3.31,-3.33,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.413,No,No,1.651,1.26,No,Yes,1.157,0.919
alpha-PINENE,6654,Henna ,Lawsonia inermis L.,PMID: 24886774,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
Alpha-Terpineol,17100,Henna ,Lawsonia inermis L.,PMID: 24886774,CC1=CCC(CC1)C(C)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.58,-2.87,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.923,1.945,No,Yes,0.008,1.8
Apigenin,5280443,Henna ,Lawsonia inermis L.,PMID: 24886774,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
apigenin-7-O-beta-D-glucopyranoside,12304094,Henna ,Lawsonia inermis L.,PMID: 24886774,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,4,10,6,106.11,170.05,2.17,1.81,0.05,-1.61,0.55,-3.78,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.515,No,No,2.595,4.359,No,No,0.285,5.507
