Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
1-Octadecyne,69425,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCCCCCCCCCCCCC#C,C18H34,250.46,14,0,0,86.8,0.0,5.0,8.92,6.57,6.77,6.84,-6.09,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.019,No,Yes,1.434,1.194,No,Yes,1.482,-1.614
2-Dodecene,5352911,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCCCCCC=CC,C12H24,168.32,8,0,0,59.32,0.0,3.67,6.68,4.7,5.25,4.91,-4.56,Low,No,Yes,No,No,No,No,1,0,0.55,0,No,0.298,No,No,1.525,1.466,No,Yes,1.831,-0.283
"3,7,11,15-Tetramethyl-2-hexadecen-1-ol",5366244,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,C20H40O,296.53,13,1,1,98.94,20.23,4.71,8.19,6.36,5.25,6.22,-5.98,Low,No,No,No,Yes,No,No,1,1,0.55,0,No,0.05,No,Yes,1.607,1.043,No,Yes,1.884,-1.504
"3,7,11-Tridecatrienenitrile",129724255,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CC=CCCC=CCCC=CCC#N,C13H19N,189.3,7,1,0,62.93,23.79,3.11,3.43,4.15,3.25,3.57,-2.71,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.094,No,No,1.649,1.3,No,Yes,1.922,-0.122
5-Eicosene,5364600,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCCCCCCCCCCC=CCCCC,C20H40,280.53,16,0,0,97.78,0.0,5.52,10.12,7.82,7.23,7.7,-6.9,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.073,No,Yes,1.574,1.194,No,Yes,0.989,-2.245
5-Octadecene,5364598,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCCCCCCCCC=CCCCC,C18H36,252.48,14,0,0,88.17,0.0,5.09,9.03,7.04,6.77,6.97,-6.17,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.007,No,Yes,1.523,1.257,No,Yes,1.447,-1.763
7-Hexadecene,520743,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCCCCC=CCCCCCC,C16H32,224.43,12,0,0,78.55,0.0,4.66,7.95,6.26,6.29,6.24,-5.45,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.087,No,No,1.492,1.324,No,Yes,1.885,-1.281
"9,12-Octadecadienoic acid,",3931,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.14,6.98,5.88,4.47,5.45,-5.05,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.827,No,No,1.429,3.187,Yes,Yes,0.701,-1.31
Hexadecanoic acid,985,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.2,-5.02,High,Yes,Yes,No,Yes,No,No,1,0,0.85,0,No,-0.708,No,No,1.44,3.181,No,Yes,0.84,-1.083
Hexatriacontane,12412,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,C36H74,506.97,33,0,0,175.17,0.0,9.32,19.12,14.29,10.55,13.67,-12.85,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.035,No,Yes,2.014,0.699,No,Yes,0.285,-6.226
Octacosane,12408,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,C28H58,394.76,25,0,0,136.71,0.0,7.53,14.78,11.17,9.06,10.81,-9.95,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.284,No,Yes,1.788,0.938,No,Yes,0.302,-4.299
Oxalic acid,971,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,C(=O)(C(=O)O)O,C2H2O4,90.03,1,4,2,15.27,74.6,-0.35,-0.25,-0.84,-1.51,-0.79,-0.17,High,No,No,No,No,No,No,0,4,0.85,0,No,1.403,No,No,1.68,2.96,No,No,0.281,2.403
Pentadecanoic acid,13849,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCCCCCCCCCCC(=O)O,C15H30O2,242.4,13,2,1,75.99,37.3,3.66,6.63,5.16,3.94,4.84,-4.66,High,Yes,Yes,No,Yes,No,No,0,0,0.85,0,No,-0.642,No,No,1.458,3.107,No,Yes,0.922,-0.842
Phytol,5280435,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,C20H40O,296.53,13,1,1,98.94,20.23,4.71,8.19,6.36,5.25,6.22,-5.98,Low,No,No,No,Yes,No,No,1,1,0.55,0,No,0.05,No,Yes,1.607,1.043,No,Yes,1.884,-1.504
Squalene,638072,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,C30H50,410.72,15,0,0,143.48,0.0,6.37,11.58,10.6,7.93,9.38,-8.69,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.393,No,Yes,1.848,0.946,No,No,0.464,-3.485
Tetratetracontane,23494,Jumbay,Leucaena glauca,DOI: 10.22159/ijpps.2016v8i12.11582,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,C44H90,619.19,41,0,0,213.62,0.0,11.31,23.45,17.41,11.92,16.54,-15.75,Low,No,No,No,No,No,No,2,4,0.17,0,No,0.32,No,Yes,2.337,0.46,No,Yes,0.285,-8.152
