Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
1-Hydroxytetratriacontan-4-one,85655677,Thumbai,Leucas aspera,"Priya et al., 2018",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)CCCO,C34H68O2,508.9,32,2,1,166.91,37.3,8.02,15.01,11.66,7.14,11.0,-10.34,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.177,No,Yes,2.016,4.234,No,Yes,0.286,-4.862
1-Octen-3-ol,18827,Thumbai,Leucas aspera,"Priya et al., 2018",CCCCCC(C=C)O,C8H16O,128.21,5,1,1,41.26,20.23,2.33,2.55,2.11,2.07,2.21,-1.91,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.849,No,No,1.722,1.915,No,Yes,-0.017,1.413
28-Hydroxypentatriacontan-7-one,85675296,Thumbai,Leucas aspera,"Priya et al., 2018",CCCCCCCC(CCCCCCCCCCCCCCCCCCCCC(=O)CCCCCC)O,C35H70O2,522.93,32,2,1,171.72,37.3,8.4,14.87,12.05,7.32,11.22,-10.34,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.121,No,Yes,1.956,4.205,No,Yes,0.286,-4.902
32-Methyltetratriacontan-8-ol,71345026,Thumbai,Leucas aspera,"Priya et al., 2018",CCCCCCCC(CCCCCCCCCCCCCCCCCCCCCCCC(C)CC)O,C35H72O,508.95,31,1,1,171.52,20.23,8.91,16.99,12.73,8.39,12.15,-11.65,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.249,No,Yes,1.979,0.536,No,Yes,0.286,-5.312
5-Acetoxytriacontane,91204344,Thumbai,Leucas aspera,"Priya et al., 2018",CCCCCCCCCCCCCCCCCCCCCCCCCC(CCCC)OC(=O)C,C32H64O2,480.85,29,2,0,157.22,26.3,7.81,15.14,11.49,7.58,10.86,-10.45,Low,No,No,No,No,No,No,1,4,0.55,0,No,-0.29,No,Yes,1.91,4.037,No,Yes,0.292,-4.558
Alpha-humulene,5281520,Thumbai,Leucas aspera,"Priya et al., 2018",CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
Alpha-pinene,6654,Thumbai,Leucas aspera,"Priya et al., 2018",CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
Amyl propionate,12217,Thumbai,Leucas aspera,"Priya et al., 2018",CCCCCOC(=O)CC,C8H16O2,144.21,6,2,0,41.85,26.3,2.59,2.77,2.13,1.96,2.27,-2.08,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.849,No,No,1.827,2.281,No,Yes,0.105,1.208
Asperphenamate,173952,Thumbai,Leucas aspera,"Priya et al., 2018",C1=CC=C(C=C1)CC(COC(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3)NC(=O)C4=CC=CC=C4,C32H30N2O4,506.59,14,4,2,146.25,84.5,3.01,6.11,4.61,4.43,4.79,-6.37,High,No,No,Yes,Yes,Yes,Yes,2,2,0.17,0,No,-0.103,No,Yes,2.336,2.181,Yes,No,0.286,-0.983
Beta-caryophyllene,5281515,Thumbai,Leucas aspera,"Priya et al., 2018",CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Ceryl alcohol,68171,Thumbai,Leucas aspera,"Priya et al., 2018",CCCCCCCCCCCCCCCCCCCCCCCCCCO,C26H54O,382.71,24,1,1,128.26,20.23,6.68,12.53,9.36,6.67,9.06,-8.52,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.396,No,Yes,1.826,0.829,No,Yes,0.344,-3.337
Chicanine,11078392,Thumbai,Leucas aspera,"Priya et al., 2018",CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC(=C(C=C4)O)OC)C,C20H22O5,342.39,3,5,1,93.48,57.15,3.35,3.93,3.57,2.38,3.34,-4.6,High,Yes,No,Yes,No,Yes,No,0,0,0.55,0,No,-0.248,No,Yes,2.379,1.718,No,No,0.756,0.019
Dotriacontanol,96117,Thumbai,Leucas aspera,"Priya et al., 2018",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,C32H66O,466.87,30,1,1,157.1,20.23,8.1,15.78,11.7,7.84,11.23,-10.7,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.284,No,Yes,1.96,0.65,No,Yes,0.286,-4.782
Glucoside,64689,Thumbai,Leucas aspera,"Priya et al., 2018",C(C1C(C(C(C(O1)O)O)O)O)O,C6H12O6,180.16,1,6,5,35.74,110.38,0.24,-3.24,-3.22,-2.75,-2.26,1.15,Low,No,No,No,No,No,No,0,2,0.55,0,No,1.896,No,No,1.214,3.897,No,No,0.285,5.083
Isoamyl propionate,7772,Thumbai,Leucas aspera,"Priya et al., 2018",CCC(=O)OCCC(C)C,C8H16O2,144.21,5,2,0,41.85,26.3,2.53,2.53,1.99,1.96,2.15,-2.0,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.941,No,No,1.908,2.364,No,Yes,0.188,1.411
Leucasperone A,11843975,Thumbai,Leucas aspera,"Priya et al., 2018",CC1CC(C2=C(C1(C)C(CC(C)(C=C)O)OC(=O)C)CCC(=O)C2(C)COC(=O)C)OC(=O)C,C26H38O8,478.58,11,8,1,126.65,116.2,4.03,1.89,3.45,2.22,3.24,-3.27,High,No,No,No,No,Yes,Yes,0,1,0.55,0,No,0.132,No,No,2.404,1.817,No,No,0.255,2.307
