Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
1-Butanol,263,Flax ,Linum usitatissimum L.,PMID: 31623168,CCCCO,C4H10O,74.12,2,1,1,22.5,20.23,1.57,0.88,0.78,0.75,0.88,-0.72,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.196,No,No,1.909,1.673,No,No,-1.376,2.303
1-Caffeoyl-beta-D-glucose,5281761,Flax ,Linum usitatissimum L.,PMID: 31623168,C1=CC(=C(C=C1C=CC(=O)OC2C(C(C(C(O2)CO)O)O)O)O)O,C15H18O9,342.3,5,9,6,79.13,156.91,0.23,-0.64,-1.65,-1.63,-0.98,-1.41,Low,No,No,No,No,No,No,1,1,0.55,1,Yes,0.997,No,No,1.938,4.35,No,No,0.285,5.989
Alpha-Tocopherol,14985,Flax ,Linum usitatissimum L.,PMID: 31623168,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,C29H50O2,430.71,12,2,1,139.27,29.46,5.92,10.7,8.84,6.14,8.27,-8.6,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.775,No,Yes,2.072,1.987,No,No,1.017,-3.324
Ascorbic Acid,54670067,Flax ,Linum usitatissimum L.,PMID: 31623168,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
Benzene,241,Flax ,Linum usitatissimum L.,PMID: 31623168,C1=CC=CC=C1,C6H6,78.11,0,0,0,26.44,0.0,1.58,2.13,1.69,3.17,2.14,-2.41,Low,No,Yes,No,No,No,No,0,3,0.55,0,No,1.051,No,No,1.872,2.131,No,No,-0.362,1.69
beta-Tocopherol,6857447,Flax ,Linum usitatissimum L.,PMID: 31623168,CC1=CC(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O,C28H48O2,416.68,12,2,1,134.31,29.46,4.94,10.33,8.53,5.94,7.79,-8.29,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.908,No,Yes,1.913,2.379,No,No,1.122,-3.809
Caffeic Acid,689043,Flax ,Linum usitatissimum L.,PMID: 31623168,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Caffeic acid 3-glucoside,5281759,Flax ,Linum usitatissimum L.,PMID: 31623168,C1=CC(=C(C=C1C=CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O)O,C15H18O9,342.3,5,9,6,79.28,156.91,0.35,-0.95,-1.44,-1.63,-0.97,-1.22,Low,No,No,No,No,No,No,1,1,0.11,0,No,0.502,No,No,2.476,4.053,No,No,0.285,5.321
Chlorogenic Acid,1794427,Flax ,Linum usitatissimum L.,PMID: 31623168,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
delta-Tocopherol,92094,Flax ,Linum usitatissimum L.,PMID: 31623168,CC1=CC(=CC2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)O,C27H46O2,402.65,12,2,1,129.34,29.46,5.33,9.97,8.22,5.74,7.58,-7.98,Low,No,No,No,No,No,No,1,2,0.55,0,No,0.615,No,Yes,1.984,2.219,No,No,1.175,-3.811
Ethyl Acetate,8857,Flax ,Linum usitatissimum L.,PMID: 31623168,CCOC(=O)C,C4H8O2,88.11,2,2,0,22.63,26.3,1.7,0.73,0.57,0.49,0.75,-0.71,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.173,No,No,1.992,2.274,No,Yes,-1.045,2.315
Ferulic acid,445858,Flax ,Linum usitatissimum L.,PMID: 31623168,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Feruloyl glucose,22842356,Flax ,Linum usitatissimum L.,PMID: 31623168,COC1=C(C=CC(=C1)C=CC(=O)C(=O)C(C(C(C(CO)O)O)O)O)O,C16H20O9,356.32,9,9,6,84.91,164.75,1.73,-1.86,-2.12,-2.28,-0.87,-0.46,Low,No,No,No,No,No,No,1,1,0.55,1,No,1.304,No,No,2.255,5.036,No,No,0.285,5.804
Gallic Acid,370,Flax ,Linum usitatissimum L.,PMID: 31623168,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
gamma-Tocopherol,92729,Flax ,Linum usitatissimum L.,PMID: 31623168,CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O,C28H48O2,416.68,12,2,1,134.31,29.46,5.76,10.33,8.53,5.94,7.95,-8.29,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.781,No,Yes,2.21,2.052,No,No,0.946,-3.814
Linoleic Acid,5280450,Flax ,Linum usitatissimum L.,PMID: 31623168,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.14,6.98,5.88,4.47,5.45,-5.05,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.827,No,No,1.429,3.187,Yes,Yes,0.701,-1.31
Linolenic Acid,5280934,Flax ,Linum usitatissimum L.,PMID: 31623168,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,278.43,13,2,1,88.99,37.3,3.36,6.46,5.66,4.38,5.09,-4.78,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.84,No,No,1.441,3.115,Yes,Yes,0.722,-1.183
Oleic Acid,445639,Flax ,Linum usitatissimum L.,PMID: 31623168,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,282.46,15,2,1,89.94,37.3,4.27,7.64,6.11,4.57,5.71,-5.41,High,No,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.81,No,No,1.417,3.259,No,Yes,0.676,-1.438
p-Coumaric acid,637542,Flax ,Linum usitatissimum L.,PMID: 31623168,C1=CC(=CC=C1C=CC(=O)O)O,C9H8O3,164.16,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.26,-2.02,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.111,No,No,2.155,2.534,No,No,0.319,1.607
p-Coumaryl glucose,129668240,Flax ,Linum usitatissimum L.,PMID: 31623168,C1=CC(=CC=C1C=CCC(=O)C(C(C(C(CO)O)O)O)O)O,C15H20O7,312.32,8,7,6,78.21,138.45,1.08,-1.33,-1.31,-1.15,-0.44,-0.61,Low,No,No,No,No,No,No,1,1,0.55,0,Yes,1.734,No,No,2.152,4.794,No,No,0.285,4.38
Pinoresinol diglucoside,174003,Flax ,Linum usitatissimum L.,PMID: 31623168,COC1=C(C=CC(=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)OC)OC6C(C(C(C(O6)CO)O)O)O,C32H42O16,682.67,10,16,8,159.15,235.68,3.23,-1.33,-2.51,-3.19,-1.08,-2.76,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.361,No,No,2.825,5.45,No,No,0.285,7.246
