Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Avicularin,5490064,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)CO)O)O)O)O,C20H18O11,434.35,4,11,7,104.19,190.28,1.86,0.98,0.1,-2.06,0.19,-3.27,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.576,No,No,2.543,3.848,No,No,0.285,6.668
Chlorogenic acid,1794427,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Eriodictyol,440735,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,C15H12O6,288.25,1,6,4,73.59,107.22,1.62,2.02,1.89,0.16,1.45,-3.26,High,No,No,No,No,No,Yes,0,0,0.55,1,No,0.014,No,No,2.03,2.475,No,No,0.332,2.972
Euscaphic acid ,471426,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1(C)O)C)C(=O)O,C30H48O5,488.7,1,5,4,139.28,97.99,3.28,4.96,5.18,4.14,4.33,-5.93,High,No,No,No,No,No,No,0,3,0.56,0,No,0.109,No,No,2.418,-0.082,No,No,0.285,1.17
Isoquercetin,5280804,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O12,464.38,4,12,8,110.16,210.51,2.11,0.36,-0.54,-2.59,-0.25,-3.04,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.569,No,Yes,2.541,4.417,No,No,0.285,8.061
Isorhamnetin 3-O-glucoside,5318645,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C22H22O12,478.4,5,12,7,114.63,199.51,1.21,0.69,-0.24,-2.37,-0.15,-3.26,Low,No,No,No,No,No,Yes,2,0,0.17,0,No,0.639,No,Yes,2.548,4.451,No,No,0.285,6.547
Kaempferol 3-O-glucoside,5282102,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,0.53,0.72,-0.24,-2.1,-0.25,-3.18,Low,No,No,No,No,No,No,2,0,0.17,0,No,0.582,No,No,2.546,4.53,No,No,0.285,6.735
Kaempferol-3-O-rutinoside,5318767,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,C27H30O15,594.52,6,15,9,139.36,249.2,2.79,0.02,-1.39,-3.43,-0.73,-3.42,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.481,No,Yes,2.513,3.569,No,No,0.285,6.252
Malic acid,525,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,C(C(C(=O)O)O)C(=O)O,C4H6O5,134.09,3,5,3,26.05,94.83,-0.01,-1.26,-1.09,-1.37,-1.0,0.32,High,No,No,No,No,No,No,0,4,0.56,0,No,1.212,No,No,1.818,3.104,No,No,0.285,3.348
Phlorizin,6072,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O,C21H24O10,436.41,7,10,7,106.14,177.14,1.37,0.54,-0.2,-1.42,0.08,-2.71,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.555,No,No,2.494,4.667,No,No,0.285,6.334
Pomolic acid ,382831,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1(C)O)C)C(=O)O,C30H48O4,472.7,1,4,3,138.11,77.76,3.6,5.93,6.2,4.97,5.13,-6.44,High,No,No,No,No,No,No,1,3,0.56,0,No,0.189,No,No,2.317,1.785,Yes,No,0.285,0.128
Quercetin,5280343,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
Quercitrin,5280459,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,C21H20O11,448.38,3,11,7,109.0,190.28,1.27,0.86,0.49,-1.84,0.16,-3.33,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.495,No,No,2.586,3.022,No,No,0.285,4.954
Quinic acid ,6508,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,C1C(C(C(CC1(C(=O)O)O)O)O)O,C7H12O6,192.17,1,6,5,40.11,118.22,-0.12,-2.37,-2.32,-2.14,-1.75,0.53,Low,No,No,No,No,No,No,0,1,0.56,0,No,1.626,No,No,1.128,3.529,No,No,0.285,4.869
Rutin,5280805,Apple,Malus domestica,DOI:10.1016/j.arabjc.2021.103188,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,610.52,6,16,10,141.38,269.43,1.58,-0.33,-1.69,-3.89,-1.29,-3.3,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.452,No,Yes,2.491,3.673,No,No,0.285,7.677
