Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,1,3-Triethoxypropane",24624,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCOCCC(OCC)OCC,C9H20O3,176.25,8,3,0,48.63,27.69,3.0,1.4,1.81,1.14,1.83,-1.29,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.713,No,No,1.969,2.14,No,Yes,0.192,1.917
"1,1-Diethoxy-3-methylbutane",19695,Mango ,Mangifera indica,PMID: 24962691,CCOC(CC(C)C)OCC,C9H20O2,160.25,6,2,0,47.55,18.46,2.81,2.52,2.43,2.02,2.36,-2.03,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.717,No,No,1.864,2.186,No,Yes,0.569,1.441
"1,3,6-tri-O-galloyl-beta-D-glucose",452707,Mango ,Mangifera indica,PMID: 24962691,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)O,C27H24O18,636.47,10,18,11,142.86,310.66,1.88,0.36,-0.28,-2.42,-0.48,-3.65,Low,No,No,No,No,No,No,3,2,0.17,1,No,0.438,No,Yes,2.483,6.928,No,No,0.285,8.883
15-Methylhexadecan-1-ol,558024,Mango ,Mangifera indica,PMID: 24962691,CC(C)CCCCCCCCCCCCCCO,C17H36O,256.47,14,1,1,84.99,20.23,4.54,7.37,5.71,4.7,5.65,-5.15,High,Yes,Yes,No,No,No,No,1,1,0.55,0,No,-0.073,No,Yes,1.574,1.16,No,Yes,1.801,-1.212
1-Octacosanol,68406,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,C28H58O,410.76,26,1,1,137.87,20.23,7.2,13.61,10.14,7.07,9.8,-9.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.401,No,Yes,1.871,0.769,No,Yes,0.304,-3.819
1-Tetradecanol,8209,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCCCCCCCCCCCCCO,C14H30O,214.39,12,1,1,70.57,20.23,3.9,6.03,4.68,3.95,4.67,-4.18,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.157,No,No,1.559,1.208,No,Yes,2.331,-0.447
1-Triacontanol,68972,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,C30H62O,438.81,28,1,1,147.49,20.23,7.67,14.7,10.92,7.46,10.52,-9.97,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.363,No,Yes,1.914,0.709,No,Yes,0.29,-4.301
"2,3-Dihydroxypropyl acetate",33510,Mango ,Mangifera indica,PMID: 24962691,CC(=O)OCC(CO)O,C5H10O4,134.13,4,4,2,29.76,66.76,1.08,-1.0,-1.1,-0.84,-0.46,0.22,High,No,No,No,No,No,No,0,4,0.55,0,Yes,1.506,No,No,1.708,2.789,No,No,-0.616,3.366
22-Hydroxydocosanoic acid,5282922,Mango ,Mangifera indica,PMID: 24962691,C(CCCCCCCCCCC(=O)O)CCCCCCCCCCO,C22H44O3,356.58,21,3,2,110.8,57.53,4.68,8.78,6.87,4.7,6.47,-6.2,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-1.034,No,No,1.453,3.464,Yes,Yes,0.396,-2.265
24-Methylenecholesterol,92113,Mango ,Mangifera indica,PMID: 24962691,CC(C)C(=C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H46O,398.66,5,1,1,127.95,20.23,4.78,8.62,7.55,6.43,6.8,-7.41,Low,No,No,No,Yes,No,No,1,2,0.55,0,No,-0.463,No,Yes,2.073,0.892,No,No,0.634,-1.897
24-Methylenecycloartanol,94204,Mango ,Mangifera indica,PMID: 24962691,CC(C)C(=C)CCC(C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,C31H52O,440.74,5,1,1,139.95,20.23,5.2,10.31,8.41,7.12,7.8,-8.74,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.303,No,Yes,2.542,0.802,No,No,0.306,-2.371
