Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
2'-O-Methylisoliquiritigenin,5319688,Alfalfa,Medicago sativa,PMID: 35378828,COC1=C(C=CC(=C1)O)C(=O)C=CC2=CC=C(C=C2)O,C16H14O4,270.28,4,4,2,76.79,66.76,2.05,2.95,2.89,1.83,2.55,-3.55,High,Yes,Yes,No,Yes,No,Yes,0,0,0.55,0,Yes,-0.364,No,No,2.208,1.535,No,No,0.783,0.91
Apigenin,5280443,Alfalfa,Medicago sativa,PMID: 35378828,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
Caffeoyl alcohol,5282096,Alfalfa,Medicago sativa,PMID: 35378828,C1=CC(=C(C=C1C=CCO)O)O,C9H10O3,166.17,2,3,3,46.55,60.69,1.54,1.05,0.99,0.83,1.12,-1.77,High,Yes,No,No,No,No,No,0,0,0.55,1,Yes,1.282,No,No,2.019,1.936,No,Yes,0.05,2.487
Coumestrol,5281707,Alfalfa,Medicago sativa,PMID: 35378828,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,C15H8O5,268.22,0,5,2,73.81,83.81,1.8,2.76,3.1,1.76,2.46,-3.87,High,No,Yes,No,No,Yes,No,0,0,0.55,0,Yes,-0.013,No,No,2.386,1.079,No,No,0.425,0.734
Daidzein,5281708,Alfalfa,Medicago sativa,PMID: 35378828,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,C15H10O4,254.24,1,4,2,71.97,70.67,1.77,2.47,2.87,1.08,2.24,-3.53,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.187,No,No,2.164,1.187,No,No,0.693,1.035
Genistein,5280961,Alfalfa,Medicago sativa,PMID: 35378828,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.91,2.67,2.58,0.52,2.04,-3.72,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.478,No,No,2.268,2.189,No,No,0.377,1.941
Luteolin,5280445,Alfalfa,Medicago sativa,PMID: 35378828,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,1.73,-3.71,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.455,2.409,No,No,0.326,3.169
Medicarpin,336327,Alfalfa,Medicago sativa,PMID: 35378828,COC1=CC2=C(C=C1)C3COC4=C(C3O2)C=CC(=C4)O,C16H14O4,270.28,1,4,1,73.17,47.92,2.53,2.77,2.69,1.87,2.52,-3.64,High,Yes,Yes,Yes,No,Yes,Yes,0,0,0.55,0,Yes,-0.102,No,No,2.512,1.875,No,No,0.688,0.657
Quercetin,5280343,Alfalfa,Medicago sativa,PMID: 35378828,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
Tricin 7-O-glucuronide,101939793,Alfalfa,Medicago sativa,PMID: 35378828,COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O,C23H22O13,506.41,6,13,6,119.71,205.58,2.41,1.05,0.16,-2.17,0.3,-3.57,Low,No,No,No,No,No,No,3,1,0.11,0,No,0.55,No,No,2.62,4.362,No,No,0.285,4.206
