Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
1-Phenyloxirane,7276,Mint,Mentha arvensis,PMID: 30150845,C1C(O1)C2=CC=CC=C2,C8H8O,120.15,1,1,0,35.19,12.53,1.92,1.61,1.43,1.48,1.83,-2.03,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,0.948,No,No,1.713,1.939,No,Yes,0.104,1.56
2-Furanmethanol,7361,Mint,Mentha arvensis,PMID: 30150845,C1=COC(=C1)CO,C5H6O2,98.1,1,2,1,24.84,33.37,1.49,0.28,0.62,-0.47,0.62,-1.09,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.793,No,No,2.399,1.565,No,Yes,-0.93,2.704
2-Propen-1-one,7847,Mint,Mentha arvensis,PMID: 30150845,C=CC=O,C3H4O,56.06,1,1,0,16.26,17.07,0.99,-0.01,0.37,0.04,0.35,-0.12,Low,No,No,No,No,No,No,0,3,0.55,0,Yes,1.172,No,No,2.224,1.618,No,No,0.566,2.405
3-Hexen-1-ol,5284503,Mint,Mentha arvensis,PMID: 30150845,CCC=CCCO,C6H12O,100.16,3,1,1,31.64,20.23,1.94,1.31,1.33,1.39,1.42,-1.09,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.997,No,No,1.735,1.767,No,Yes,-0.815,1.902
Beta-Bourbonene,62566,Mint,Mentha arvensis,PMID: 30150845,CC(C)C1CCC2(C1C3C2CCC3=C)C,C15H24,204.35,1,0,0,67.14,0.0,3.34,4.71,4.27,5.65,4.4,-4.01,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,Yes,-0.446,No,No,1.601,1.431,No,No,1.344,-0.015
Beta-Pinene,14896,Mint,Mentha arvensis,PMID: 30150845,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
Bicyclogermacrene,13894537,Mint,Mentha arvensis,PMID: 30150845,CC1=CCCC(=CC2C(C2(C)C)CC1)C,C15H24,204.35,0,0,0,68.78,0.0,3.34,4.14,4.73,4.63,4.15,-3.72,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.334,No,No,1.646,1.386,No,Yes,1.338,0.595
Cadin-4-en-10-ol,10398656,Mint,Mentha arvensis,PMID: 30150845,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C,C15H26O,222.37,1,1,1,70.72,20.23,3.15,3.34,3.78,3.67,3.43,-3.26,High,Yes,No,Yes,No,No,No,0,0,0.55,0,No,0.343,No,No,1.918,1.475,No,Yes,1.49,0.743
Cadinene,3032853,Mint,Mentha arvensis,PMID: 30150845,CC1CCC(C2C1C=CC(C2)C)C(C)C,C15H26,206.37,1,0,0,69.52,0.0,3.43,5.54,4.52,5.65,4.5,-4.54,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.028,No,No,1.492,1.456,No,Yes,1.738,0.03
Caryophyllene,5281515,Mint,Mentha arvensis,PMID: 30150845,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
