Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,5-Dihydroxyxanthone",5480299,Nagkesar,Mesua Nagassarium,DOI: 10.5897/ajpp12.895,C1=CC2=C(C(=C1)O)OC3=CC=CC(=C3C2=O)O,C13H8O4,228.2,0,4,2,64.04,70.67,2.07,2.8,2.36,0.87,2.11,-3.63,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.05,No,No,1.875,1.252,No,No,0.998,0.989
6-Deoxyjacareubin,5281629,Nagkesar,Mesua Nagassarium,DOI: 10.1007/s00044-017-2017-4,CC1(C=CC2=C(O1)C=C3C(=C2O)C(=O)C4=C(O3)C(=CC=C4)O)C,C18H14O5,310.3,0,5,2,88.16,79.9,2.93,3.73,3.43,1.48,2.99,-4.56,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,Yes,-0.053,No,Yes,2.081,1.606,Yes,No,0.364,-0.077
coumarins,54678486,Nagkesar,Mesua Nagassarium,DOI: 10.1007/s00044-017-2017-4,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,C19H16O4,308.33,4,4,1,88.58,67.51,2.41,2.7,3.61,2.51,3.12,-3.7,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.294,No,No,1.773,1.081,No,No,0.591,0.034
Euxanthone,5281631,Nagkesar,Mesua Nagassarium,DOI: 10.1007/s00044-017-2017-4,C1=CC(=C2C(=C1)OC3=C(C2=O)C=C(C=C3)O)O,C13H8O4,228.2,0,4,2,64.04,70.67,2.0,2.8,2.36,0.87,2.1,-3.63,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.233,No,No,1.994,1.315,No,No,0.759,0.938
Macluraxanthone,5281646,Nagkesar,Mesua Nagassarium,DOI: 10.1007/s00044-017-2017-4,CC1(C=CC2=C(C3=C(C(=C2O1)C(C)(C)C=C)OC4=C(C3=O)C=CC(=C4O)O)O)C,C23H22O6,394.42,2,6,3,113.78,100.13,3.22,5.32,4.6,1.98,3.95,-5.86,High,No,No,No,Yes,No,No,0,0,0.55,1,Yes,0.432,No,Yes,2.023,2.373,No,No,0.352,0.577
Mammeigin,5319255,Nagkesar,Mesua Nagassarium,DOI: 10.5897/ajpp12.895,CC(C)CC(=O)C1=C2C(=C3C(=C1O)C(=CC(=O)O3)C4=CC=CC=C4)C=CC(O2)(C)C,C25H24O5,404.46,4,5,1,118.68,76.74,3.54,5.15,5.47,3.18,4.64,-5.72,High,No,No,Yes,Yes,No,No,0,0,0.55,0,No,-0.013,No,Yes,2.992,1.447,Yes,No,0.334,-0.691
Mammeisin,5281419,Nagkesar,Mesua Nagassarium,DOI: 10.5897/ajpp12.895,CC(C)CC(=O)C1=C(C2=C(C(=C1O)CC=C(C)C)OC(=O)C=C2C3=CC=CC=C3)O,C25H26O5,406.47,6,5,2,120.3,87.74,3.55,5.8,5.61,3.18,4.87,-6.01,High,No,No,Yes,Yes,No,Yes,0,1,0.55,0,No,-0.034,No,Yes,2.077,1.427,Yes,No,0.295,-0.717
Mangostin,5281650,Nagkesar,Mesua Nagassarium,DOI: 10.1007/s00044-017-2017-4,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C,C24H26O6,410.46,5,6,3,119.99,100.13,4.14,6.27,5.09,2.19,4.64,-6.35,High,No,No,No,Yes,No,No,0,0,0.55,0,Yes,0.061,No,Yes,1.949,1.594,No,No,0.325,-0.138
Mesuagin,5319380,Nagkesar,Mesua Nagassarium,DOI: 10.5897/ajpp12.895,CC(C)C(=O)C1=C2C(=C3C(=C1O)C(=CC(=O)O3)C4=CC=CC=C4)C=CC(O2)(C)C,C24H22O5,390.43,3,5,1,113.87,76.74,3.58,4.93,5.08,2.98,4.4,-5.58,High,No,No,Yes,Yes,No,No,0,0,0.55,0,No,-0.028,No,Yes,3.005,1.418,Yes,No,0.343,-0.475
Mesuaxanthone A,5281651,Nagkesar,Mesua Nagassarium,DOI: 10.1007/s00044-017-2017-4,COC1=CC(=C2C(=C1)OC3=C(C2=O)C=CC=C3O)O,C14H10O5,258.23,1,5,2,70.53,79.9,2.4,2.77,2.37,0.57,2.12,-3.67,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.291,No,No,1.771,1.396,No,No,0.612,0.256
