Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"4H-1-Benzopyran-4-one, 2,3-dihydro-2-(hydroxymethyl)-",14089213,Chui Mui,Mimosa pudica ,PMID: 33371596,C1C(OC2=CC=CC=C2C1=O)CO,C10H10O3,178.18,1,3,1,46.98,46.53,1.56,0.76,1.01,0.47,1.13,-1.7,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.021,No,No,1.867,2.383,No,No,0.551,1.708
4-Oxo-2-nonenal,6445537,Chui Mui,Mimosa pudica ,PMID: 33371596,CCCCCC(=O)C=CC=O,C9H14O2,154.21,6,2,0,45.3,34.14,1.89,1.56,1.89,1.26,1.79,-1.38,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.755,No,No,1.826,2.577,No,Yes,0.946,1.242
"7’-3’-4’-trihydroxy-3,8-dimethoxyflavone",44258704,Chui Mui,Mimosa pudica ,PMID: 33371596,COC1=C(C=CC2=C1OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O,C17H14O7,330.29,3,7,3,86.97,109.36,2.38,2.27,2.59,-0.07,1.95,-3.61,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,1,No,0.3,No,No,2.355,2.669,No,No,0.332,1.842
b-D-glucopyranosyl flavone,5280805,Chui Mui,Mimosa pudica ,DOI: 10.1080/07929978.2015.1066997,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,610.52,6,16,10,141.38,269.43,1.58,-0.33,-1.69,-3.89,-1.29,-3.3,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.452,No,Yes,2.491,3.673,No,No,0.285,7.677
Beta-Sitosterol,222284,Chui Mui,Mimosa pudica ,PMID: 33371596,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Betulinic Acid,64971,Chui Mui,Mimosa pudica ,DOI: 10.1080/07929978.2015.1066997,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,C30H48O3,456.7,2,3,2,136.91,57.53,3.79,8.21,7.09,5.82,6.13,-7.71,Low,No,No,No,Yes,No,No,1,3,0.85,0,No,0.144,No,No,2.256,2.206,Yes,No,0.285,-1.174
Chlorazanil,10374,Chui Mui,Mimosa pudica ,PMID: 33371596,C1=CC(=CC=C1NC2=NC=NC(=N2)N)Cl,C9H8ClN5,221.65,2,3,2,58.79,76.72,1.92,2.13,1.86,1.05,1.6,-3.02,High,No,Yes,No,No,No,No,0,0,0.55,0,No,0.272,No,No,3.052,1.317,Yes,No,0.308,1.892
Dormin,5375199,Chui Mui,Mimosa pudica ,PMID: 33371596,CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C,C15H20O4,264.32,3,4,2,73.59,74.6,1.97,1.61,2.25,1.44,1.96,-2.3,High,Yes,No,No,No,No,No,0,0,0.85,0,No,0.304,No,No,1.793,1.864,No,No,0.42,2.131
Jasmonic acid,5281166,Chui Mui,Mimosa pudica ,PMID: 33371596,CCC=CCC1C(CCC1=O)CC(=O)O,C12H18O3,210.27,5,3,1,59.18,54.37,1.96,1.6,2.41,1.68,2.01,-1.82,High,Yes,No,No,No,No,No,0,0,0.85,0,No,0.538,No,No,1.669,2.23,No,No,0.34,1.207
Mimosine,440473,Chui Mui,Mimosa pudica ,PMID: 33371596,C1=CN(C=C(C1=O)O)CC(C(=O)O)N,C8H10N2O4,198.18,3,5,3,48.08,105.55,0.69,-4.36,-1.03,-4.13,-1.96,1.56,High,No,No,No,No,No,No,0,1,0.55,0,No,1.012,No,No,2.166,1.771,No,No,0.27,3.558
