Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(-)-Epicatechin gallate,107905,Bitter-melon ,Momordica charantia L.,DOI: 10.1016/S2222-1808(13)60052-3,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C22H18O10,442.37,4,10,7,110.04,177.14,1.44,1.53,2.2,0.05,1.25,-3.7,Low,No,No,No,No,No,No,1,0,0.55,1,No,0.449,No,Yes,2.558,2.777,No,No,0.285,6.146
(+)-Catechin gallate,5276454,Bitter-melon ,Momordica charantia L.,DOI: 10.1016/S2222-1808(13)60052-3,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C22H18O10,442.37,4,10,7,110.04,177.14,1.44,1.53,2.2,0.05,1.25,-3.7,Low,No,No,No,No,No,No,1,0,0.55,1,No,0.449,No,Yes,2.558,2.777,No,No,0.285,6.146
"2,5-Dihydroxybenzoic acid",3469,Bitter-melon ,Momordica charantia L.,DOI: 10.1016/S2222-1808(13)60052-3,C1=CC(=C(C=C1O)C(=O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.49,1.74,0.8,0.4,0.74,-2.23,High,No,No,No,No,No,Yes,0,3,0.56,0,No,1.261,No,No,2.123,2.301,No,No,0.276,2.451
2-Hydroxyethyl 4-hydroxybenzoate,267950,Bitter-melon ,Momordica charantia L.,DOI: 10.1016/S2222-1808(13)60052-3,C1=CC(=CC=C1C(=O)OCCO)O,C9H10O4,182.17,4,4,2,45.71,66.76,1.59,1.42,0.54,0.79,1.06,-1.94,High,No,No,No,No,No,No,0,0,0.55,0,Yes,1.535,No,No,2.015,2.098,No,No,0.385,2.415
alpha-Spinasterin,5281331,Bitter-melon ,Momordica charantia L.,DOI: 10.1016/S2222-1808(13)60052-3,CCC(C=CC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,4.77,8.3,7.8,6.62,6.87,-7.3,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.664,No,Yes,2.54,0.872,No,No,0.433,-1.675
Ascorbigen,3081416,Bitter-melon ,Momordica charantia L.,DOI: 10.1016/S2222-1808(13)60052-3,C1C(C2C(O1)(C(C(=O)O2)(CC3=CNC4=CC=CC=C43)O)O)O,C15H15NO6,305.28,2,6,4,73.81,112.01,1.5,-0.45,-0.55,-0.41,0.24,-1.62,High,No,No,No,No,No,No,0,1,0.55,0,No,-0.342,No,No,2.178,3.285,No,No,0.286,1.223
Benzoic Acid,243,Bitter-melon ,Momordica charantia L.,DOI: 10.1016/S2222-1808(13)60052-3,C1=CC=C(C=C1)C(=O)O,C7H6O2,122.12,1,2,1,33.4,37.3,1.11,1.87,1.38,1.6,1.44,-2.2,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.612,No,No,2.17,2.637,No,No,0.087,1.838
beta-Sitosterol-d-glucoside,12309060,Bitter-melon ,Momordica charantia L.,DOI: 10.1016/S2222-1808(13)60052-3,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,C35H60O6,576.85,9,6,4,165.61,99.38,4.98,7.74,5.85,3.96,5.51,-7.7,Low,No,No,No,No,No,No,1,4,0.55,0,No,-0.887,No,No,2.571,3.293,No,No,0.285,-0.811
Butyric Acid,264,Bitter-melon ,Momordica charantia L.,DOI: 10.1016/S2222-1808(13)60052-3,CCCC(=O)O,C4H8O2,88.11,2,2,1,23.11,37.3,1.1,0.79,0.87,0.49,0.68,-0.75,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.91,No,No,1.72,2.641,No,No,-0.65,2.149
Caffeic Acid,689043,Bitter-melon ,Momordica charantia L.,DOI: 10.1016/S2222-1808(13)60052-3,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
