Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Americanin A,5459018,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,C1=CC2=C(C=C1C=CC=O)OC(C(O2)C3=CC(=C(C=C3)O)O)CO,C18H16O6,328.32,4,6,3,86.91,96.22,2.05,1.73,1.75,0.55,1.71,-3.07,High,No,No,No,No,No,No,0,0,0.55,1,No,0.239,No,No,2.201,2.148,No,No,0.4,1.02
Asperulosidic acid,11968867,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,CC(=O)OCC1=CC(C2C1C(OC=C2C(=O)O)OC3C(C(C(C(O3)CO)O)O)O)O,C18H24O12,432.38,7,12,6,93.47,192.44,1.26,-3.2,-2.78,-2.41,-1.99,-0.04,Low,No,No,No,No,No,No,2,1,0.11,0,No,0.592,No,No,2.344,3.641,No,No,0.285,8.4
Beta-sitosterol,222284,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Damnacanthal,2948,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,COC1=C2C(=CC(=C1C=O)O)C(=O)C3=CC=CC=C3C2=O,C16H10O5,282.25,2,5,1,73.65,80.67,1.19,2.5,1.99,0.27,1.84,-3.46,High,No,Yes,No,No,No,Yes,0,0,0.55,1,Yes,0.285,No,No,1.763,1.441,No,No,0.691,1.645
Hexanoic acid,8892,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,CCCCCC(=O)O,C6H12O2,116.16,4,2,1,32.73,37.3,1.57,1.92,1.65,1.27,1.47,-1.51,High,Yes,No,No,No,No,No,0,2,0.85,0,No,0.594,No,No,1.606,2.686,No,No,-0.206,1.621
Niacin,938,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,C1=CC(=CN=C1)C(=O)O,C6H5NO2,123.11,1,3,1,31.2,50.19,0.86,0.36,0.78,-1.13,0.32,-1.26,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.907,No,No,2.24,2.652,No,No,0.055,2.222
Octanoic acid,379,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,CCCCCCCC(=O)O,C8H16O2,144.21,6,2,1,42.34,37.3,1.95,3.05,2.43,1.96,2.23,-2.26,High,Yes,No,No,No,No,No,0,1,0.85,0,No,0.264,No,No,1.55,2.611,No,No,0.268,1.039
Quercetin,5280343,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
Scopoletin,5280460,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C10H8O4,192.17,1,4,1,51.0,59.67,1.86,1.53,1.51,0.76,1.52,-2.46,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.614,No,No,1.95,1.378,No,No,0.516,1.614
Ursolic acid,64945,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,C30H48O3,456.7,1,3,2,136.91,57.53,3.71,7.34,7.09,5.82,5.88,-7.23,Low,No,No,No,No,No,No,1,3,0.85,0,No,0.199,No,No,2.346,2.054,Yes,No,0.285,-0.787
Vitamin C,54670067,Noni,Morinda citrifolia L.,DOI: 10.1016/j.arabjc.2015.06.018,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
