Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,3-Dibenzylurea",72889,Moringa ,Moringa oleifera,DOI: 10.4172/map.1000101,C1=CC=C(C=C1)CNC(=O)NCC2=CC=CC=C2,C15H16N2O,240.3,6,1,2,71.7,41.13,2.14,2.36,2.38,2.93,2.47,-2.91,High,Yes,Yes,Yes,No,Yes,No,0,0,0.55,0,No,0.596,No,No,2.114,1.038,No,No,1.168,1.521
10-Formylfolic acid,135405023,Moringa ,Moringa oleifera,DOI: 10.4172/map.1000101,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)N(CC2=CN=C3C(=N2)C(=O)NC(=N3)N)C=O,C20H19N7O7,469.41,11,10,5,117.41,221.56,0.32,-1.69,-0.64,-0.39,-0.5,-1.31,Low,No,No,No,No,No,No,1,1,0.11,0,No,-0.766,No,No,2.717,2.835,Yes,No,0.285,4.747
24-Methylenecholesterol,92113,Moringa ,Moringa oleifera,DOI: 10.4172/map.1000101,CC(C)C(=C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H46O,398.66,5,1,1,127.95,20.23,4.78,8.62,7.55,6.43,6.8,-7.41,Low,No,No,No,Yes,No,No,1,2,0.55,0,No,-0.463,No,Yes,2.073,0.892,No,No,0.634,-1.897
28-Isoavenasterol acetate,91746804,Moringa ,Moringa oleifera,DOI: 10.4172/map.1000101,CC=C(CCC(C)C1CCC2(C1(CCC3C2=CCC4C3(CCC(C4)OC(=O)C)C)C)C)C(C)C,C32H52O2,468.75,7,2,0,147.04,26.3,5.73,9.71,8.91,6.98,7.85,-8.4,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.498,No,Yes,2.341,2.414,No,No,0.386,-2.55
"2-Hydroxycinnamic acid, (2E)-",637540,Moringa ,Moringa oleifera,DOI: 10.4172/map.1000101,C1=CC=C(C(=C1)C=CC(=O)O)O,C9H8O3,164.16,2,3,2,45.13,57.53,1.09,2.03,1.38,1.28,1.4,-2.37,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.132,No,No,2.192,2.534,No,No,0.32,1.607
4-(Rhamnosyloxy)phenylacetonitrile,129556,Moringa ,Moringa oleifera,DOI: 10.4172/map.1000101,CC1C(C(C(C(O1)OC2=CC=C(C=C2)CC#N)O)O)O,C14H17NO5,279.29,3,6,3,68.95,102.94,1.68,-0.37,-0.04,-0.51,0.2,-1.36,High,No,No,No,No,No,No,0,0,0.55,0,No,0.533,No,No,1.654,2.139,No,No,0.301,3.367
Alitretinoin,449171,Moringa ,Moringa oleifera,DOI: 10.4172/map.1000101,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,C20H28O2,300.44,5,2,1,95.28,37.3,3.68,6.3,5.6,4.28,5.01,-5.34,High,Yes,Yes,Yes,Yes,No,No,1,1,0.85,0,No,-0.455,No,No,1.767,2.456,Yes,Yes,0.946,-0.446
Apigenin,5280443,Moringa ,Moringa oleifera,PMID: 28330275,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
Arachidic Acid,10467,Moringa ,Moringa oleifera,PMID: 28330275,CCCCCCCCCCCCCCCCCCCC(=O)O,C20H40O2,312.53,18,2,1,100.03,37.3,4.56,9.29,7.11,5.13,6.62,-6.44,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.817,No,No,1.381,3.483,Yes,Yes,0.487,-2.046
Astragalin,5282102,Moringa ,Moringa oleifera,PMID: 28330275,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,0.53,0.72,-0.24,-2.1,-0.25,-3.18,Low,No,No,No,No,No,No,2,0,0.17,0,No,0.582,No,No,2.546,4.53,No,No,0.285,6.735
