Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(24S)-3-epicyclomusalenol,44423592,Banana,Musa sapientum L.,DOI: 10.1016/B978-0-12-408117-8.00003-9,CC1C2CCC3C4(CCC(C4(CCC35C2(C5)CCC1O)C)C(C)CCC(C)C(=C)C)C,C30H50O,426.72,5,1,1,135.4,20.23,5.26,10.02,8.02,6.92,7.53,-8.47,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.416,No,Yes,2.942,0.767,No,No,0.303,-1.558
"1,4-Diaminobutane",1045,Banana,Musa sapientum L.,DOI: 10.1016/B978-0-12-408117-8.00003-9,C(CCN)CN,C4H12N2,88.15,3,2,2,26.76,52.04,1.21,-0.7,-0.32,-0.18,-0.1,0.25,High,No,No,No,No,No,No,0,3,0.55,0,No,1.338,No,No,2.134,0.976,No,No,-0.942,2.725
24-Methylenecycloartanol,94204,Banana,Musa sapientum L.,DOI: 10.1016/B978-0-12-408117-8.00003-9,CC(C)C(=C)CCC(C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,C31H52O,440.74,5,1,1,139.95,20.23,5.2,10.31,8.41,7.12,7.8,-8.74,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.303,No,Yes,2.542,0.802,No,No,0.306,-2.371
28-Norcyclomusalenone,131751343,Banana,Musa sapientum L.,DOI: 10.1016/B978-0-12-408117-8.00003-9,CC(CCC(C)C(=C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(=O)C5)C)C,C29H46O,410.67,5,1,0,129.63,17.07,4.69,9.17,7.99,6.62,7.27,-7.83,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.35,No,Yes,2.435,0.771,No,No,0.321,-2.059
3-Epicycloeucalenol,543796,Banana,Musa sapientum L.,DOI: 10.1016/B978-0-12-408117-8.00003-9,CC1C2CCC3C4(CCC(C4(CCC35C2(C5)CCC1O)C)C(C)CCC(=C)C(C)C)C,C30H50O,426.72,5,1,1,135.4,20.23,5.0,9.91,8.02,6.92,7.45,-8.4,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.351,No,Yes,3.002,0.855,No,No,0.294,-1.714
"7,8-Dihydroxy-3-methylisochroman-4-one",25256788,Banana,Musa sapientum L.,DOI: 10.1016/B978-0-12-408117-8.00003-9,CC1C(=O)C2=C(CO1)C(=C(C=C2)O)O,C10H10O4,194.18,0,4,2,49.43,66.76,1.48,0.84,1.05,-0.11,0.94,-1.89,High,No,No,No,No,No,No,0,0,0.55,1,No,-0.33,No,No,1.862,2.25,No,No,0.046,2.48
alpha-Carotene,6419725,Banana,Musa sapientum L.,DOI: 10.1016/B978-0-12-408117-8.00003-9,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.83,13.65,12.46,8.96,11.03,-11.11,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.387,No,Yes,2.065,0.633,No,No,0.327,-3.992
Ascorbic Acid,54670067,Banana,Musa sapientum L.,DOI: 10.1016/B978-0-12-408117-8.00003-9,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
Benzyl beta-d-glucopyranoside,188977,Banana,Musa sapientum L.,DOI: 10.1016/B978-0-12-408117-8.00003-9,C1=CC=C(C=C1)COC2C(C(C(C(O2)CO)O)O)O,C13H18O6,270.28,4,6,4,64.95,99.38,1.6,-0.7,-1.15,-0.95,-0.32,-1.04,High,No,No,No,No,No,No,0,1,0.55,0,No,1.579,No,No,1.849,3.689,No,No,0.285,3.534
Beta-Amyrin,73145,Banana,Musa sapientum L.,DOI: 10.1016/B978-0-12-408117-8.00003-9,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,C30H50O,426.72,0,1,1,134.88,20.23,4.74,9.15,8.17,6.92,7.18,-8.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.56,No,Yes,2.478,0.873,No,No,0.383,-1.345
