Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Acetic acid,176,Lotus,Nelumbo nucifera,PMID: 27057194,CC(=O)O,C2H4O2,60.05,0,2,1,13.5,37.3,0.63,-0.21,0.09,-0.49,-0.09,-0.08,High,No,No,No,No,No,No,0,3,0.85,0,No,1.514,No,No,2.119,2.388,No,No,-1.384,2.88
Anonaine,160597,Lotus,Nelumbo nucifera,PMID: 27057194,C1CNC2CC3=CC=CC=C3C4=C2C1=CC5=C4OCO5,C17H15NO2,265.31,0,3,1,80.13,30.49,2.76,2.83,2.12,2.83,2.88,-3.71,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.357,No,Yes,2.507,1.583,Yes,No,0.988,1.417
Armepavine,442169,Lotus,Nelumbo nucifera,PMID: 27057194,CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)O)OC)OC,C19H23NO3,313.39,4,4,1,94.99,41.93,3.12,3.37,2.48,2.31,2.94,-4.03,High,Yes,No,No,No,Yes,Yes,0,0,0.55,0,No,0.495,No,Yes,2.512,1.439,Yes,No,2.039,1.055
Asimilobine,160875,Lotus,Nelumbo nucifera,PMID: 27057194,COC1=C(C=C2CCNC3C2=C1C4=CC=CC=C4C3)O,C17H17NO2,267.32,1,3,2,82.59,41.49,2.58,2.64,2.11,2.43,2.65,-3.54,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.485,No,Yes,2.396,1.687,No,No,1.412,1.35
Beta-sitosterol,222284,Lotus,Nelumbo nucifera,PMID: 27057194,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.011,No,Yes,2.615,2.124,No,No,1.097,-0.579
Dauricine,73400,Lotus,Nelumbo nucifera,PMID: 27057194,CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC)OC,C38H44N2O6,624.77,10,8,1,188.02,72.86,5.56,6.7,5.35,3.46,5.54,-7.66,High,No,No,No,No,No,No,1,3,0.55,0,No,-0.852,No,Yes,2.903,0.556,No,No,0.314,-0.19
Dehydroanonaine,85821358,Lotus,Nelumbo nucifera,PMID: 27057194,C1CNC2=CC3=CC=CC=C3C4=C2C1=CC5=C4OCO5,C17H13NO2,263.29,0,2,1,82.61,30.49,2.6,4.25,3.12,2.94,3.4,-4.67,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.364,No,Yes,2.491,1.78,No,No,0.554,1.247
Dehydronuciferine,821347,Lotus,Nelumbo nucifera,PMID: 27057194,CN1CCC2=CC(=C(C3=C2C1=CC4=CC=CC=C43)OC)OC,C19H19NO2,293.36,2,2,0,94.43,21.7,3.42,4.52,3.62,3.01,3.75,-4.85,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.396,No,Yes,2.477,1.646,No,No,0.767,0.994
Demethylcoclaurine,114840,Lotus,Nelumbo nucifera,PMID: 27057194,C1CNC(C2=CC(=C(C=C21)O)O)CC3=CC=C(C=C3)O,C16H17NO3,271.31,2,4,4,81.15,72.72,1.84,2.25,1.53,1.6,1.93,-3.25,High,No,No,No,No,Yes,No,0,0,0.55,1,Yes,0.645,No,Yes,2.315,1.691,Yes,No,1.496,1.476
Ginnol,16057860,Lotus,Nelumbo nucifera,PMID: 27057194,CCCCCCCCCCCCCCCCCCCC(CCCCCCCCC)O,C29H60O,424.79,26,1,1,142.68,20.23,7.54,14.03,10.53,7.27,10.12,-9.6,Low,No,No,No,No,No,No,1,3,0.55,0,No,1.115,No,Yes,2.21,3.206,No,Yes,0.572,-2.326
Gluconic acid,10690,Lotus,Nelumbo nucifera,PMID: 27057194,C(C(C(C(C(C(=O)O)O)O)O)O)O,C6H12O7,196.16,5,7,6,38.54,138.45,-2.1,-3.37,-3.49,-2.9,-2.82,1.4,Low,No,No,No,No,No,Yes,1,2,0.56,0,Yes,1.741,No,No,1.171,1.782,No,No,-0.533,2.863
Hyperin,5281643,Lotus,Nelumbo nucifera,PMID: 27057194,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O12,464.38,4,12,8,110.16,210.51,2.11,0.36,-0.54,-2.59,-0.25,-3.04,Low,No,No,No,No,No,No,2,1,0.17,1,Yes,-0.075,No,Yes,2.111,1.415,No,No,0.383,2.345
Isoquercitrin,5280804,Lotus,Nelumbo nucifera,PMID: 27057194,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O12,464.38,4,12,8,110.16,210.51,2.11,0.36,-0.54,-2.59,-0.25,-3.04,Low,No,No,No,No,No,No,2,1,0.17,1,Yes,-0.075,No,Yes,2.111,1.415,No,No,0.383,2.345
Kaempferol,5280863,Lotus,Nelumbo nucifera,PMID: 27057194,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.54,No,No,2.534,1.43,No,No,1.209,1.689
Linalool,6549,Lotus,Nelumbo nucifera,PMID: 27057194,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,1.884,No,No,1.764,2.626,No,Yes,0.353,1.117
Lirinidine,31069,Lotus,Nelumbo nucifera,PMID: 27057194,CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)O)OC,C18H19NO2,281.35,1,3,1,87.49,32.7,2.9,2.63,2.45,2.66,2.81,-3.6,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.431,No,Yes,2.446,1.601,Yes,No,1.506,1.237
Liriodenine,10144,Lotus,Nelumbo nucifera,PMID: 27057194,C1OC2=C(O1)C3=C4C(=C2)C=CN=C4C(=O)C5=CC=CC=C53,C17H9NO3,275.26,0,4,0,76.67,48.42,2.14,3.39,3.17,1.71,2.88,-4.25,High,Yes,Yes,No,No,No,Yes,0,0,0.55,0,No,0.27,No,Yes,2.699,1.588,Yes,No,0.976,1.441
Lotusine,5274587,Lotus,Nelumbo nucifera,PMID: 27057194,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)O)OC)O)C,C19H24NO3+,314.4,3,3,2,96.38,49.69,-0.99,3.06,2.32,-1.37,0.7,-3.91,High,Yes,No,No,No,Yes,Yes,0,0,0.55,0,No,0.473,No,Yes,2.457,1.435,No,No,1.969,1.147
Luteolin,5280445,Lotus,Nelumbo nucifera,PMID: 27057194,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,1.73,-3.71,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,Yes,0.54,No,No,2.534,1.43,No,No,1.209,1.689
Luteolin glucoside,5280637,Lotus,Nelumbo nucifera,PMID: 27057194,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,1.83,1.46,-0.24,-2.1,0.16,-3.65,Low,No,No,No,No,No,No,2,0,0.17,1,Yes,-0.087,No,Yes,2.208,1.449,No,No,0.436,2.239
Malic acid,525,Lotus,Nelumbo nucifera,PMID: 27057194,C(C(C(=O)O)O)C(=O)O,C4H6O5,134.09,3,5,3,26.05,94.83,-0.01,-1.26,-1.09,-1.37,-1.0,0.32,High,No,No,No,No,No,No,0,4,0.56,0,Yes,1.969,No,No,1.638,1.672,No,No,-1.149,2.352
