Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,1,6-Trimethyltetralin",68057,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,CC1=CC2=C(C=C1)C(CCC2)(C)C,C13H18,174.28,0,0,0,58.34,0.0,2.82,4.54,3.61,4.93,4.05,-4.12,Low,Yes,No,No,No,Yes,No,1,0,0.55,0,No,0.476,No,No,1.847,1.4,No,Yes,1.498,0.517
1-Methylnaphthalene,7002,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,CC1=CC=CC2=CC=CC=C12,C11H10,142.2,0,0,0,48.91,0.0,2.19,3.87,3.15,4.55,3.46,-3.83,Low,Yes,Yes,Yes,No,No,No,1,1,0.55,0,No,0.609,No,No,1.962,2.337,No,Yes,0.846,-0.145
"2,3,5-Trimethylpyrazine",26808,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,CC1=CN=C(C(=N1)C)C,C7H10N2,122.17,0,2,0,36.93,25.78,1.73,0.95,1.4,0.22,1.3,-1.69,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.152,No,No,2.193,2.286,No,Yes,-0.454,2.034
2-Hexanol,12297,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,CCCCC(C)O,C6H14O,102.17,3,1,1,32.12,20.23,2.12,1.76,1.56,1.53,1.62,-1.38,High,Yes,No,No,No,No,No,0,2,0.55,0,No,1.03,No,No,1.846,1.826,No,Yes,-0.86,1.933
2-Methyl-1-butanol,8723,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,CCC(C)CO,C5H12O,88.15,2,1,1,27.31,20.23,1.8,1.29,1.02,1.16,1.19,-1.07,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.147,No,No,1.885,1.684,No,No,-1.122,2.222
2-Methylbutanoic acid,8314,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,CCC(C)C(=O)O,C5H10O2,102.13,2,2,1,27.92,37.3,1.31,1.18,1.12,0.89,0.97,-1.08,High,Yes,No,No,No,No,No,0,3,0.85,0,No,1.273,No,No,1.765,2.604,No,No,-0.556,2.068
2-Methylnaphthalene,7055,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,CC1=CC2=CC=CC=C2C=C1,C11H10,142.2,0,0,0,48.91,0.0,2.23,3.86,3.15,4.55,3.46,-3.83,Low,Yes,Yes,Yes,No,No,No,1,1,0.55,0,No,0.62,No,No,1.953,2.318,No,Yes,0.833,0.343
2-Methylundecane,23459,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,CCCCCCCCCC(C)C,C12H26,170.33,8,0,0,59.8,0.0,3.73,6.43,4.78,5.4,4.92,-4.42,Low,No,Yes,No,No,No,No,1,0,0.55,0,No,0.249,No,No,1.493,1.507,No,Yes,1.837,-0.425
"3,4-Dihydroxybenzoic acid",72,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.65,-1.86,High,No,No,No,No,No,Yes,0,3,0.56,1,No,0.814,No,No,2.423,2.021,No,No,0.273,2.451
6-Methylhept-5-en-2-ol,20745,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,CC(CCC=C(C)C)O,C8H16O,128.21,3,1,1,41.26,20.23,2.41,2.29,2.11,2.07,2.1,-1.88,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.893,No,No,1.758,1.92,No,Yes,-0.24,1.668
Acetic Acid,176,Tobacco,Nicotiana tabacum L.,Trends Phytochem. Res. 2(1) 2018 21-26,CC(=O)O,C2H4O2,60.05,0,2,1,13.5,37.3,0.63,-0.21,0.09,-0.49,-0.09,-0.08,High,No,No,No,No,No,No,0,3,0.85,0,No,1.372,No,No,1.774,2.555,No,No,-0.954,2.77
