Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(-)-alpha-Gurjunene,521243,black seed ,Nigella sativa L.,PMID: 26091760,CC1CCC2C(C2(C)C)C3=C(CCC13)C,C15H24,204.35,0,0,0,67.14,0.0,3.26,4.1,4.42,5.65,4.27,-3.69,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.212,No,No,1.606,1.371,No,No,1.263,0.359
(+)-3-Carene,443156,black seed ,Nigella sativa L.,PMID: 26091760,CC1=CCC2C(C1)C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.38,3.0,4.29,3.42,-3.44,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.674,No,No,1.804,2.258,No,No,0.411,1.23
"1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol",64685,black seed ,Nigella sativa L.,PMID: 26091760,CC1(C2CCC1(C(C2)O)C)C,C10H18O,154.25,0,1,1,46.6,20.23,2.29,2.72,2.19,2.45,2.38,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.577,No,No,1.707,1.877,No,Yes,0.175,1.727
"2,5-Dimethylcyclohexanol",97959,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1CCC(C(C1)O)C,C8H16O,128.21,0,1,1,39.62,20.23,2.2,2.61,1.8,1.83,2.0,-2.28,High,Yes,No,No,No,No,No,0,2,0.55,0,No,1.038,No,No,1.922,1.82,No,Yes,-0.484,2.039
alpha-Eudesmol,92762,black seed ,Nigella sativa L.,PMID: 26091760,CC1=CCCC2(C1CC(CC2)C(C)(C)O)C,C15H26O,222.37,1,1,1,70.46,20.23,3.18,3.5,3.92,3.67,3.52,-3.36,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.131,No,No,1.68,1.231,No,Yes,1.522,0.819
alpha-PHELLANDRENE,7460,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.754,No,No,1.741,2.328,No,No,0.638,0.942
alpha-PINENE,6654,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
alpha-Terpinene,7462,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=CC=C(CC1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.7,4.25,3.31,3.27,3.3,-3.3,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.756,No,No,1.766,2.394,No,No,0.627,0.906
Alpha-Terpineol,17100,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=CCC(CC1)C(C)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.58,-2.87,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.923,1.945,No,Yes,0.008,1.8
alpha-Thujene,17868,black seed ,Nigella sativa L.,PMID: 26091760,CC1=CCC2(C1C2)C(C)C,C10H16,136.23,1,0,0,45.22,0.0,2.67,2.85,3.0,4.29,3.15,-2.41,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.353,No,No,1.589,2.243,No,No,0.597,0.995
Alpha-Tocopherol,14985,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,C29H50O2,430.71,12,2,1,139.27,29.46,5.92,10.7,8.84,6.14,8.27,-8.6,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.775,No,Yes,2.072,1.987,No,No,1.017,-3.324
Beta-Carotene,5280489,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.79,13.54,12.61,8.96,11.11,-11.04,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.379,No,Yes,2.073,0.65,No,No,0.326,-4.028
"beta-OCIMENE, (3E)-",5281553,black seed ,Nigella sativa L.,PMID: 26091760,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
beta-Pinene,14896,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
Beta-Sitosterol,222284,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
beta-Tocopherol,6857447,black seed ,Nigella sativa L.,PMID: 26091760,CC1=CC(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O,C28H48O2,416.68,12,2,1,134.31,29.46,4.94,10.33,8.53,5.94,7.79,-8.29,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.908,No,Yes,1.913,2.379,No,No,1.122,-3.809
Camphene,6616,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1(C2CCC(C2)C1=C)C,C10H16,136.23,0,0,0,45.22,0.0,2.58,4.22,3.0,4.29,3.43,-3.34,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.305,No,No,1.554,2.247,No,No,0.533,1.19
Camphor,2537,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
Carotol,442347,black seed ,Nigella sativa L.,PMID: 26091760,CC1=CCC2(CCC(C2(CC1)O)C(C)C)C,C15H26O,222.37,1,1,1,70.46,20.23,3.19,3.58,3.92,3.67,3.6,-3.41,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.536,No,No,1.988,1.443,No,Yes,1.267,0.685
Carvacrol,10364,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=C(C=C(C=C1)C(C)C)O,C10H14O,150.22,1,1,1,48.01,20.23,2.24,3.49,2.82,2.76,2.82,-3.31,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,1.007,No,No,2.074,2.212,Yes,Yes,0.387,1.213
Carvone,7439,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=CCC(CC1=O)C(=C)C,C10H14O,150.22,1,1,0,47.32,17.07,2.27,2.71,2.49,2.1,2.44,-2.41,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.775,No,No,1.86,1.972,No,Yes,0.41,1.445
Caryophyllene,5281515,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Cuminaldehyde,326,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC(C)C1=CC=C(C=C1)C=O,C10H12O,148.2,2,1,0,46.41,17.07,2.03,2.37,2.62,2.4,2.48,-2.52,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.839,No,No,1.7,2.194,No,Yes,0.766,0.819
delta-Tocopherol,92094,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=CC(=CC2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)O,C27H46O2,402.65,12,2,1,129.34,29.46,5.33,9.97,8.22,5.74,7.58,-7.98,Low,No,No,No,No,No,No,1,2,0.55,0,No,0.615,No,Yes,1.984,2.219,No,No,1.175,-3.811
Digalactosyldiacylglycerol,10724471,black seed ,Nigella sativa L.,PMID: 26091760,CCCCCCCCCCCCCCCC(=O)OCC(COC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O)OC(=O)CCCCCCCC=CCC=CCCCCC,C49H88O15,917.21,40,15,7,247.52,231.13,8.33,9.77,6.38,1.16,6.92,-9.04,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.352,No,Yes,2.777,5.636,No,No,0.285,1.925
Gama-Tocopherol,45356270,black seed ,Nigella sativa L.,DOI: 10.1080/0972060X.2014.914857,CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O,C28H48O2,416.68,12,2,1,134.31,29.46,5.76,10.33,8.53,5.94,7.95,-8.29,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.781,No,Yes,2.21,2.052,No,No,0.946,-3.814
gamma-Terpinene,7461,black seed ,Nigella sativa L.,PMID: 26091760,CC1=CCC(=CC1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.73,4.5,3.31,3.27,3.35,-3.45,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.756,No,No,1.766,2.394,No,No,0.627,0.906
Geraniol,637566,black seed ,Nigella sativa L.,PMID: 26091760,CC(=CCCC(=CCO)C)C,C10H18O,154.25,4,1,1,50.4,20.23,2.75,3.56,2.67,2.59,2.78,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.65,No,No,1.636,2.03,No,Yes,0.595,1.213
Isopinocarveol,10931630,black seed ,Nigella sativa L.,PMID: 26091760,CC1(C2CC1C(=C)C(C2)O)C,C10H16O,152.23,0,1,1,46.38,20.23,2.12,1.79,1.97,2.3,2.07,-1.91,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.402,No,No,1.71,1.804,No,Yes,0.268,1.865
Limonene,22311,black seed ,Nigella sativa L.,PMID: 26091760,CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.777,No,No,1.88,2.336,No,Yes,0.579,1.203
Linalool,6549,black seed ,Nigella sativa L.,PMID: 26091760,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.774,No,No,1.704,2.024,No,Yes,0.515,1.277
Longicyclene,564934,black seed ,Nigella sativa L.,PMID: 26091760,CC1(CCCC2(C3C1C4C2(C4C3)C)C)C,C15H24,204.35,0,0,0,64.98,0.0,3.13,5.01,4.1,5.8,4.39,-4.26,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.142,No,No,1.586,1.303,No,No,0.765,0.725
