Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
4-hydroxy hexahydrobenzofuran-7-one,155803271,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,C1CC(=O)C2C(C1O)CCO2,C8H12O3,156.18,0,3,1,38.79,46.53,1.18,-0.21,0.12,-0.12,0.39,-0.68,High,No,No,No,No,No,No,0,2,0.55,0,No,1.009,No,No,1.794,2.395,Yes,No,-0.57,3.094
6-beta-hydroxy-Loganin,341846,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CC1C2C(C(C1O)O)C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)OC,C17H26O11,406.38,5,11,6,88.53,175.37,0.83,-2.36,-3.18,-2.52,-2.06,-0.54,Low,No,No,No,No,No,No,2,1,0.11,0,No,0.968,No,No,2.322,3.611,No,No,0.285,7.385
Arborside B,182903,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)OC(=O)C4=CC=CC=C4,C24H30O11,494.49,8,11,4,117.0,161.21,2.96,0.85,-0.29,-0.23,0.53,-3.04,Low,No,No,No,No,No,No,1,1,0.11,0,No,0.023,No,No,3.127,4.225,No,No,0.285,2.859
Arborside C,182904,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CC1C2C(C(C1OC(=O)C3=CC=CC=C3)O)C(=COC2OC4C(C(C(C(O4)CO)O)O)O)C(=O)OC,C24H30O12,510.49,8,12,5,118.17,181.44,2.42,-0.13,-1.32,-0.99,-0.31,-2.52,Low,No,No,No,No,No,No,2,2,0.11,0,No,-0.121,No,No,2.544,3.762,No,No,0.285,6.591
Arbortristoside A,6442162,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CC1C2C(C(C1O)OC(=O)C=CC3=CC=C(C=C3)OC)C(=COC2OC4C(C(C(C(O4)CO)O)O)O)C(=O)OC,C27H34O13,566.55,10,13,5,134.37,190.67,3.54,0.27,-1.02,-1.2,0.16,-2.97,Low,No,No,No,No,No,No,2,4,0.11,0,No,-0.308,No,Yes,3.262,3.712,No,No,0.285,7.097
Arbortristoside B,6442163,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,COC(=O)C1=COC(C2C1C(C(C2CO)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)OC4C(C(C(C(O4)CO)O)O)O,C26H32O15,584.52,10,15,8,133.08,242.13,1.34,-1.08,-2.64,-2.62,-1.48,-2.23,Low,No,No,No,No,No,No,3,4,0.11,1,No,0.006,No,Yes,3.091,3.471,No,No,0.285,9.276
Arbortristoside-B,5459045,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,COC(=O)C1=COC(C2C1C(C(C2CO)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)OC4C(C(C(C(O4)CO)O)O)O,C26H32O15,584.52,10,15,8,133.08,242.13,1.34,-1.08,-2.64,-2.62,-1.48,-2.23,Low,No,No,No,No,No,No,3,4,0.11,1,No,0.006,No,Yes,3.091,3.471,No,No,0.285,9.276
Ascorbic Acid,54670067,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
Astragalin,5282102,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,0.53,0.72,-0.24,-2.1,-0.25,-3.18,Low,No,No,No,No,No,No,2,0,0.17,0,No,0.582,No,No,2.546,4.53,No,No,0.285,6.735
Beta-Amyrin,73145,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,C30H50O,426.72,0,1,1,134.88,20.23,4.74,9.15,8.17,6.92,7.18,-8.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.56,No,Yes,2.478,0.873,No,No,0.383,-1.345
Beta-Sitosterol,222284,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Calceolarioside A,5273566,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,C1=CC(=C(C=C1CCOC2C(C(C(C(O2)CO)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O)O)O,C23H26O11,478.45,9,11,7,117.2,186.37,2.19,0.59,0.02,-1.01,0.42,-2.85,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.19,No,No,2.378,3.397,No,No,0.285,5.282
Friedelin,91472,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C,C30H50O,426.72,0,1,0,134.39,17.07,4.52,9.8,8.46,6.92,7.44,-8.66,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.213,No,Yes,2.64,0.909,No,No,0.3,-2.384
Hentriacontane,12410,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,C31H64,436.84,28,0,0,151.13,0.0,8.25,16.41,12.34,9.64,11.9,-11.04,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.254,No,Yes,1.86,0.848,No,Yes,0.287,-5.021
Lupeol,259846,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,C30H50O,426.72,1,1,1,135.14,20.23,4.68,9.87,8.02,6.92,7.26,-8.64,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.502,No,Yes,2.563,0.89,No,No,0.316,-1.696
Mannitol,6251,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,C(C(C(C(C(CO)O)O)O)O)O,C6H14O6,182.17,5,6,6,37.93,121.38,0.34,-3.1,-3.59,-2.77,-2.21,1.31,Low,No,No,No,No,No,No,1,2,0.55,0,No,2.19,No,No,1.637,4.25,No,No,0.285,5.763
Melanin,6325610,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CC1=C2C3=C(C4=CNC5=C(C(=O)C(=O)C(=C45)C3=CN2)C)C(=O)C1=O,C18H10N2O4,318.28,0,4,2,93.74,99.86,0.97,-1.23,1.33,-0.49,1.2,-1.59,High,No,Yes,No,No,No,Yes,0,0,0.55,0,Yes,0.433,No,Yes,2.445,1.922,No,No,0.29,-0.009
Methyl Salicylate,4133,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,COC(=O)C1=CC=CC=C1O,C8H8O3,152.15,2,3,1,39.74,46.53,2.03,2.55,1.18,1.32,1.66,-2.66,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,0.769,No,No,1.764,2.305,No,No,0.367,1.778
Oleanolic Acid,10494,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,C30H48O3,456.7,1,3,2,136.65,57.53,3.89,7.49,7.23,5.82,6.06,-7.32,Low,No,No,No,No,No,No,1,3,0.85,0,No,0.203,No,No,2.349,2.085,Yes,No,0.285,-0.823
p-CYMENE,7463,Parijat,Nyctanthes arbor-tristis L.,PMID: 23376280,CC1=CC=C(C=C1)C(C)C,C10H14,134.22,1,0,0,45.99,0.0,2.51,4.1,3.12,4.47,3.5,-3.63,Low,Yes,No,No,No,Yes,No,1,1,0.55,0,No,0.903,No,No,1.827,2.328,No,Yes,0.462,0.869
