Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Astragalin,5282102,blue lotus ,Nymphaea nouchali Burm. F.,DOI: 10.1007/978-94-017-8748-2,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,0.53,0.72,-0.24,-2.1,-0.25,-3.18,Low,No,No,No,No,No,No,2,0,0.17,0,No,0.582,No,No,2.546,4.53,No,No,0.285,6.735
Cianidanol,9064,blue lotus ,Nymphaea nouchali Burm. F.,DOI: 10.1007/978-94-017-8748-2,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Coclaurine,160487,blue lotus ,Nymphaea nouchali Burm. F.,DOI: 10.1007/978-94-017-8748-2,COC1=C(C=C2C(NCCC2=C1)CC3=CC=C(C=C3)O)O,C17H19NO3,285.34,3,4,3,85.62,61.72,2.55,2.58,1.83,1.84,2.35,-3.46,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,0.042,No,Yes,2.713,1.054,Yes,No,0.489,0.55
Corilagin,73568,blue lotus ,Nymphaea nouchali Burm. F.,DOI: 10.1007/978-94-017-8748-2,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O,C27H22O18,634.45,3,18,11,141.85,310.66,2.03,0.07,-0.3,-2.42,-0.55,-3.92,Low,No,No,No,No,No,No,3,2,0.17,1,No,0.438,No,Yes,2.482,6.333,No,No,0.285,11.281
Dimethyl Sulfoxide,679,blue lotus ,Nymphaea nouchali Burm. F.,DOI: 10.1007/978-94-017-8748-2,CS(=O)C,C2H6OS,78.13,0,1,0,20.01,36.28,1.03,-0.61,0.86,-0.37,0.05,0.06,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.161,No,No,2.184,1.243,No,No,-0.655,2.594
Gallic Acid,370,blue lotus ,Nymphaea nouchali Burm. F.,DOI: 10.1007/978-94-017-8748-2,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Isokaempferide,5280862,blue lotus ,Nymphaea nouchali Burm. F.,PMID: 29864924,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C16H12O6,300.26,2,6,3,80.48,100.13,2.11,2.22,2.59,0.22,1.94,-3.51,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.34,No,No,2.395,1.704,No,No,0.314,1.539
Kaempferol,5280863,blue lotus ,Nymphaea nouchali Burm. F.,DOI: 10.1007/978-94-017-8748-2,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Methyl gallate,7428,blue lotus ,Nymphaea nouchali Burm. F.,DOI: 10.1007/978-94-017-8748-2,COC(=O)C1=CC(=C(C(=C1)O)O)O,C8H8O5,184.15,2,5,3,43.79,86.99,0.97,0.86,0.59,0.18,0.57,-1.73,High,No,No,No,No,No,No,0,0,0.55,1,Yes,-0.296,No,No,1.898,2.432,No,No,0.195,2.871
Methyl m-galloylgallate,129848017,blue lotus ,Nymphaea nouchali Burm. F.,PMID: 29864924,COC(=O)C1=CC(=C(C(C1)(C(=O)C2=CC(=C(C(=C2)O)O)O)O)O)O,C15H14O9,338.27,4,9,6,78.92,164.75,0.8,0.24,0.55,-1.93,-0.13,-2.01,Low,No,No,No,No,No,No,1,0,0.55,1,Yes,0.28,No,No,2.356,2.921,No,No,0.285,4.63
Nymphayol,252042,blue lotus ,Nymphaea nouchali Burm. F.,PMID: 29864924,CCCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C25H42O,358.6,4,1,1,114.0,20.23,4.58,7.93,6.75,5.93,6.19,-6.8,Low,No,No,No,Yes,No,No,1,1,0.55,0,No,-0.639,No,Yes,2.013,0.996,No,No,0.865,-1.159
Quercetin,5280343,blue lotus ,Nymphaea nouchali Burm. F.,DOI: 10.1007/978-94-017-8748-2,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
quercetin-3-methyl ether,5280681,blue lotus ,Nymphaea nouchali Burm. F.,DOI: 10.1007/978-94-017-8748-2,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,C16H12O7,316.26,2,7,4,82.5,120.36,2.0,2.71,2.29,-0.31,1.75,-3.89,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.519,No,No,2.529,2.256,No,No,0.3,2.374
