Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Apigenin,5280704,Ram Tulsi,Ocimum gratissimum,PMID: 31965918,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,4,10,6,106.11,170.05,2.17,1.81,0.05,-1.61,0.55,-3.78,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.515,No,No,2.595,4.359,No,No,0.285,5.507
"Apigenin 7,4,′-dimethyl ether",5281601,Ram Tulsi,Ocimum gratissimum,PMID: 31965918,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O,C17H14O5,298.29,3,5,1,82.93,68.9,2.55,3.67,3.18,1.01,2.79,-4.34,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.193,No,No,2.085,1.432,No,No,0.567,0.609
Basilimoside,16655785,Ram Tulsi,Ocimum gratissimum,PMID: 31965918,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)(C)C,C36H60O6,588.86,8,6,4,169.69,99.38,5.3,7.36,6.02,4.03,5.56,-7.6,Low,No,No,No,No,No,No,1,4,0.55,0,No,-0.9,No,No,2.617,3.385,No,No,0.285,-0.854
Camphene,6616,Ram Tulsi,Ocimum gratissimum,PMID: 31965918,CC1(C2CCC(C2)C1=C)C,C10H16,136.23,0,0,0,45.22,0.0,2.58,4.22,3.0,4.29,3.43,-3.34,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.305,No,No,1.554,2.247,No,No,0.533,1.19
Hymenoxin,171488,Ram Tulsi,Ocimum gratissimum,PMID: 31965918,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)O)OC)O)OC,C19H18O8,374.34,5,8,2,97.93,107.59,3.23,2.91,2.91,-0.12,2.42,-4.1,High,No,Yes,No,Yes,No,Yes,0,0,0.55,0,No,0.435,No,No,2.264,1.89,No,No,0.308,2.233
Luteolin,5280637,Ram Tulsi,Ocimum gratissimum,PMID: 31965918,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,1.83,1.46,-0.24,-2.1,0.16,-3.65,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.584,No,No,2.547,4.279,No,No,0.285,6.342
Methyl acetate,6584,Ram Tulsi,Ocimum gratissimum,PMID: 31965918,CC(=O)OC,C3H6O2,74.08,1,2,0,17.82,26.3,1.44,0.18,0.18,0.03,0.35,-0.35,High,No,No,No,No,No,No,0,3,0.55,0,No,1.221,No,No,2.076,2.298,No,No,-1.175,2.48
Methyl eugenol,7127,Ram Tulsi,Ocimum gratissimum,PMID: 31965918,COC1=C(C=C(C=C1)CC=C)OC,C11H14O2,178.23,4,2,0,53.53,18.46,2.65,2.52,2.43,2.3,2.58,-2.61,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,0.959,No,No,1.973,2.119,No,Yes,0.742,1.449
Nepetoidin A,5316820,Ram Tulsi,Ocimum gratissimum,PMID: 31965918,C1=CC(=C(C=C1C=CC(=O)OC=CC2=CC(=CC(=C2)O)O)O)O,C17H14O6,314.29,5,6,4,85.14,107.22,1.89,2.75,2.52,1.44,2.15,-3.58,High,No,No,No,Yes,No,Yes,0,0,0.55,1,No,-0.146,No,No,2.824,2.894,No,No,0.548,1.4
Nevadensin,160921,Ram Tulsi,Ocimum gratissimum,PMID: 31965918,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)O)OC)O,C18H16O7,344.32,4,7,2,91.44,98.36,3.0,2.93,2.9,0.17,2.42,-4.03,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,No,0.379,No,No,2.226,1.841,No,No,0.352,1.691
