Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
4 – terpineol,11230,Camphor Basil,Ocimum kilimandascharicum,PMID: 31965918,CC1=CCC(CC1)(C(C)C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.26,2.5,2.3,2.6,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.857,No,No,1.811,2.02,No,Yes,0.189,1.545
8 –cineole,2758,Camphor Basil,Ocimum kilimandascharicum,PMID: 31965918,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.67,-2.52,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.553,No,No,2.01,2.029,No,Yes,0.171,1.735
Camphor,2537,Camphor Basil,Ocimum kilimandascharicum,PMID: 31965918,CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
Cis – sabinene hydrate,12315152,Camphor Basil,Ocimum kilimandascharicum,PMID: 31965918,CC(C)C12CCC(C1C2)(C)O,C10H18O,154.25,1,1,1,46.9,20.23,2.47,2.12,2.19,2.45,2.33,-2.07,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.637,No,No,1.703,1.926,No,Yes,0.323,1.337
DL – limonene,22311,Camphor Basil,Ocimum kilimandascharicum,PMID: 31965918,CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.777,No,No,1.88,2.336,No,Yes,0.579,1.203
Ethylamyl carbinol,11527,Camphor Basil,Ocimum kilimandascharicum,PMID: 31965918,CCCCCC(CC)O,C8H18O,130.23,5,1,1,41.73,20.23,2.55,2.78,2.34,2.22,2.37,-2.07,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.851,No,No,1.765,1.988,No,Yes,-0.007,1.334
Germarcrene‐D,5317570,Camphor Basil,Ocimum kilimandascharicum,PMID: 31965918,CC1=CCCC(=C)C=CC(CC1)C(C)C,C15H24,204.35,1,0,0,70.68,0.0,3.32,4.74,4.89,4.53,4.3,-4.03,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.497,No,No,1.634,1.413,No,Yes,1.671,0.257
L – Phellandrene,442482,Camphor Basil,Ocimum kilimandascharicum,PMID: 31965918,CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.754,No,No,1.741,2.328,No,No,0.638,0.942
Linalool,6549,Camphor Basil,Ocimum kilimandascharicum,PMID: 31965918,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.774,No,No,1.704,2.024,No,Yes,0.515,1.277
Myrtenol,10582,Camphor Basil,Ocimum kilimandascharicum,PMID: 31965918,CC1(C2CC=C(C1C2)CO)C,C10H16O,152.23,1,1,1,46.38,20.23,2.34,3.22,1.97,2.3,2.4,-2.75,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.439,No,No,1.746,1.8,No,Yes,0.262,1.698
