Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(E)-beta-ocimene,5281553,Holy Basil,Ocimum sanctum,E-ISSN: 2278-778X,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
Alpha-Bisabolene,86597,Holy Basil,Ocimum sanctum,E-ISSN: 2278-778X,CC1=CCC(CC1)C(=CCC=C(C)C)C,C15H24,204.35,3,0,0,70.68,0.0,3.58,6.36,5.04,4.53,4.77,-4.92,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.357,No,No,1.608,1.358,No,Yes,1.843,0.102
Alpha-Humulene,5281520,Holy Basil,Ocimum sanctum,E-ISSN: 2278-778X,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
Alpha-Linolenic Acid,5280934,Holy Basil,Ocimum sanctum,E-ISSN: 2278-778X,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,278.43,13,2,1,88.99,37.3,3.36,6.46,5.66,4.38,5.09,-4.78,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.84,No,No,1.441,3.115,Yes,Yes,0.722,-1.183
Alpha-pinene,6654,Holy Basil,Ocimum sanctum,E-ISSN: 2278-778X,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
Apigenin,5280443,Holy Basil,Ocimum sanctum,E-ISSN: 2278-778X,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
Beta-bisabolene,10104370,Holy Basil,Ocimum sanctum,E-ISSN: 2278-778X,CC1=CCC(CC1)C(=C)CCC=C(C)C,C15H24,204.35,4,0,0,70.68,0.0,3.67,6.43,5.04,4.53,4.83,-4.89,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.418,No,No,1.642,1.347,No,Yes,1.943,-0.065
Beta-carotene,5280489,Holy Basil,Ocimum sanctum,E-ISSN: 2278-778X,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.79,13.54,12.61,8.96,11.11,-11.04,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.379,No,Yes,2.073,0.65,No,No,0.326,-4.028
Beta-sitosterol,222284,Holy Basil,Ocimum sanctum,E-ISSN: 2278-778X,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Bornyl acetate,6448,Holy Basil,Ocimum sanctum,E-ISSN: 2278-778X,CC(=O)OC1CC2CCC1(C2(C)C)C,C12H20O2,196.29,2,2,0,56.33,26.3,2.5,4.3,2.76,2.76,3.0,-3.63,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.526,No,No,1.904,1.875,No,Yes,0.557,1.593
