Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"3,4-Dihydroxybenzoic acid",72,Tulsi,Ocimum tenuiflorum L.,DOI: 10.1016/j.indcrop.2018.03.048,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.65,-1.86,High,No,No,No,No,No,Yes,0,3,0.56,1,No,0.814,No,No,2.423,2.021,No,No,0.273,2.451
4-Hydroxybenzoic acid,135,Tulsi,Ocimum tenuiflorum L.,DOI: 10.1016/j.indcrop.2018.03.048,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,1.05,-2.07,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.846,No,No,2.255,2.483,No,No,0.268,1.812
Apigenin,5280443,Tulsi,Ocimum tenuiflorum L.,DOI: 10.1016/j.indcrop.2018.03.048,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
Caffeic Acid,689043,Tulsi,Ocimum tenuiflorum L.,DOI: 10.1016/j.indcrop.2018.03.048,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Carnosic acid,65126,Tulsi,Ocimum tenuiflorum L.,DOI: 10.1016/j.indcrop.2018.03.048,CC(C)C1=C(C(=C2C(=C1)CCC3C2(CCCC3(C)C)C(=O)O)O)O,C20H28O4,332.43,2,4,3,95.43,77.76,2.93,4.89,4.32,3.25,3.87,-5.03,High,No,No,No,Yes,No,No,0,0,0.56,1,No,0.345,No,No,2.891,1.972,No,No,0.285,-0.627
Caryophyllene,5281515,Tulsi,Ocimum tenuiflorum L.,DOI: 10.1016/j.indcrop.2018.03.048,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Chlorogenic Acid,1794427,Tulsi,Ocimum tenuiflorum L.,DOI: 10.1016/j.indcrop.2018.03.048,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Cirsimaritin,188323,Tulsi,Ocimum tenuiflorum L.,DOI: 10.1016/j.indcrop.2018.03.048,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)OC,C17H14O6,314.29,3,6,2,84.95,89.13,2.56,3.32,2.89,0.47,2.46,-4.2,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,No,0.033,No,No,2.254,1.862,No,No,0.447,0.945
Dehydrodieugenol,165225,Tulsi,Ocimum tenuiflorum L.,DOI: 10.1016/j.indcrop.2018.03.048,COC1=CC(=CC(=C1O)C2=C(C(=CC(=C2)CC=C)OC)O)CC=C,C20H22O4,326.39,7,4,2,97.12,58.92,3.79,4.92,4.24,3.04,4.22,-4.87,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.15,No,Yes,1.953,1.34,No,No,0.373,-0.538
Esculin,5281417,Tulsi,Ocimum tenuiflorum L.,DOI: 10.1016/j.indcrop.2018.03.048,C1=CC(=O)OC2=CC(=C(C=C21)OC3C(C(C(C(O3)CO)O)O)O)O,C15H16O9,340.28,3,9,5,78.65,149.82,1.04,-0.61,-1.32,-1.48,-0.62,-1.68,Low,No,No,No,No,No,No,0,1,0.55,0,No,0.799,No,No,2.299,4.157,Yes,No,0.285,4.925
