Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
24-Methylenecycloartanol,94204,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,CC(C)C(=C)CCC(C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,C31H52O,440.74,5,1,1,139.95,20.23,5.2,10.31,8.41,7.12,7.8,-8.74,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.619,No,Yes,2.016,0.978,No,No,0.495,-3.487
Apigenin,5280443,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.624,No,No,2.508,1.464,No,No,1.386,1.583
Apigenin 6-C-glucoside,162350,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,3,10,7,106.61,181.05,1.94,0.21,-0.23,-2.02,0.05,-2.84,Low,No,No,No,No,No,No,1,0,0.55,0,Yes,-0.108,No,Yes,2.258,1.468,No,No,0.483,2.18
Beta-Sitosterol,222284,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.011,No,Yes,2.615,2.124,No,No,1.097,-0.579
Campesterol,173183,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,0.043,No,Yes,2.583,2.102,No,No,1.182,-0.414
Catechin,9064,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,Yes,0.547,No,No,2.39,1.501,No,No,1.147,1.796
Chrysoeriol C-hexoside,137333728,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,COC1=CC(=CC(=C1O)C2C(C(C(O2)O)O)CO)C3=CC(=O)C4=C(O3)C(=C(C=C4O)O)C5C(C(C(C(O5)CO)O)O)O,C27H30O15,594.52,6,15,10,139.75,260.2,1.52,-1.38,-2.19,-3.83,-1.39,-2.54,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.221,No,Yes,1.728,1.402,No,No,0.292,2.505
Cycloartanol,12760132,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,CC(C)CCCC(C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,C30H52O,428.73,5,1,1,135.62,20.23,5.24,10.23,8.25,7.07,7.7,-8.61,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.171,No,Yes,2.689,2.054,No,No,0.701,-0.596
Cycloartenol,92110,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,C30H50O,426.72,4,1,1,135.14,20.23,5.17,9.78,8.17,6.92,7.51,-8.38,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.181,No,Yes,2.671,2.013,No,No,0.71,-0.505
Epicatechin,72276,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,Yes,0.547,No,No,2.39,1.501,No,No,1.147,1.796
Flavanone,10251,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3,C15H12O2,224.25,1,2,0,65.5,26.3,2.41,3.14,3.07,2.47,2.93,-3.66,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.894,No,No,2.29,2.107,No,No,1.719,1.222
Flavonol,11349,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,C15H10O3,238.24,1,3,1,69.94,50.44,2.44,3.4,3.17,1.66,2.84,-4.05,High,Yes,Yes,Yes,No,Yes,Yes,0,0,0.55,0,No,0.805,No,No,2.391,2.03,No,No,1.638,1.369
Gramisterol,5283640,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,CC1C(CCC2(C1CC=C3C2CCC4(C3CCC4C(C)CCC(=C)C(C)C)C)C)O,C29H48O,412.69,5,1,1,132.75,20.23,5.0,8.8,7.8,6.62,7.0,-7.61,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.007,No,Yes,2.581,2.052,No,No,1.123,-0.452
Hesperidin,10621,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,C28H34O15,610.56,7,15,8,141.41,234.29,2.6,-0.14,-1.48,-3.04,-0.72,-3.28,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.274,No,Yes,1.833,1.429,No,No,0.295,2.263
Hydroxybenzoic acid,135,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,1.05,-2.07,High,Yes,No,No,No,No,No,0,3,0.85,0,No,1.736,No,No,1.928,2.925,No,No,-0.512,1.86
Hydroxycinnamic acid,637542,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1=CC(=CC=C1C=CC(=O)O)O,C9H8O3,164.16,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.26,-2.02,High,Yes,No,No,No,No,No,0,0,0.85,0,Yes,1.624,No,No,1.965,2.882,No,No,0.005,1.696
Isorhamnetin,5281654,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C16H12O7,316.26,2,7,4,82.5,120.36,2.35,1.87,2.29,-0.31,1.65,-3.36,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.415,No,No,2.621,1.398,No,No,1.188,1.642
Isorhamnetin-3-O-glucoside,5318645,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C22H22O12,478.4,5,12,7,114.63,199.51,1.21,0.69,-0.24,-2.37,-0.15,-3.26,Low,No,No,No,No,No,Yes,2,0,0.17,0,No,-0.111,No,Yes,2.177,1.417,No,No,0.393,2.191
Kaempferol,5280863,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.54,No,No,2.534,1.43,No,No,1.209,1.689
Luteolin,5280445,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,1.73,-3.71,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,Yes,0.54,No,No,2.534,1.43,No,No,1.209,1.689
Luteolin 7-O-glucoside,5280637,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,1.83,1.46,-0.24,-2.1,0.16,-3.65,Low,No,No,No,No,No,No,2,0,0.17,1,Yes,-0.087,No,Yes,2.208,1.449,No,No,0.436,2.239
Myricetin,5281672,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O8,318.24,1,8,6,80.06,151.59,1.08,1.18,1.69,-1.08,0.79,-3.01,Low,No,Yes,No,No,No,Yes,1,0,0.55,1,Yes,0.397,No,No,2.515,1.361,No,No,0.864,1.903
Naringenin,439246,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C15H12O5,272.25,1,5,3,71.57,86.99,1.75,2.52,2.19,0.71,1.84,-3.49,High,No,Yes,No,No,No,Yes,0,0,0.55,0,Yes,0.622,No,No,2.501,1.479,No,No,1.44,1.542
Quercetin,5280343,Rice,Oryza sativa,DOI: 10.1016/B978-0-12-811508-4.00008-3,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,Yes,0.464,No,No,2.536,1.396,No,No,1.03,1.796
