Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
2- methoxyphenol,1669,Bermuda Buttercup,Oxalis pes-caprae,PMID: 35756195,COC1=C(C=CC(=C1)CCN)O,C9H13NO2,167.21,3,3,2,47.44,55.48,1.89,-0.08,0.9,0.92,0.98,-1.0,High,Yes,No,No,No,No,No,0,0,0.55,0,Yes,0.901,No,No,2.722,1.596,No,Yes,-0.072,2.424
"2,6-Ditert-butyl-4-(1-hydroxyethyl) phenol",12576677,Bermuda Buttercup,Oxalis pes-caprae,PMID: 35756195,CC(C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)O,C7H6O3,138.12,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,1.05,-2.07,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.411,No,No,2.583,2.023,No,Yes,1.052,-0.016
3-(1-hydroxyethyl) phenol,13542886,Bermuda Buttercup,Oxalis pes-caprae,PMID: 35756195,CC(C1=CC(=CC=C1)O)O,C8H10O2,138.16,1,2,2,39.4,40.46,1.36,0.49,1.12,1.21,1.11,-1.38,High,Yes,No,No,No,No,No,0,2,0.55,0,No,-0.174,No,No,2.377,1.918,No,Yes,0.495,2.116
3-methoxyphenol,9007,Bermuda Buttercup,Oxalis pes-caprae,PMID: 35756195,COC1=CC=CC(=C1)O,C7H8O2,124.14,1,2,1,34.96,29.46,1.55,1.34,1.4,1.15,1.36,-1.88,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.662,No,No,2.117,2.3,No,Yes,-0.128,1.952
3-Phenylpropionic acid,107,Bermuda Buttercup,Oxalis pes-caprae,PMID: 35756195,C1=CC=C(C=C1)CCC(=O)O,C9H10O2,150.17,3,2,1,42.79,37.3,1.5,1.84,1.7,1.98,1.78,-2.14,High,Yes,No,No,No,No,No,0,1,0.85,0,No,1.073,No,No,2.067,2.668,Yes,No,0.247,1.668
4-hydroxybenzoic acid,135,Bermuda Buttercup,Oxalis pes-caprae,PMID: 35756195,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,1.05,-2.07,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.846,No,No,2.255,2.483,No,No,0.268,1.812
Butylparaben,7184,Bermuda Buttercup,Oxalis pes-caprae,PMID: 35756195,CCCCOC(=O)C1=CC=C(C=C1)O,C11H14O3,194.23,5,3,1,54.17,46.53,2.4,3.57,2.35,2.23,2.57,-3.28,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.835,No,No,1.794,2.366,No,No,0.977,1.018
Caeruleanone A,102231361,Bermuda Buttercup,Oxalis pes-caprae,PMID: 35756195,CC(=CCC1(C2=C(C=C(C1=O)OC)C(=O)C3C(O2)COC4=CC5=C(C=C34)OCO5)CC=C(C)C)C,C28H30O7,478.53,5,7,0,129.37,80.29,4.35,5.2,4.93,1.95,4.37,-5.88,High,No,No,Yes,Yes,No,Yes,0,0,0.56,0,No,0.406,No,No,2.594,2.032,No,No,0.286,-0.993
Calycosin,5280448,Bermuda Buttercup,Oxalis pes-caprae,PMID: 35756195,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,C16H12O5,284.26,2,5,2,78.46,79.9,2.4,2.44,2.88,0.77,2.3,-3.57,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.141,No,No,2.127,1.796,No,No,0.521,0.397
Cinnamic acid,444539,Bermuda Buttercup,Oxalis pes-caprae,PMID: 35756195,C1=CC=C(C=C1)C=CC(=O)O,C9H8O2,148.16,2,2,1,43.11,37.3,1.55,2.13,1.68,1.9,1.79,-2.37,High,Yes,No,No,No,No,No,0,2,0.85,0,No,1.11,No,No,2.094,2.651,No,No,0.247,1.719
