Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,2-Dimethoxybenzene",7043,Gandhali,Paederia foetida,PMID: 25115105,COC1=CC=CC=C1OC,C8H10O2,138.16,2,2,0,39.43,18.46,2.07,1.6,1.7,1.48,1.73,-2.02,High,Yes,Yes,No,No,No,No,0,2,0.55,0,No,1.177,No,No,1.916,2.296,No,Yes,0.07,1.56
1-Butanol,263,Gandhali,Paederia foetida,PMID: 25115105,CCCCO,C4H10O,74.12,2,1,1,22.5,20.23,1.57,0.88,0.78,0.75,0.88,-0.72,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.196,No,No,1.909,1.673,No,No,-1.376,2.303
1-Hexanol,8103,Gandhali,Paederia foetida,PMID: 25115105,CCCCCCO,C6H14O,102.17,4,1,1,32.12,20.23,2.03,2.03,1.56,1.53,1.69,-1.49,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.962,No,No,1.774,1.819,No,Yes,-0.777,1.775
1-Pentanol,6276,Gandhali,Paederia foetida,PMID: 25115105,CCCCCO,C5H12O,88.15,3,1,1,27.31,20.23,1.82,1.51,1.17,1.16,1.3,-1.14,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.079,No,No,1.837,1.75,No,No,-1.129,2.05
1-Penten-3-one,15394,Gandhali,Paederia foetida,PMID: 25115105,CCC(=O)C=C,C5H8O,84.12,2,1,0,25.87,17.07,1.56,1.01,1.15,0.9,1.12,-0.87,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,1.068,No,No,1.938,1.739,No,No,-0.619,1.979
"2,3-Butanedione",650,Gandhali,Paederia foetida,PMID: 25115105,CC(=O)C(=O)C,C4H6O2,86.09,1,2,0,21.74,34.14,1.19,-1.34,0.16,-0.43,-0.03,0.54,High,No,No,No,No,No,No,0,3,0.55,1,Yes,1.139,No,No,2.024,2.437,No,Yes,-1.227,2.448
"2,3-Dihydrobenzofuran",10329,Gandhali,Paederia foetida,PMID: 25115105,C1COC2=CC=CC=C21,C8H8O,120.15,0,1,0,35.79,9.23,1.89,2.14,1.62,1.75,2.0,-2.43,High,Yes,Yes,No,No,No,No,0,3,0.55,0,Yes,0.907,No,No,1.887,1.907,No,Yes,0.236,1.59
2-Methyl-3-buten-2-OL,8257,Gandhali,Paederia foetida,PMID: 25115105,CC(C)(C=C)O,C5H10O,86.13,1,1,1,26.87,20.23,1.75,0.78,0.94,1.01,1.0,-0.8,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.222,No,No,1.95,1.668,No,No,-1.139,2.44
2-Pentanone,7895,Gandhali,Paederia foetida,PMID: 25115105,CCCC(=O)C,C5H10O,86.13,2,1,0,26.35,17.07,1.61,0.91,1.38,1.01,1.18,-0.82,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.011,No,No,1.909,1.853,No,No,-0.662,1.918
3-(Methylthio)propionaldehyde,18635,Gandhali,Paederia foetida,PMID: 25115105,CSCCC=O,C4H8OS,104.17,3,1,0,29.13,42.37,1.1,0.31,0.94,0.6,0.79,-0.48,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.925,No,No,2.105,1.438,No,No,-0.198,1.854
3-Methyl-2-buten-1-OL,11173,Gandhali,Paederia foetida,PMID: 25115105,CC(=CCO)C,C5H10O,86.13,1,1,1,26.84,20.23,1.6,1.04,0.94,1.01,1.02,-0.96,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.194,No,No,1.876,1.698,No,No,-1.099,2.313
3-Penten-2-OL,15289,Gandhali,Paederia foetida,PMID: 25115105,CC=CC(C)O,C5H10O,86.13,1,1,1,26.84,20.23,1.79,0.82,0.94,1.01,1.01,-0.82,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.194,No,No,1.875,1.697,No,No,-1.099,2.314
3-Penten-2-one,637920,Gandhali,Paederia foetida,PMID: 25115105,CC=CC(=O)C,C5H8O,84.12,1,1,0,25.88,17.07,1.56,0.52,1.15,0.9,0.99,-0.62,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.055,No,No,1.868,1.801,No,No,-0.642,2.045
Benzaldehyde,240,Gandhali,Paederia foetida,PMID: 25115105,C1=CC=C(C=C1)C=O,C7H6O,106.12,1,1,0,31.83,17.07,1.36,1.48,1.5,1.45,1.57,-1.92,High,Yes,Yes,No,No,No,No,0,3,0.55,0,No,0.997,No,No,1.803,1.959,No,No,-0.285,1.724
Benzofuran,9223,Gandhali,Paederia foetida,PMID: 25115105,C1=CC=C2C(=C1)C=CO2,C8H6O,118.13,0,1,0,36.21,13.14,1.9,2.67,2.43,1.57,2.22,-2.99,High,Yes,Yes,No,No,No,No,0,3,0.55,0,No,0.614,No,No,2.323,2.258,No,Yes,0.28,1.042
Beta-Phellandrene,11142,Gandhali,Paederia foetida,PMID: 25115105,CC(C)C1CCC(=C)C=C1,C10H16,136.23,1,0,0,47.12,0.0,2.65,3.44,3.16,3.27,3.07,-2.79,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.693,No,No,1.709,2.353,No,Yes,0.649,0.966
beta-Pinene,14896,Gandhali,Paederia foetida,PMID: 25115105,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
cis-3-Hexen-1-ol,5281167,Gandhali,Paederia foetida,PMID: 25115105,CCC=CCCO,C6H12O,100.16,3,1,1,31.64,20.23,1.94,1.31,1.33,1.39,1.42,-1.09,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.997,No,No,1.735,1.767,No,Yes,-0.815,1.902
Dimethyl Disulfide,12232,Gandhali,Paederia foetida,PMID: 25115105,CSSC,C2H6S2,94.2,1,0,0,26.91,50.6,1.69,1.77,1.63,0.84,1.34,-1.47,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.009,No,No,2.655,1.62,No,No,0.117,1.928
