Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Alpha-Tocopherol,14985,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,C29H50O2,430.71,12,2,1,139.27,29.46,5.92,10.7,8.84,6.14,8.27,-8.6,Low,No,No,No,No,No,No,1,3,0.55,0,No,1.153,No,Yes,2.143,2.909,No,No,1.261,-3.237
Arachidic acid,10467,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCCCCCCCCCCCCCCCCCCC(=O)O,C20H40O2,312.53,18,2,1,100.03,37.3,4.56,9.29,7.11,5.13,6.62,-6.44,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,1.404,No,Yes,2.366,2.973,No,Yes,1.691,-0.856
Beta-sitosterol,222284,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.011,No,Yes,2.615,2.124,No,No,1.097,-0.579
Campesterol,173183,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,0.043,No,Yes,2.583,2.102,No,No,1.182,-0.414
Cholesterol,5997,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C27H46O,386.65,5,1,1,123.61,20.23,4.96,8.72,7.39,6.34,6.76,-7.4,Low,No,No,No,Yes,No,No,1,2,0.55,0,No,0.094,No,Yes,2.577,2.141,No,No,1.243,-0.333
Delta 5-avenasterol,5281326,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CC=C(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.06,8.85,7.94,6.62,7.07,-7.64,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.003,No,Yes,2.6,2.083,No,No,1.117,-0.488
Delta7-Stigmasterol,12303924,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCC(C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H46O,410.67,5,1,1,132.28,20.23,4.73,7.97,7.72,6.53,6.76,-7.08,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.007,No,Yes,2.573,2.04,No,No,1.128,-0.409
Eicosenoic acid,5282768,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCCCCCCCC=CCCCCCCCCCC(=O)O,C20H38O2,310.51,17,2,1,99.55,37.3,4.7,8.72,6.89,5.03,6.43,-6.14,Low,No,Yes,No,Yes,No,No,1,1,0.85,0,No,1.4,No,Yes,2.356,2.901,No,Yes,1.808,-0.729
Linoleic acid,5280450,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.14,6.98,5.88,4.47,5.45,-5.05,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,1.477,No,Yes,2.297,2.786,No,Yes,2.082,-0.271
Linolenic acid,5280934,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,278.43,13,2,1,88.99,37.3,3.36,6.46,5.66,4.38,5.09,-4.78,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,1.47,No,Yes,2.274,2.714,No,Yes,2.143,-0.144
Margaric acid,10465,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCCCCCCCCCCCCCCCC(=O)O,C17H34O2,270.45,15,2,1,85.6,37.3,4.11,7.69,5.94,4.44,5.57,-5.37,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,1.528,No,No,2.309,2.908,No,Yes,1.97,-0.361
Myristic acid,11005,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCCCCCCCCCCCCC(=O)O,C14H28O2,228.37,12,2,1,71.18,37.3,3.32,6.11,4.77,3.69,4.45,-4.31,High,Yes,Yes,No,No,No,No,0,0,0.85,0,No,1.664,No,No,2.213,2.844,No,Yes,1.767,0.135
Oleic acid,445639,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,282.46,15,2,1,89.94,37.3,4.27,7.64,6.11,4.57,5.71,-5.41,High,No,Yes,No,Yes,No,No,1,1,0.85,0,No,1.482,No,Yes,2.316,2.858,No,Yes,2.006,-0.399
Palmitic acid,985,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.2,-5.02,High,Yes,Yes,No,Yes,No,No,1,0,0.85,0,No,1.572,No,No,2.281,2.887,No,Yes,1.967,-0.195
Palmitoleic acid,445638,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCCCCCC=CCCCCCCCC(=O)O,C16H30O2,254.41,13,2,1,80.32,37.3,3.53,6.58,5.33,4.09,4.92,-4.7,High,Yes,Yes,No,Yes,No,No,0,0,0.85,0,No,1.569,No,No,2.258,2.815,No,Yes,2.004,-0.068
Stearic acid,5281,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCCCCCCCCCCCCCCCCC(=O)O,C18H36O2,284.48,16,2,1,90.41,37.3,4.3,8.23,6.33,4.67,5.93,-5.73,High,No,Yes,No,No,No,No,1,1,0.85,0,No,1.485,No,Yes,2.333,2.93,No,Yes,1.918,-0.526
Stigmasterol,5280794,Pearl millet,Pennisetum glaucum,DOI: 10.1016/j.jafr.2024.101197,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.01,8.56,7.8,6.62,6.97,-7.46,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.007,No,Yes,2.581,2.052,No,No,1.123,-0.452
