Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
7-rutinoside,12314995,Rajma,Phaseolus vulgaris,PMID: 31965918,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O,C12H22O10,326.3,3,10,7,66.96,169.3,1.18,-4.23,-4.37,-3.6,-2.97,1.0,Low,No,No,No,No,No,No,1,1,0.55,0,No,1.422,No,No,1.772,4.014,No,No,0.285,8.157
Anthocyanins,145858,Rajma,Phaseolus vulgaris,PMID: 31965918,C1=CC=C(C=C1)C2=[O+]C3=CC=CC=C3C=C2,C15H11O+,207.25,1,1,0,66.06,13.14,-0.76,3.51,4.38,3.28,2.64,-4.01,High,Yes,Yes,No,No,Yes,No,0,0,0.55,0,No,0.044,No,No,1.848,1.118,No,No,1.111,0.172
Biochanin A,5280373,Rajma,Phaseolus vulgaris,PMID: 31965918,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,C16H12O5,284.26,2,5,2,78.46,79.9,2.55,2.99,2.88,0.77,2.44,-3.92,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.4,No,No,1.851,1.142,No,No,0.515,0.681
Brassinosteroids,13039058,Rajma,Phaseolus vulgaris,PMID: 31965918,CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O,C28H48O6,480.68,5,6,4,133.67,107.22,3.6,4.84,3.39,3.05,3.68,-5.54,High,No,No,No,No,No,No,0,3,0.55,0,No,-0.918,No,No,2.363,1.872,No,No,0.296,1.159
Caffeic acid,689043,Rajma,Phaseolus vulgaris,PMID: 31965918,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Caffeoylglucose,129629071,Rajma,Phaseolus vulgaris,PMID: 31965918,C1=CC(=C(C=C1C=CC(=O)C(=O)C(C(C(C(CO)O)O)O)O)O)O,C15H18O9,342.3,8,9,7,80.44,175.75,0.49,-2.19,-2.42,-2.53,-1.4,-0.24,Low,No,No,No,No,No,No,1,1,0.55,2,No,1.408,No,No,2.087,4.902,No,No,0.285,6.421
Catechic,9064,Rajma,Phaseolus vulgaris,PMID: 31965918,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Chlorogenic acid,1794427,Rajma,Phaseolus vulgaris,PMID: 31965918,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Chrysoeriol 8-C-glucoside,44258170,Rajma,Phaseolus vulgaris,PMID: 31965918,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,C22H22O11,462.4,4,11,7,113.1,190.28,2.05,0.18,-0.22,-2.29,0.02,-2.92,Low,No,No,No,No,No,No,2,0,0.17,0,No,0.636,No,Yes,2.592,4.55,No,No,0.285,4.713
Coumestrol,5281707,Rajma,Phaseolus vulgaris,PMID: 31965918,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,C15H8O5,268.22,0,5,2,73.81,83.81,1.8,2.76,3.1,1.76,2.46,-3.87,High,No,Yes,No,No,Yes,No,0,0,0.55,0,Yes,-0.013,No,No,2.386,1.079,No,No,0.425,0.734
Dalbinol,44257412,Rajma,Phaseolus vulgaris,PMID: 31965918,COC1=C(C=C2C(=C1)C3(C(CO2)OC4=C(C3=O)C=CC5=C4CC(O5)C(=C)CO)O)OC,C23H22O8,426.42,4,8,2,108.36,103.68,3.16,2.12,1.67,0.35,2.12,-3.84,High,No,No,No,Yes,Yes,Yes,0,0,0.55,0,No,0.07,No,No,2.772,2.784,No,No,0.293,1.852
Dalpanin,442769,Rajma,Phaseolus vulgaris,PMID: 31965918,CC(C)(C1CC2=CC(=C(C=C2O1)O)C3COC4=C(C(=CC(=C4C3=O)O)O)C5C(C(C(C(O5)CO)O)O)O)O,C26H30O12,534.51,4,12,8,129.15,206.6,2.47,0.1,-0.57,-2.02,0.06,-3.19,Low,No,No,No,No,No,No,3,2,0.17,0,No,0.464,No,Yes,2.558,4.234,No,No,0.285,7.754
