Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
1-Hydroxy-2-naphthoic acid,6844,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O,C11H8O3,188.18,1,3,2,52.93,57.53,1.59,2.61,2.24,2.02,2.06,-3.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.194,No,No,2.685,2.224,No,No,0.285,0.925
"2,3-Dihydroxybenzoic acid",19,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC(=C(C(=C1)O)O)C(=O)O,C7H6O4,154.12,1,4,3,37.45,77.76,1.09,1.2,0.8,0.4,0.75,-1.89,High,No,No,No,No,No,Yes,0,3,0.56,1,No,0.787,No,No,2.267,1.832,No,No,0.285,2.734
2-Amino-3-methoxybenzoic acid,255720,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,COC1=CC=CC(=C1N)C(=O)O,C8H9NO3,167.16,2,3,2,44.3,72.55,0.8,1.61,0.98,-0.37,0.7,-2.13,High,No,No,No,No,No,No,0,0,0.85,0,No,1.487,No,No,1.698,1.549,No,No,0.284,2.21
2-O-beta-D-Glucopyranosyl-beta-D-glucopyranose,441432,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(C1C(C(C(C(O1)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)O,C12H22O11,342.3,4,11,8,68.12,189.53,-0.45,-3.02,-5.4,-4.37,-3.53,0.2,Low,No,No,No,No,No,No,2,1,0.17,0,No,1.659,No,No,1.661,4.441,No,No,0.285,9.335
"3,4-Dihydroxybenzoic acid",72,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.65,-1.86,High,No,No,No,No,No,Yes,0,3,0.56,1,No,0.814,No,No,2.423,2.021,No,No,0.273,2.451
"3,4-Dihydroxyphenylacetic acid",547,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC(=C(C=C1CC(=O)O)O)O,C8H8O4,168.15,2,4,3,42.03,77.76,0.81,0.98,0.72,0.47,0.71,-1.74,High,No,No,No,No,No,No,0,0,0.56,1,No,1.231,No,No,2.379,2.061,No,No,0.274,2.506
"3,4-Dihydroxyphenylglycol",91528,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC(=C(C=C1C(CO)O)O)O,C8H10O4,170.16,2,4,4,42.58,80.92,0.99,-1.01,-0.2,-0.25,-0.04,-0.5,High,No,No,No,No,No,No,0,0,0.55,1,No,1.114,No,No,1.716,1.905,No,No,0.089,3.051
4-Guanidinobutyric acid,500,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(CC(=O)O)CN=C(N)N,C5H11N3O2,145.16,4,3,3,37.02,101.7,0.09,-1.47,-0.88,-0.55,-0.75,0.45,High,No,No,No,No,No,No,0,3,0.55,0,Yes,0.457,No,No,2.481,1.962,No,No,0.285,2.967
4-Hydroxybenzoic acid,135,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,1.05,-2.07,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.846,No,No,2.255,2.483,No,No,0.268,1.812
Adipic Acid,196,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(CCC(=O)O)CC(=O)O,C6H10O4,146.14,5,4,2,34.5,74.6,0.77,0.08,0.72,0.25,0.38,-0.47,High,No,No,No,No,No,No,0,2,0.85,0,No,0.328,No,No,1.406,3.105,No,No,0.033,2.208
