Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Ascorbic Acid,54670067,Gooseberry,Phyllanthus acidus,DOI: 10.1007/s10600-018-2257-7,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
Beta-Amyrin,73145,Gooseberry,Phyllanthus acidus,DOI: 10.1007/s10600-018-2257-7,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,C30H50O,426.72,0,1,1,134.88,20.23,4.74,9.15,8.17,6.92,7.18,-8.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.56,No,Yes,2.478,0.873,No,No,0.383,-1.345
Beta-Sitosterol,222284,Gooseberry,Phyllanthus acidus,DOI: 10.1007/s10600-018-2257-7,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Campesterol,173183,Gooseberry,Phyllanthus acidus,DOI: 10.1007/s10600-018-2257-7,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Chebulic acid,71308174,Gooseberry,Phyllanthus acidus,DOI: 10.1007/s10600-018-2257-7,C1=C2C(=C(C(=C1O)O)O)C(C(OC2=O)C(=O)O)C(CC(=O)O)C(=O)O,C14H12O11,356.24,5,11,6,75.99,198.89,-1.0,-0.81,-0.31,-1.01,-0.85,-1.39,Low,No,No,No,No,No,No,2,0,0.11,1,No,0.44,No,No,2.482,3.931,No,No,0.285,6.774
Cinnamic Acid,444539,Gooseberry,Phyllanthus acidus,DOI: 10.1007/s10600-018-2257-7,C1=CC=C(C=C1)C=CC(=O)O,C9H8O2,148.16,2,2,1,43.11,37.3,1.55,2.13,1.68,1.9,1.79,-2.37,High,Yes,No,No,No,No,No,0,2,0.85,0,No,1.11,No,No,2.094,2.651,No,No,0.247,1.719
D-Fructose,2723872,Gooseberry,Phyllanthus acidus,DOI: 10.1007/s10600-018-2257-7,C1C(C(C(C(O1)(CO)O)O)O)O,C6H12O6,180.16,1,6,5,35.77,110.38,-0.03,-2.84,-3.22,-2.75,-2.15,0.9,Low,No,No,No,No,No,No,0,2,0.55,0,No,2.016,No,No,1.268,4.111,No,No,0.285,4.516
D-Galactose,6036,Gooseberry,Phyllanthus acidus,DOI: 10.1007/s10600-018-2257-7,C(C1C(C(C(C(O1)O)O)O)O)O,C6H12O6,180.16,1,6,5,35.74,110.38,0.24,-3.24,-3.22,-2.75,-2.26,1.15,Low,No,No,No,No,No,No,0,2,0.55,0,No,1.896,No,No,1.214,3.897,No,No,0.285,5.083
Ellagic Acid,5281855,Gooseberry,Phyllanthus acidus,DOI: 10.1007/s10600-018-2257-7,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.476,No,No,2.399,2.698,No,No,0.295,2.11
Ethyl gallate,13250,Gooseberry,Phyllanthus acidus,DOI: 10.1007/s10600-018-2257-7,CCOC(=O)C1=CC(=C(C(=C1)O)O)O,C9H10O5,198.17,3,5,3,48.6,86.99,1.21,1.3,0.98,0.49,0.92,-2.01,High,No,No,No,No,No,No,0,0,0.55,1,Yes,-0.317,No,No,1.943,2.387,No,No,0.204,2.705
