Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
4-hydroxy-3-methoxybenzaldehyde,1183,Amla,Phyllanthus emblica L.,DOI: 10.1007/s10600-018-2257-7,COC1=C(C=CC(=C1)C=O)O,C8H8O3,152.15,2,3,1,40.34,46.53,1.57,1.21,1.21,0.51,1.2,-1.82,High,Yes,No,No,No,No,No,0,2,0.55,0,No,1.285,No,No,1.937,2.007,No,No,-0.014,1.899
4-Hydroxy-3-methoxycinnamaldehyde,5280536,Amla,Phyllanthus emblica L.,DOI: 10.1007/s10600-018-2257-7,COC1=C(C=CC(=C1)C=CC=O)O,C10H10O3,178.18,3,3,1,50.06,46.53,1.75,1.51,1.5,1.04,1.56,-2.04,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.12,No,No,1.958,2.023,No,No,0.655,1.798
4-ketopinoresinol,44578390,Amla,Phyllanthus emblica L.,DOI: 10.1007/s10600-018-2257-7,COC1=C(C=CC(=C1)C2C3COC(C3C(=O)O2)C4=CC(=C(C=C4)O)OC)O,C20H20O7,372.37,4,7,2,95.1,94.45,2.89,2.03,2.07,1.1,2.09,-3.49,High,No,No,No,No,Yes,No,0,0,0.55,0,No,-0.393,No,No,2.186,2.435,No,No,0.344,1.492
5-Hydroxymethylfurfural,237332,Amla,Phyllanthus emblica L.,DOI: 10.1007/s10600-018-2257-7,C1=C(OC(=C1)C=O)CO,C6H6O3,126.11,2,3,1,30.22,50.44,0.91,-0.58,0.43,-1.06,0.19,-0.54,High,No,No,No,No,No,No,0,3,0.55,0,No,0.77,No,No,2.283,2.488,No,No,-0.767,2.836
Ascorbic Acid,54670067,Amla,Phyllanthus emblica L.,DOI: 10.1007/s10600-018-2257-7,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
Beta-Sitosterol,222284,Amla,Phyllanthus emblica L.,DOI: 10.1007/s10600-018-2257-7,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Caffeic acid methyl ester,689075,Amla,Phyllanthus emblica L.,DOI: 10.1007/s10600-018-2257-7,COC(=O)C=CC1=CC(=C(C=C1)O)O,C10H10O4,194.18,3,4,2,51.48,66.76,1.81,1.48,1.18,1.0,1.35,-2.1,High,Yes,No,No,No,No,No,0,0,0.55,1,No,-0.154,No,No,2.023,1.594,No,No,0.395,1.955
Campesterol,173183,Amla,Phyllanthus emblica L.,DOI: 10.1007/s10600-018-2257-7,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Chebulic acid,71308174,Amla,Phyllanthus emblica L.,DOI: 10.1007/s10600-018-2257-7,C1=C2C(=C(C(=C1O)O)O)C(C(OC2=O)C(=O)O)C(CC(=O)O)C(=O)O,C14H12O11,356.24,5,11,6,75.99,198.89,-1.0,-0.81,-0.31,-1.01,-0.85,-1.39,Low,No,No,No,No,No,No,2,0,0.11,1,No,0.44,No,No,2.482,3.931,No,No,0.285,6.774
Cinnamic Acid,444539,Amla,Phyllanthus emblica L.,DOI: 10.1007/s10600-018-2257-7,C1=CC=C(C=C1)C=CC(=O)O,C9H8O2,148.16,2,2,1,43.11,37.3,1.55,2.13,1.68,1.9,1.79,-2.37,High,Yes,No,No,No,No,No,0,2,0.85,0,No,1.11,No,No,2.094,2.651,No,No,0.247,1.719
