Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"(-)-1,10-Epoxy-Guaia-11-Ene",5317143,Indian gooseberry,Phyllanthuse emblica,"DOI: 10.
3136/fstr.FSTR-D-22-00002",CC1CCC23C1CC(CCC2(O3)C)C(=C)C,C15H24O,220.35,1,1,0,68.56,12.53,3.35,3.89,3.94,3.67,3.77,-3.59,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.594,No,No,1.765,1.114,No,Yes,1.179,0.78
"1,2,3-Benzenetriol",1057,Indian gooseberry,Phyllanthuse emblica,DOI: 10.14202/vetworld.2020.1388-1396,C1=CC(=C(C(=C1)O)O)O,C6H6O3,126.11,0,3,3,32.51,60.69,0.97,0.52,0.8,0.18,0.58,-1.44,High,Yes,No,No,No,No,Yes,0,3,0.55,1,No,1.784,No,No,1.876,2.969,No,No,-0.756,1.979
"1,3-Dimethylindole",70130,Indian gooseberry,Phyllanthuse emblica,PMID: 37954853,CC1=CN(C2=CC=CC=C12)C,C10H11N,145.2,0,0,0,48.17,4.93,2.14,2.37,2.49,2.19,2.33,-2.84,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,1.477,No,No,1.975,2.379,No,Yes,0.878,1.461
"1,3-Dioxolane-4-Methanol",21618,Indian gooseberry,Phyllanthuse emblica,"DOI: 10.
1088/1742-6596/1477/7/072011",C1C(OCO1)CO,C4H8O3,104.1,1,3,1,22.56,38.69,1.39,-4.74,-0.65,-1.05,-0.9,2.57,High,No,No,No,No,No,No,0,4,0.55,0,No,1.883,No,No,1.713,2.575,No,No,-0.962,2.241
"1,5-Hexanediol",79126,Indian gooseberry,Phyllanthuse emblica,PMID: 37954853,CC(CCCCO)O,C6H14O2,118.17,4,2,2,33.28,40.46,1.69,0.36,0.53,0.61,0.76,-0.54,High,Yes,No,No,No,No,No,0,2,0.55,0,No,2.032,No,No,1.578,3.009,No,Yes,-1.005,1.718
10-Gingerdione,5317591,Indian gooseberry,Phyllanthuse emblica,"DOI: 10.
3136/fstr.FSTR-D-22-00002",CCCCCCCCCC(=O)C=C(CCC1=CC(=C(C=C1)O)OC)O,C21H32O4,348.48,13,4,2,103.71,66.76,4.04,6.3,5.49,2.97,4.87,-5.29,High,No,Yes,No,Yes,Yes,Yes,0,0,0.85,0,No,0.982,No,Yes,2.558,2.189,No,Yes,2.066,-0.045
"10-Heptadecen-8-Ynoic Acid, Methyl Ester. (E)",5367407,Indian gooseberry,Phyllanthuse emblica,PMID: 37954853,CCCCCCC=CC#CCCCCCCC(=O)OC,C18H30O2,278.43,12,2,0,87.61,26.3,4.72,6.22,5.11,4.47,5.26,-4.69,High,Yes,Yes,No,No,No,No,1,0,0.55,0,No,1.45,No,Yes,2.206,2.432,No,Yes,2.367,0.087
12-Oxo-20-Dihydroxy-Leukotriene B4,53481458,Indian gooseberry,Phyllanthuse emblica,"DOI: 10.1016/j.jpha.
2017.01.005",C(CCC(O)O)CC=CCC(=O)C=CC=CC=CC(CCCC(=O)O)O,C20H30O6,366.45,15,6,4,101.82,115.06,2.79,1.98,2.66,1.7,2.6,-2.37,High,No,No,No,No,No,No,0,0,0.56,0,No,1.223,No,Yes,2.022,1.42,No,No,1.186,0.649
1-Hexadecene,12395,Indian gooseberry,Phyllanthuse emblica,DOI: 10.56499/jppres23.1595_11.2.308,CCCCCCCCCCCCCCC=C,C16H32,224.43,13,0,0,78.55,0.0,4.61,8.95,6.26,6.29,6.46,-6.01,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,1.661,No,No,2.088,3.176,No,Yes,1.867,-0.389
1-Methyl-4 Isopropyl-Cyclohexyl 2-Hydroperfluorobutanoate,565481,Indian gooseberry,Phyllanthuse emblica,DOI: 10.13140/RG.2.1.3922.3440,CC(C)C1CCC(CC1)(C)OC(=O)C(C(C(F)(F)F)(F)F)F,C14H20F6O2,334.3,6,8,0,69.0,26.3,3.33,5.35,7.19,4.04,4.93,-4.89,Low,No,No,No,No,No,No,0,1,0.55,0,No,1.017,No,Yes,3.349,0.954,No,No,2.868,0.892
