Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(6R)-Menthiafolic acid,10631344,Chamber bitter,Phyllanthuse urinaria,PMID: 30327602,CC(=CCCC(C)(C=C)O)C(=O)O,C10H16O3,184.23,5,3,2,52.21,57.53,1.98,1.42,1.73,1.5,1.61,-1.55,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.165,No,No,1.938,2.753,No,No,0.109,1.567
"(E)-3- (5′-hydroperoxy-2,2′-dihydroxy[1,1′-biphenyl]-4-yl)-2-propenoic acid",129881794,Chamber bitter,Phyllanthuse urinaria,PMID: 30327602,C1=CC(=C(C=C1C=CC(=O)O)O)C2=C(C=CC(=C2)OO)O,C15H12O6,288.25,4,6,4,75.85,107.22,1.8,2.27,2.61,1.57,1.96,-3.22,High,No,No,No,No,No,No,0,0,0.56,0,Yes,0.801,No,No,2.36,1.397,No,No,0.719,1.371
"3, 3′, 4-Tri-O-methylellagic acid",5281860,Chamber bitter,Phyllanthuse urinaria,PMID: 30327602,COC1=C(C2=C3C(=C1)C(=O)OC4=C3C(=CC(=C4OC)O)C(=O)O2)OC,C17H12O8,344.27,3,8,1,88.72,108.34,2.37,2.08,2.22,0.89,2.16,-3.56,High,No,Yes,No,Yes,No,Yes,0,0,0.55,0,Yes,0.131,No,Yes,2.268,1.382,No,No,0.541,1.669
"3,5-Dihydroxy-4-methoxybenzoic acid",78016,Chamber bitter,Phyllanthuse urinaria,PMID: 30327602,COC1=C(C=C(C=C1O)C(=O)O)O,C8H8O5,184.15,2,5,3,43.94,86.99,1.14,1.03,0.8,0.18,0.68,-1.84,High,No,No,No,No,No,No,0,0,0.56,0,Yes,1.543,No,No,2.103,1.564,No,No,0.066,1.92
5-Demethoxyniranthin,10971435,Chamber bitter,Phyllanthuse urinaria,PMID: 30327602,COCC(CC1=CC2=C(C=C1)OCO2)C(CC3=CC(=C(C=C3)OC)OC)COC,C23H30O6,402.48,11,6,0,110.76,55.38,4.33,4.11,3.74,2.23,3.94,-4.5,High,Yes,No,No,Yes,Yes,Yes,0,0,0.55,0,No,0.276,No,Yes,2.743,1.197,No,No,1.463,0.556
5-Hydroxymethyl-2-furaldehyde,237332,Chamber bitter,Phyllanthuse urinaria,PMID: 30327602,C1=C(OC(=C1)C=O)CO,C6H6O3,126.11,2,3,1,30.22,50.44,0.91,-0.58,0.43,-1.06,0.19,-0.54,High,No,No,No,No,No,No,0,3,0.55,0,No,1.798,No,No,1.879,2.889,No,No,-0.773,1.934
Astragalin,5282102,Chamber bitter,Phyllanthuse urinaria,PMID: 30327602,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O11,448.38,4,11,7,108.13,190.28,0.53,0.72,-0.24,-2.1,-0.25,-3.18,Low,No,No,No,No,No,No,2,0,0.17,0,Yes,-0.087,No,Yes,2.208,1.449,No,No,0.436,2.239
Beta-Amyrin,73145,Chamber bitter,Phyllanthuse urinaria,PMID: 30327602,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,C30H50O,426.72,0,1,1,134.88,20.23,4.74,9.15,8.17,6.92,7.18,-8.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.205,No,Yes,2.593,1.897,No,No,0.702,-0.313
Beta-sitosterol,222284,Chamber bitter,Phyllanthuse urinaria,PMID: 30327602,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.011,No,Yes,2.615,2.124,No,No,1.097,-0.579
Brevifolin,66654,Chamber bitter,Phyllanthuse urinaria,PMID: 30327602,CC(=O)C1=C(C=C(C=C1OC)OC)O,C10H12O4,196.2,3,4,1,51.64,55.76,1.61,1.74,1.61,0.55,1.45,-2.27,High,Yes,No,No,No,No,No,0,0,0.55,0,Yes,1.502,No,No,2.162,2.595,No,Yes,0.865,1.587
