Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Benzoic Acid,243,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,C1=CC=C(C=C1)C(=O)O,C7H6O2,122.12,1,2,1,33.4,37.3,1.11,1.87,1.38,1.6,1.44,-2.2,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.612,No,No,2.17,2.637,No,No,0.087,1.838
Salicylic Acid,338,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,C1=CC=C(C(=C1)C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,1.13,2.26,1.09,0.99,1.24,-2.5,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.61,No,No,2.282,2.483,No,No,0.263,1.812
Homogentisic acid,780,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,C1=CC(=C(C=C1O)CC(=O)O)O,C8H8O4,168.15,2,4,3,42.03,77.76,0.6,0.86,0.72,0.47,0.65,-1.66,High,No,No,No,No,No,No,0,0,0.56,0,Yes,1.316,No,No,2.274,2.064,No,No,0.276,2.217
Phenethylamine,1001,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,C1=CC=C(C=C1)CCN,C8H11N,121.18,2,1,1,38.92,26.02,1.72,1.41,1.19,1.87,1.6,-1.84,High,Yes,Yes,No,No,No,No,0,2,0.55,0,No,0.607,No,No,2.649,1.564,No,Yes,-0.153,2.038
Pyridine,1049,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,C1=CC=NC=C1,C5H5N,79.1,0,1,0,24.24,12.89,1.32,0.65,1.08,0.41,1.02,-1.48,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.162,No,No,2.219,1.82,No,No,-0.725,2.248
Pyrogallic acid,1057,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,C1=CC(=C(C(=C1)O)O)O,C6H6O3,126.11,0,3,3,32.51,60.69,0.97,0.52,0.8,0.18,0.58,-1.44,High,Yes,No,No,No,No,Yes,0,3,0.55,1,No,-0.269,No,No,2.049,2.374,No,No,0.127,2.734
Homovanillic Acid,1738,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,COC1=C(C=CC(=C1)CC(=O)O)O,C9H10O4,182.17,3,4,2,46.5,66.76,1.18,0.33,1.03,0.79,0.88,-1.32,High,No,No,No,No,No,No,0,0,0.85,0,No,1.128,No,No,2.252,2.063,No,No,0.259,2.106
Theophylline,2153,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,CN1C2=C(C(=O)N(C1=O)C)NC=N2,C7H8N4O2,180.16,0,3,1,47.14,72.68,0.53,-0.02,-1.04,-0.52,-0.19,-1.46,High,No,No,No,No,No,No,0,1,0.55,0,No,-0.162,No,No,2.308,0.581,Yes,No,0.285,2.873
Berberine,2353,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,C20H18NO4+,336.36,2,4,0,94.87,40.8,0.0,3.62,3.1,2.19,2.53,-4.55,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.144,No,No,2.571,1.89,Yes,No,0.354,-0.277
Caffeine,2519,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,C8H10N4O2,194.19,0,3,0,52.04,61.82,1.79,-0.07,-1.03,0.22,0.08,-1.48,High,No,No,No,No,No,No,0,1,0.55,0,No,0.001,No,No,2.802,0.701,Yes,No,0.285,2.34
Papaverine,4680,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,C20H21NO4,339.39,6,5,0,97.16,49.81,3.48,2.95,3.86,1.78,3.32,-3.88,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.682,No,Yes,2.329,1.176,Yes,No,0.454,0.16
Theobromine,5429,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,CN1C=NC2=C1C(=O)NC(=O)N2C,C7H8N4O2,180.16,0,3,1,47.14,72.68,1.22,-0.78,-1.04,-0.12,-0.12,-0.98,High,No,No,No,No,No,No,0,1,0.55,0,Yes,0.042,No,No,2.385,0.972,Yes,No,0.285,2.844
Reserpine,5770,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,C33H40N2O9,608.68,10,10,1,165.52,117.78,4.41,4.04,3.47,1.75,3.52,-5.75,High,No,No,No,No,No,No,2,3,0.17,1,No,-0.133,No,Yes,2.958,1.158,No,No,0.286,0.303
Pilocarpine,5910,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,CCC1C(COC1=O)CC2=CN=CN2C,C11H16N2O2,208.26,3,3,0,56.47,44.12,1.71,0.12,1.16,0.9,1.11,-1.26,High,Yes,No,No,No,No,No,0,0,0.55,0,Yes,-0.11,No,No,2.62,2.425,No,Yes,0.285,1.227
Vincristine,5978,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,C46H56N4O10,824.96,11,12,3,233.11,171.17,4.68,3.13,2.38,2.35,3.39,-6.39,Low,No,No,No,No,No,Yes,2,3,0.17,0,No,0.03,No,Yes,2.5,1.591,No,No,0.285,4.047
Physostigmine,5983,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,C15H21N3O2,275.35,3,3,1,84.93,44.81,2.83,1.58,1.01,2.04,1.68,-2.57,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,-0.323,No,No,2.845,1.131,Yes,No,1.244,1.534
Tubocurarine,6000,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,C37H41N2O6+,609.73,2,7,2,183.0,80.62,1.32,6.03,5.29,-0.13,3.02,-7.68,High,No,No,No,No,No,No,1,3,0.55,0,Yes,0.204,No,Yes,2.517,1.269,No,No,0.285,1.061
Apomorphine,6005,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,C17H17NO2,267.32,0,3,2,83.02,43.7,2.57,2.3,2.14,2.43,2.47,-3.39,High,Yes,Yes,No,No,Yes,No,0,0,0.55,1,No,0.101,No,Yes,2.566,1.204,No,No,0.733,0.617
Colchicine,6167,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,C22H25NO6,399.44,6,6,1,109.36,83.09,3.28,1.03,2.55,1.02,2.36,-2.9,High,No,No,No,No,Yes,Yes,0,0,0.55,0,No,-0.519,No,No,2.582,1.266,No,No,0.526,3.028
Quinoline,7047,Chirpoti,Physalis micrantha,DOI: 10.9734/ejmp/2019/v29i230151,C1=CC=C2C(=C1)C=CC=N2,C9H7N,129.16,0,1,0,41.74,12.89,1.73,2.03,2.23,1.85,2.08,-2.66,High,Yes,Yes,No,No,No,No,0,2,0.55,0,No,0.47,No,No,2.127,2.123,No,Yes,0.235,1.121
