Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(E)-Anethole ,637563,Anise,Pimpinella anisum,PMID: 33092276,CC=CC1=CC=C(C=C1)OC,C10H12O,148.2,2,1,0,47.83,9.23,2.55,3.3,2.62,2.67,2.79,-3.11,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.824,No,No,1.798,2.217,No,Yes,0.807,0.869
(E)-cinnamaldehyde,637511,Anise,Pimpinella anisum,PMID: 33092276,C1=CC=C(C=C1)C=CC=O,C9H8O,132.16,2,1,0,41.54,17.07,1.65,1.9,1.79,2.01,1.97,-2.17,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.876,No,No,1.88,1.944,No,Yes,0.665,1.605
"1,8-Cineole",2758,Anise,Pimpinella anisum,PMID: 33092276,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.67,-2.52,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.553,No,No,2.01,2.029,No,Yes,0.171,1.735
Acetyl-isoeugenol ,876160,Anise,Pimpinella anisum,PMID: 33092276,CC=CC1=CC(=C(C=C1)OC(=O)C)OC,C12H14O3,206.24,4,3,0,59.33,35.53,2.63,3.18,2.54,2.43,2.71,-3.15,High,Yes,Yes,Yes,No,No,No,0,0,0.55,0,No,0.909,No,No,1.943,2.143,No,Yes,1.4,0.888
Alpha-Himachalene,11830551,Anise,Pimpinella anisum,PMID: 33092276,CC1=CC2C(CC1)C(=C)CCCC2(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.24,4.46,4.73,4.63,4.25,-3.92,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.407,No,No,1.681,1.346,No,Yes,1.33,0.654
epi-Cadinol,12302222,Anise,Pimpinella anisum,PMID: 33092276,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C,C15H26O,222.37,1,1,1,70.72,20.23,3.15,3.34,3.78,3.67,3.43,-3.26,High,Yes,No,Yes,No,No,No,0,0,0.55,0,No,0.343,No,No,1.918,1.475,No,Yes,1.49,0.743
Eugenol ,3314,Anise,Pimpinella anisum,PMID: 33092276,COC1=C(C=CC(=C1)CC=C)O,C10H12O2,164.2,3,2,1,49.06,29.46,2.37,2.27,2.13,2.01,2.25,-2.46,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,1.024,No,No,2.118,2.049,No,Yes,0.3,1.702
Geranial ,638011,Anise,Pimpinella anisum,PMID: 33092276,CC(=CCCC(=CC=O)C)C,C10H16O,152.23,4,1,0,49.44,17.07,2.47,3.03,2.88,2.49,2.71,-2.43,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.543,No,No,1.815,2.133,No,Yes,1.036,0.945
Limonene,22311,Anise,Pimpinella anisum,PMID: 33092276,CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.777,No,No,1.88,2.336,No,Yes,0.579,1.203
Linalool,6549,Anise,Pimpinella anisum,PMID: 33092276,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.774,No,No,1.704,2.024,No,Yes,0.515,1.277
Linalyl formate,61040,Anise,Pimpinella anisum,PMID: 33092276,CC(=CCCC(C)(C=C)OC=O)C,C11H18O2,182.26,6,2,0,55.76,26.3,2.54,3.32,2.85,2.67,2.81,-2.67,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.577,No,No,1.711,2.292,No,Yes,0.916,1.02
Methyl chavicol ,8815,Anise,Pimpinella anisum,PMID: 33092276,COC1=CC=C(C=C1)CC=C,C10H12O,148.2,3,1,0,47.04,9.23,2.47,3.37,2.42,2.67,2.78,-3.09,High,Yes,Yes,No,No,No,No,0,1,0.55,0,Yes,1.057,No,No,1.899,1.976,No,Yes,0.417,1.398
p-anisaldehyde,31244,Anise,Pimpinella anisum,PMID: 33092276,COC1=CC=C(C=C1)C=O,C8H8O2,136.15,2,2,0,38.32,26.3,1.68,1.76,1.51,1.12,1.61,-2.1,High,Yes,Yes,No,No,No,No,0,3,0.55,0,No,1.084,No,No,1.915,2.449,No,No,-0.129,1.641
trans-Verbenol,89664,Anise,Pimpinella anisum,PMID: 33092276,CC1=CC(C2CC1C2(C)C)O,C10H16O,152.23,0,1,1,46.38,20.23,2.26,3.16,1.97,2.3,2.31,-2.77,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.547,No,No,1.769,1.82,No,Yes,0.271,1.687
