Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(-)-Globulol,12304985,Betel Vine ,Piper betle L.,PMID: 27794386,CC1CCC2C1C3C(C3(C)C)CCC2(C)O,C15H26O,222.37,0,1,1,68.82,20.23,3.08,3.74,3.47,3.81,3.42,-3.57,High,Yes,No,Yes,No,No,No,0,0,0.55,0,No,-0.193,No,No,1.615,1.187,No,Yes,1.369,1.063
"1,8-Cineol",2758,Betel Vine ,Piper betle L.,PMID: 27794386,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.67,-2.52,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.553,No,No,2.01,2.029,No,Yes,0.171,1.735
4-Terpineol,11230,Betel Vine ,Piper betle L.,DOI: 10.22159/ijcpr.2018v10i2.25884,CC1=CCC(CC1)(C(C)C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.26,2.5,2.3,2.6,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.857,No,No,1.811,2.02,No,Yes,0.189,1.545
Allylpyrocatechol,292101,Betel Vine ,Piper betle L.,DOI: 10.22159/ijcpr.2018v10i2.25884,C=CCC1=C(C(=CC=C1)O)O,C9H10O2,150.17,2,2,2,44.59,40.46,1.66,1.7,1.83,1.71,1.77,-2.11,High,Yes,No,No,No,No,No,0,1,0.55,1,Yes,-0.035,No,No,2.405,2.03,No,Yes,0.693,1.731
Allylpyrocatechol diacetate,46700759,Betel Vine ,Piper betle L.,PMID: 27794386,CC(=O)OC1=CC=CC(=C1OC(=O)C)CC=C,C13H14O4,234.25,6,4,0,63.55,52.6,2.32,2.5,2.27,2.58,2.51,-2.73,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,1.307,No,No,2.241,1.946,No,No,0.836,0.972
alpha-Cadinene,12306048,Betel Vine ,Piper betle L.,PMID: 27794386,CC1=CC2C(CC1)C(=CCC2C(C)C)C,C15H24,204.35,1,0,0,69.04,0.0,3.38,4.08,4.58,4.63,4.08,-3.61,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.129,No,No,1.53,1.382,No,Yes,1.622,0.365
Alpha-Farnesene,5281516,Betel Vine ,Piper betle L.,PMID: 27794386,CC(=CCCC(=CCC=C(C)C=C)C)C,C15H24,204.35,6,0,0,72.32,0.0,3.89,6.12,5.2,4.84,4.96,-4.57,Low,No,Yes,No,Yes,No,No,1,0,0.55,0,No,0.179,No,No,1.467,1.367,No,Yes,2.07,-0.327
alpha-PINENE,6654,Betel Vine ,Piper betle L.,PMID: 27794386,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
alpha-Selinene,10856614,Betel Vine ,Piper betle L.,PMID: 27794386,CC1=CCCC2(C1CC(CC2)C(=C)C)C,C15H24,204.35,1,0,0,68.78,0.0,3.31,5.2,4.73,4.63,4.4,-4.32,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.018,No,No,1.543,1.351,No,Yes,1.623,0.353
alpha-Terpinene,7462,Betel Vine ,Piper betle L.,PMID: 27794386,CC1=CC=C(CC1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.7,4.25,3.31,3.27,3.3,-3.3,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.756,No,No,1.766,2.394,No,No,0.627,0.906
Anethole,637563,Betel Vine ,Piper betle L.,DOI: 10.22159/ijcpr.2018v10i2.25884,CC=CC1=CC=C(C=C1)OC,C10H12O,148.2,2,1,0,47.83,9.23,2.55,3.3,2.62,2.67,2.79,-3.11,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.824,No,No,1.798,2.217,No,Yes,0.807,0.869
Aromadendrene,91354,Betel Vine ,Piper betle L.,PMID: 27794386,CC1CCC2C1C3C(C3(C)C)CCC2=C,C15H24,204.35,0,0,0,67.14,0.0,3.26,4.71,4.27,5.65,4.34,-4.07,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.146,No,No,1.526,1.332,No,No,1.431,0.429
beta-Bourbonene,62566,Betel Vine ,Piper betle L.,PMID: 27794386,CC(C)C1CCC2(C1C3C2CCC3=C)C,C15H24,204.35,1,0,0,67.14,0.0,3.34,4.71,4.27,5.65,4.4,-4.01,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,Yes,-0.446,No,No,1.601,1.431,No,No,1.344,-0.015
Beta-Elemene,6918391,Betel Vine ,Piper betle L.,PMID: 27794386,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,C15H24,204.35,3,0,0,70.42,0.0,3.37,6.11,4.75,4.53,4.65,-4.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.058,No,No,1.535,1.309,No,Yes,1.901,0.118
beta-Farnesene,5281517,Betel Vine ,Piper betle L.,PMID: 27794386,CC(=CCCC(=CCCC(=C)C=C)C)C,C15H24,204.35,7,0,0,72.32,0.0,3.86,6.03,5.2,4.84,4.97,-4.44,Low,No,Yes,No,Yes,No,No,1,0,0.55,0,No,0.198,No,No,1.473,1.332,No,Yes,2.151,-0.375
beta-Ocimene,18756,Betel Vine ,Piper betle L.,PMID: 27794386,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
Beta-Phellandrene,11142,Betel Vine ,Piper betle L.,PMID: 27794386,CC(C)C1CCC(=C)C=C1,C10H16,136.23,1,0,0,47.12,0.0,2.65,3.44,3.16,3.27,3.07,-2.79,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.693,No,No,1.709,2.353,No,Yes,0.649,0.966
Beta-Sitosterol,222284,Betel Vine ,Piper betle L.,DOI: 10.22159/ijcpr.2018v10i2.25884,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
beta-Sitosteryl palmitate,9852570,Betel Vine ,Piper betle L.,DOI: 10.22159/ijcpr.2018v10i2.25884,CCCCCCCCCCCCCCCC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4C(C)CCC(CC)C(C)C)C)C,C45H80O2,653.12,22,2,0,210.26,26.3,8.67,17.24,14.06,9.34,12.56,-13.3,Low,No,No,No,No,No,No,2,4,0.17,0,No,0.035,No,Yes,2.336,3.458,No,No,0.285,-7.373
Campesterol,173183,Betel Vine ,Piper betle L.,DOI: 10.22159/ijcpr.2018v10i2.25884,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Camphene,6616,Betel Vine ,Piper betle L.,PMID: 27794386,CC1(C2CCC(C2)C1=C)C,C10H16,136.23,0,0,0,45.22,0.0,2.58,4.22,3.0,4.29,3.43,-3.34,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.305,No,No,1.554,2.247,No,No,0.533,1.19
Carvacrol,10364,Betel Vine ,Piper betle L.,DOI: 10.22159/ijcpr.2018v10i2.25884,CC1=C(C=C(C=C1)C(C)C)O,C10H14O,150.22,1,1,1,48.01,20.23,2.24,3.49,2.82,2.76,2.82,-3.31,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,1.007,No,No,2.074,2.212,Yes,Yes,0.387,1.213
