Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(-)-gamma-Cadinene,92313,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CC2C(CC1)C(=C)CCC2C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.39,4.31,4.58,4.63,4.18,-3.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.048,No,No,1.54,1.473,No,Yes,1.73,-0.024
2-Undecanone,8163,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CCCCCCCCCC(=O)C,C11H22O,170.29,8,1,0,55.19,17.07,3.01,4.09,3.72,2.99,3.48,-2.94,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.379,No,No,1.602,2.33,No,Yes,1.465,0.248
"4,5-di-epi-Aristolochene",6429376,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1CCCC2=CCC(CC12C)C(=C)C,C15H24,204.35,1,0,0,68.78,0.0,3.28,5.24,4.73,4.63,4.4,-4.34,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.193,No,No,1.606,1.4,No,Yes,1.626,0.088
4-Terpineol,11230,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CCC(CC1)(C(C)C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.26,2.5,2.3,2.6,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.857,No,No,1.811,2.02,No,Yes,0.189,1.545
Allo-Aromadendrene,42608158,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1CCC2C1C3C(C3(C)C)CCC2=C,C15H24,204.35,0,0,0,67.14,0.0,3.26,4.71,4.27,5.65,4.34,-4.07,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.146,No,No,1.526,1.332,No,No,1.431,0.429
alpha-Cadinol,10398656,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C,C15H26O,222.37,1,1,1,70.72,20.23,3.15,3.34,3.78,3.67,3.43,-3.26,High,Yes,No,Yes,No,No,No,0,0,0.55,0,No,0.343,No,No,1.918,1.475,No,Yes,1.49,0.743
alpha-Calacorene,12302243,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CCC(C2=C1C=CC(=C2)C)C(C)C,C15H20,200.32,1,0,0,68.39,0.0,3.12,4.41,4.54,5.36,4.38,-4.09,Low,No,No,No,No,Yes,No,1,0,0.55,0,No,0.556,No,No,1.91,1.436,No,Yes,2.22,-0.304
alpha-Cubebene,442359,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC1CCC(C2C13C2C(=CC3)C)C(C)C,C15H24,204.35,1,0,0,67.14,0.0,3.41,4.47,4.27,5.65,4.31,-3.86,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.351,No,No,1.568,1.364,No,No,1.483,0.161
alpha-Guaiene,5317844,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC1CCC(CC2=C1CCC2C)C(=C)C,C15H24,204.35,1,0,0,69.04,0.0,3.35,4.58,4.73,4.63,4.29,-3.93,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.397,No,No,1.679,1.365,No,Yes,1.476,0.366
Alpha-Longipinene,12311396,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CCC2C3C1C2(CCCC3(C)C)C,C15H24,204.35,0,0,0,66.88,0.0,3.25,4.62,4.42,5.65,4.37,-4.02,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.141,No,No,1.677,1.334,No,No,0.909,0.56
