Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(-)-alpha-cedrene,6431015,Pippali,Pipper longum,PMID: 31965918,CC1CCC2C13CC=C(C(C3)C2(C)C)C,C15H24,204.35,0,0,0,66.88,0.0,3.2,4.62,4.42,5.65,4.36,-4.02,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.074,No,No,1.555,1.399,No,No,1.43,0.187
(-)-Caryophyllene oxide,1742210,Pippali,Pipper longum,PMID: 31965918,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,C15H24O,220.35,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,3.68,-3.45,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.148,No,No,1.548,1.224,No,Yes,1.079,0.955
()-Terpinen-4-ol,2724161,Pippali,Pipper longum,PMID: 31965918,CC1=CCC(CC1)(C(C)C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.26,2.5,2.3,2.6,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.857,No,No,1.811,2.02,No,Yes,0.189,1.545
(+) -aphanamol I,11031884,Pippali,Pipper longum,PMID: 31965918,CC(C)C1CCC2(C1C=C(CCC2=O)CO)C,C15H24O2,236.35,2,2,1,70.62,37.3,2.69,2.17,2.96,2.63,2.73,-2.54,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.006,No,No,1.612,2.066,No,Yes,1.588,0.894
"(1R,5R,7S)-4,7-dimethyl-7-(4-methylpent-3-enyl)bicyclo[3.1.1]hept-3-ene",13889654,Pippali,Pipper longum,PMID: 31965918,CC1=CCC2CC1C2(C)CCC=C(C)C,C15H24,204.35,3,0,0,68.78,0.0,3.41,6.45,4.73,4.63,4.7,-4.97,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.084,No,No,1.68,1.367,No,Yes,1.562,-0.103
"(2R,4aR,8aR)-2-methyldecalin",12816526,Pippali,Pipper longum,PMID: 31965918,CC1CCC2CCCCC2C1,C11H20,152.28,0,0,0,50.76,0.0,2.86,4.87,3.61,4.72,3.84,-3.85,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,-0.038,No,No,1.556,2.484,No,No,1.096,0.501
"(3R,8S,9S,10R,13R,14R,17R)-17-[(2R,5S)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol (ZINC03982454)",11870467,Pippali,Pipper longum,PMID: 31965918,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
"(5S)-5-[(1R)-1,5-dimethylhex-4-enyl]-2-methylcyclohexa-1,3-diene",11127403,Pippali,Pipper longum,PMID: 31965918,CC1=CCC(C=C1)C(C)CCC=C(C)C,C15H24,204.35,4,0,0,70.68,0.0,3.65,5.17,4.89,4.53,4.47,-4.1,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.414,No,No,1.617,1.329,No,Yes,1.958,-0.029
(E)-5-(4-hydroxy-3-methoxy-phenyl)-1-piperidino-pent-2-en-1-one,11630663,Pippali,Pipper longum,PMID: 31965918,COC1=C(C=CC(=C1)CCC=CC(=O)N2CCCCC2)O,C17H23NO3,289.37,6,3,1,87.61,49.77,3.3,2.52,2.52,2.06,2.73,-3.04,High,Yes,No,Yes,No,Yes,No,0,0,0.55,0,Yes,0.366,No,No,2.245,1.243,Yes,No,1.401,0.925
"(E,E,E)-11-(1,3-Benzodioxol-5-yl)-N-(2-methylpropyl)-2,4,10-undecatrienenamide",6453083,Pippali,Pipper longum,PMID: 31965918,CC(C)CNC(=O)C=CC=CC=CCCC=CC1=CC2=C(C=C1)OCO2,C22H27NO3,353.45,10,3,1,106.67,47.56,4.46,6.19,4.54,3.37,4.82,-5.44,High,Yes,No,Yes,Yes,No,Yes,0,0,0.55,0,No,-0.373,No,Yes,2.971,2.239,Yes,No,1.654,0.011
(R)-(-) –turmerone,558221,Pippali,Pipper longum,PMID: 31965918,CC1=CC=C(C=C1)C(C)CC(=O)C=C(C)C,C15H20O,216.32,4,1,0,69.75,17.07,3.12,3.98,4.02,3.68,3.84,-3.7,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.846,No,No,1.843,1.11,No,Yes,1.945,0.005
(Z)-caryophyllene,6429301,Pippali,Pipper longum,PMID: 31965918,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
"1,4,7,-Cycloundecatriene, 1,5,9,9-tetramethyl-, Z,Z,Z-",5368784,Pippali,Pipper longum,PMID: 31965918,CC1=CCC=C(CC=CC(CC1)(C)C)C,C15H24,204.35,0,0,0,70.42,0.0,3.33,4.8,5.04,4.53,4.32,-4.13,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.543,No,No,1.77,1.361,No,Yes,1.451,0.716
"1,8-cineole",2758,Pippali,Pipper longum,PMID: 31965918,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.67,-2.52,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.553,No,No,2.01,2.029,No,Yes,0.171,1.735
"1-[(2E,4E)-1-oxo-2,4-hexadecadienyl]-piperidine",10980124,Pippali,Pipper longum,PMID: 31965918,CCCCCCCCCCCC=CC=CC(=O)N1CCCCC1,C21H37NO,319.52,13,1,0,107.01,20.31,4.85,7.34,5.65,4.35,5.69,-5.59,High,Yes,Yes,No,No,No,No,1,1,0.55,0,No,-0.411,No,Yes,1.932,0.754,No,Yes,1.983,-0.972
"2,2-Dimethoxybutane (C6H14O2]",137941,Pippali,Pipper longum,PMID: 31965918,CCC(C)(OC)OC,C6H14O2,118.17,3,2,0,33.16,18.46,2.28,1.17,1.41,1.01,1.32,-1.11,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.987,No,No,1.925,2.169,No,Yes,-0.275,2.058
"2,4-Dimethoxytoluene",96403,Pippali,Pipper longum,PMID: 31965918,CC1=C(C=C(C=C1)OC)OC,C9H12O2,152.19,2,2,0,44.39,18.46,2.41,2.76,2.01,1.8,2.25,-2.79,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.868,No,No,1.83,2.235,No,Yes,0.413,1.41
2-Hydroxy myristic acid (C14H28O3],1563,Pippali,Pipper longum,PMID: 31965918,CCCCCCCCCCCCC(C(=O)O)O,C14H28O3,244.37,12,3,2,72.35,57.53,2.55,5.14,3.74,2.81,3.58,-3.8,High,Yes,No,No,Yes,No,No,0,0,0.85,0,No,-0.197,No,No,1.378,2.824,No,Yes,0.503,-0.356
2-Nonynoic acid,61451,Pippali,Pipper longum,PMID: 31965918,CCCCCCC#CC(=O)OCC,C11H18O2,182.26,6,2,0,54.44,26.3,3.27,4.07,2.6,2.76,3.12,-3.14,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.505,No,No,1.604,2.272,No,Yes,1.071,0.679
3-phenylundecane,20655,Pippali,Pipper longum,PMID: 31965918,CCCCCCCCC(CC)C1=CC=CC=C1,C17H28,232.4,9,0,0,79.48,0.0,4.06,7.53,5.93,6.33,5.94,-5.69,Low,No,No,Yes,Yes,No,No,1,1,0.55,0,No,0.799,No,Yes,1.8,1.347,No,Yes,2.383,-0.889
4-[(1-Carboxy-2-methylbutyl)amino]-2(1H)-pyrimidinone,591989,Pippali,Pipper longum,PMID: 31965918,CCC(C)C(C(=O)O)NC1=CC=NC(=O)N1,C10H15N3O3,225.24,5,4,3,59.97,95.08,1.21,0.8,0.49,-1.89,0.32,-1.69,High,No,No,No,No,No,No,0,0,0.56,0,No,1.353,No,No,1.756,2.034,No,No,0.218,2.328
alpha-humulene,5281520,Pippali,Pipper longum,PMID: 31965918,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
Anethole,637563,Pippali,Pipper longum,PMID: 31965918,CC=CC1=CC=C(C=C1)OC,C10H12O,148.2,2,1,0,47.83,9.23,2.55,3.3,2.62,2.67,2.79,-3.11,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.824,No,No,1.798,2.217,No,Yes,0.807,0.869
Beta-Bisabolene,68128,Pippali,Pipper longum,PMID: 31965918,CC1=CCC(CC1)C(=C)CCC=C(C)C,C15H24,204.35,4,0,0,70.68,0.0,3.67,6.43,5.04,4.53,4.83,-4.89,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.418,No,No,1.642,1.347,No,Yes,1.943,-0.065
beta-Cubebene,93081,Pippali,Pipper longum,PMID: 31965918,CC1CCC(C2C13C2C(=C)CC3)C(C)C,C15H24,204.35,1,0,0,67.14,0.0,3.39,4.71,4.27,5.65,4.41,-4.01,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.534,No,No,1.753,1.406,No,No,1.197,-0.059
Beta-Myrcene,31253,Pippali,Pipper longum,PMID: 31965918,CC(=CCCC(=C)C=C)C,C10H16,136.23,4,0,0,48.76,0.0,2.89,4.17,3.48,3.56,3.43,-3.05,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.617,No,No,1.643,2.406,No,No,0.894,0.736
Brachyamide B,14162526,Pippali,Pipper longum,PMID: 31965918,C1CCN(C1)C(=O)C=CCCCCC=CC2=CC3=C(C=C2)OCO3,C20H25NO3,327.42,8,3,0,99.9,38.77,4.04,4.78,3.68,3.08,4.06,-4.54,High,Yes,No,Yes,Yes,Yes,Yes,0,0,0.55,0,No,-0.418,No,No,3.028,1.84,Yes,Yes,1.971,0.573
Calarene,15560279,Pippali,Pipper longum,PMID: 31965918,CC1CCC=C2C1(C3C(C3(C)C)CC2)C,C15H24,204.35,0,0,0,66.88,0.0,3.2,4.66,4.42,5.65,4.37,-4.04,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.07,No,No,1.567,1.385,No,No,1.36,0.373
Cedryl acetate,9838172,Pippali,Pipper longum,PMID: 31965918,CC1CCC2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,C17H28O2,264.4,2,2,0,78.29,26.3,3.39,4.46,4.18,4.04,3.98,-4.16,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,-0.207,No,No,1.646,1.957,No,Yes,1.471,0.525
-cis-.beta.-Elemene diastereomer,6431152,Pippali,Pipper longum,PMID: 31965918,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,C15H24,204.35,3,0,0,70.42,0.0,3.37,6.11,4.75,4.53,4.65,-4.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.058,No,No,1.535,1.309,No,Yes,1.901,0.118
Cis-2-Decalone,246289,Pippali,Pipper longum,PMID: 31965918,C1CCC2CC(=O)CCC2C1,C10H16O,152.23,0,1,0,46.16,17.07,2.12,1.97,2.55,2.3,2.34,-2.02,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.633,No,No,1.693,2.099,No,Yes,0.379,1.223
Cis-Decahydronaphthalene,7044,Pippali,Pipper longum,PMID: 31965918,C1CCC2CCCCC2C1,C10H18,138.25,0,0,0,45.96,0.0,2.65,4.62,3.37,4.43,3.64,-3.61,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.152,No,No,1.54,2.473,No,No,0.88,0.563
Copaene,25245021,Pippali,Pipper longum,PMID: 31965918,CC1=CCC2C3C1C2(CCC3C(C)C)C,C15H24,204.35,1,0,0,67.14,0.0,3.4,4.47,4.27,5.65,4.3,-3.86,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.302,No,No,1.644,1.356,No,No,1.122,0.128
"Cyclodecene, 1-methyl-",5367581,Pippali,Pipper longum,PMID: 31965918,CC1=CCCCCCCCC1,C11H20,152.28,0,0,0,52.4,0.0,2.76,4.54,4.07,4.58,3.9,-3.64,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.722,No,No,1.991,2.522,No,No,0.635,1.352
D-Camphor,159055,Pippali,Pipper longum,PMID: 31965918,CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
Dehydropipernonaline,6439947,Pippali,Pipper longum,PMID: 31965918,C1CCN(CC1)C(=O)C=CC=CCCC=CC2=CC3=C(C=C2)OCO3,C21H25NO3,339.43,7,3,0,104.23,38.77,4.29,4.7,3.84,3.23,4.17,-4.62,High,Yes,No,Yes,Yes,No,Yes,0,0,0.55,0,No,-0.5,No,No,3.037,1.76,Yes,No,1.972,0.583
Delta-elemene,12309449,Pippali,Pipper longum,PMID: 31965918,CC(C)C1=CC(C(CC1)(C)C=C)C(=C)C,C15H24,204.35,3,0,0,70.42,0.0,3.43,5.27,4.75,4.53,4.49,-4.23,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.388,No,No,1.516,1.359,No,Yes,1.928,-0.08
