Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
5-caffeoylquinic acid,5280633,Common Pea,Pisum sativum,PMID: 35052609,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,0.572,No,No,1.514,1.799,No,No,0.252,3.232
Apigenin,5280443,Common Pea,Pisum sativum,PMID: 35052609,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.624,No,No,2.508,1.464,No,No,1.386,1.583
Apigenin-7-O-glucoside,5280704,Common Pea,Pisum sativum,PMID: 35052609,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,4,10,6,106.11,170.05,2.17,1.81,0.05,-1.61,0.55,-3.78,Low,No,No,No,No,No,No,1,0,0.55,0,Yes,-0.087,No,Yes,2.29,1.483,No,No,0.508,2.132
Catechin,9064,Common Pea,Pisum sativum,PMID: 35052609,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,Yes,0.547,No,No,2.39,1.501,No,No,1.147,1.796
Daidzein,5281708,Common Pea,Pisum sativum,PMID: 35052609,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,C15H10O4,254.24,1,4,2,71.97,70.67,1.77,2.47,2.87,1.08,2.24,-3.53,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.713,No,No,2.46,1.896,No,No,1.537,1.476
Diosmin,5281613,Common Pea,Pisum sativum,PMID: 35052609,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,C28H32O15,608.54,7,15,8,143.82,238.2,3.05,0.14,-1.09,-3.23,-0.44,-3.51,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.271,No,Yes,1.831,1.414,No,No,0.294,2.304
Epicatechin,72276,Common Pea,Pisum sativum,PMID: 35052609,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,Yes,0.547,No,No,2.39,1.501,No,No,1.147,1.796
Ferulic acid,445858,Common Pea,Pisum sativum,PMID: 35052609,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,Yes,1.502,No,No,2.105,2.753,No,No,0.548,1.649
Gallic acid,370,Common Pea,Pisum sativum,PMID: 35052609,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,Yes,1.591,No,No,2.014,1.562,No,No,-0.343,2.074
Genistein,5280961,Common Pea,Pisum sativum,PMID: 35052609,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.91,2.67,2.58,0.52,2.04,-3.72,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.624,No,No,2.508,1.464,No,No,1.386,1.583
