Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"(3r)-3,5-Bis(3-methoxy-4-hydroxyphenyl)-2,3-dihydro-2(1h)-pyridinone",154926398,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,COC1=C(C=CC(=C1)C2CC(=CNC2=O)C3=CC(=C(C=C3)O)OC)O,C19H19NO5,341.36,4,5,3,97.27,88.02,2.75,2.04,2.38,1.19,2.19,-3.33,High,No,No,No,No,Yes,No,0,0,0.55,0,No,0.905,No,Yes,2.273,2.19,No,No,0.908,0.927
Apigenin,5280443,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.624,No,No,2.508,1.464,No,No,1.386,1.583
Aurantiamide,185904,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,C1=CC=C(C=C1)CC(CO)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3,C25H26N2O3,402.49,11,3,3,116.61,78.43,2.96,3.87,2.75,3.07,3.37,-4.49,High,Yes,No,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.151,No,Yes,2.35,1.571,Yes,No,1.34,0.956
Aurantiamide acetate,124319,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,CC(=O)OCC(CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3,C27H28N2O4,444.52,13,4,2,126.35,84.5,3.57,4.45,3.32,3.41,3.89,-4.95,High,No,No,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.034,No,Yes,2.499,1.35,Yes,No,1.117,0.769
Dopamine,681,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,C1=CC(=C(C=C1CCN)O)O,C8H11NO2,153.18,2,3,3,42.97,66.48,1.27,-0.98,0.6,0.6,0.46,-0.44,High,No,No,No,No,No,No,0,1,0.55,1,No,1.675,No,No,1.768,3.011,No,Yes,-0.61,1.877
Friedelane,15559345,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,CC1CCCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C,C30H52,412.73,0,0,0,134.19,0.0,4.99,11.61,9.28,9.05,8.55,-9.71,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.053,No,Yes,2.546,2.201,No,No,0.67,-0.647
Kaempferol,5280863,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.54,No,No,2.534,1.43,No,No,1.209,1.689
Linolenic acid,5280934,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,278.43,13,2,1,88.99,37.3,3.36,6.46,5.66,4.38,5.09,-4.78,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,1.47,No,Yes,2.274,2.714,No,Yes,2.143,-0.144
Luteolin,5280445,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,1.73,-3.71,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,Yes,0.54,No,No,2.534,1.43,No,No,1.209,1.689
Melatonin,896,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,C13H16N2O2,232.28,5,2,2,67.18,54.12,1.98,1.59,1.86,0.97,1.83,-2.34,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,1.097,No,No,2.263,2.492,No,No,1.518,1.459
Oleic acid,445639,Common purslane,Portulaca oleraceae ,DOI: 10.1016/j.jep.2017.05.004,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,282.46,15,2,1,89.94,37.3,4.27,7.64,6.11,4.57,5.71,-5.41,High,No,Yes,No,Yes,No,No,1,1,0.85,0,No,1.482,No,Yes,2.316,2.858,No,Yes,2.006,-0.399
