Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
anthocyanins,128861,Plum,Prunus domestica,DOI: 10.1016/j.sajb.2023.06.038,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O,C15H11O6+,287.24,1,6,5,76.17,114.29,-2.62,0.77,2.91,0.32,0.32,-2.6,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.497,No,No,2.464,2.542,No,No,0.29,2.548
benzoic acid,243,Plum,Prunus domestica,DOI: 10.1016/j.sajb.2023.06.038,C1=CC=C(C=C1)C(=O)O,C7H6O2,122.12,1,2,1,33.4,37.3,1.11,1.87,1.38,1.6,1.44,-2.2,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.612,No,No,2.17,2.637,No,No,0.087,1.838
caffeic acid,689043,Plum,Prunus domestica,DOI: 10.1016/j.sajb.2023.06.038,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
catechin,9064,Plum,Prunus domestica,DOI: 10.1016/j.sajb.2023.06.038,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
catechol,289,Plum,Prunus domestica,DOI: 10.1016/j.sajb.2023.06.038,C1=CC=C(C(=C1)O)O,C6H6O2,110.11,0,2,2,30.49,40.46,1.13,0.88,1.1,0.79,0.97,-1.63,High,Yes,No,No,No,No,Yes,0,3,0.55,1,No,-0.017,No,No,2.14,2.313,No,Yes,0.105,2.194
Chlorogenic acid,1794427,Plum,Prunus domestica,DOI: 10.1016/j.sajb.2023.06.038,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
cinnamic acid,444539,Plum,Prunus domestica,DOI: 10.1016/j.sajb.2023.06.038,C1=CC=C(C=C1)C=CC(=O)O,C9H8O2,148.16,2,2,1,43.11,37.3,1.55,2.13,1.68,1.9,1.79,-2.37,High,Yes,No,No,No,No,No,0,2,0.85,0,No,1.11,No,No,2.094,2.651,No,No,0.247,1.719
coumarins ,54678486,Plum,Prunus domestica,DOI: 10.1016/j.sajb.2023.06.038,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,C19H16O4,308.33,4,4,1,88.58,67.51,2.41,2.7,3.61,2.51,3.12,-3.7,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.294,No,No,1.773,1.081,No,No,0.591,0.034
glycosides,637579,Plum,Prunus domestica,DOI: 10.1016/j.sajb.2023.06.038,CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,C29H44O12,584.65,4,12,8,140.66,206.6,2.73,-1.7,-1.51,-1.11,-0.51,-2.13,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.64,No,No,2.641,3.44,No,No,0.285,7.897
proanthocyanidins,107876,Plum,Prunus domestica,DOI: 10.1016/j.sajb.2023.06.038,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC4(C(C(C5=C(C=C(C=C5O4)O)O)O)O)C6=CC(=C(C=C6)O)O,C30H26O13,594.52,4,13,10,147.52,229.99,2.17,1.95,1.98,-0.6,1.23,-4.9,Low,No,No,No,No,No,No,3,2,0.17,1,No,0.438,No,Yes,2.482,3.857,No,No,0.285,10.607
