Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
4-methyl catechol,9958,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,CC1=CC(=C(C=C1)O)O,C7H8O2,124.14,0,2,2,35.45,40.46,1.39,1.37,1.41,1.15,1.33,-1.97,High,Yes,No,No,No,No,Yes,0,3,0.55,1,No,-0.019,No,No,2.287,2.181,No,Yes,0.568,2.193
Beta--Sitosterol,222284,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
caffeic acid,689043,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
catechin,9064,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
catechol,289,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,C1=CC=C(C(=C1)O)O,C6H6O2,110.11,0,2,2,30.49,40.46,1.13,0.88,1.1,0.79,0.97,-1.63,High,Yes,No,No,No,No,Yes,0,3,0.55,1,No,-0.017,No,No,2.14,2.313,No,Yes,0.105,2.194
Chlorogenic acid,1794427,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
dopamine,681,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,C1=CC(=C(C=C1CCN)O)O,C8H11NO2,153.18,2,3,3,42.97,66.48,1.27,-0.98,0.6,0.6,0.46,-0.44,High,No,No,No,No,No,No,0,1,0.55,1,Yes,0.727,No,No,2.579,1.679,No,Yes,-0.229,2.825
gallic acid,370,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Kaempferol,5280863,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
pyrogallol,1057,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,C1=CC(=C(C(=C1)O)O)O,C6H6O3,126.11,0,3,3,32.51,60.69,0.97,0.52,0.8,0.18,0.58,-1.44,High,Yes,No,No,No,No,Yes,0,3,0.55,1,No,-0.269,No,No,2.049,2.374,No,No,0.127,2.734
Quercetin,5280343,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.24,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.23,-3.16,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.471,2.612,No,No,0.288,3.721
Rutin,5280805,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,610.52,6,16,10,141.38,269.43,1.58,-0.33,-1.69,-3.89,-1.29,-3.3,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.452,No,Yes,2.491,3.673,No,No,0.285,7.677
Ursolic acid,64945,Peach,Prunus persica,DOI: 10.5772/intechopen.98385,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,C30H48O3,456.7,1,3,2,136.91,57.53,3.71,7.34,7.09,5.82,5.88,-7.23,Low,No,No,No,No,No,No,1,3,0.85,0,No,0.199,No,No,2.346,2.054,Yes,No,0.285,-0.787
