Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
1-Hexanol,8103,Guava,Psidium guajava,DOI: 10.1016/j.foodchem.2005.07.061,CCCCCCO,C6H14O,102.17,4,1,1,32.12,20.23,2.03,2.03,1.56,1.53,1.69,-1.49,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.962,No,No,1.774,1.819,No,Yes,-0.777,1.775
2-Hexenal,5281168,Guava,Psidium guajava,DOI: 10.1016/j.foodchem.2005.07.061,CCCC=CC=O,C6H10O,98.14,3,1,0,30.68,17.07,1.74,1.52,1.54,1.28,1.5,-1.21,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,0.867,No,No,1.988,1.87,No,Yes,0.685,1.634
3-Phenylpropyl acetate,31226,Guava,Psidium guajava,DOI: 10.1016/j.foodchem.2005.07.061,CC(=O)OCCCC1=CC=CC=C1,C11H14O2,178.23,5,2,0,51.92,26.3,2.53,2.53,2.18,2.58,2.51,-2.55,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.082,No,No,1.918,2.051,Yes,Yes,0.994,0.061
alpha-PHELLANDRENE,7460,Guava,Psidium guajava,DOI: 10.1016/j.foodchem.2005.07.061,CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.754,No,No,1.741,2.328,No,No,0.638,0.942
alpha-PINENE,6654,Guava,Psidium guajava,DOI: 10.1016/j.foodchem.2005.07.061,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
Beta-acoradiene,5316209,Guava,Psidium guajava,DOI: 10.1016/j.foodchem.2005.07.061,CC1CCC(C12CCC(=CC2)C)C(=C)C,C15H24,204.35,1,0,0,68.78,0.0,3.27,5.12,4.73,4.63,4.38,-4.27,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.206,No,No,1.567,1.386,No,Yes,1.543,0.373
"beta-Ocimene, (3Z)-",5320250,Guava,Psidium guajava,DOI: 10.1016/j.foodchem.2005.07.061,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
beta-Pinene,14896,Guava,Psidium guajava,DOI: 10.1016/j.foodchem.2005.07.061,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
Camphene,6616,Guava,Psidium guajava,DOI: 10.1016/j.foodchem.2005.07.061,CC1(C2CCC(C2)C1=C)C,C10H16,136.23,0,0,0,45.22,0.0,2.58,4.22,3.0,4.29,3.43,-3.34,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.305,No,No,1.554,2.247,No,No,0.533,1.19
cis-3-Hexenal,643941,Guava,Psidium guajava,DOI: 10.1016/j.foodchem.2005.07.061,CCC=CCC=O,C6H10O,98.14,3,1,0,30.68,17.07,1.61,1.13,1.54,1.28,1.39,-0.96,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,0.867,No,No,1.72,1.87,No,Yes,-0.485,1.634
