Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(2S)-2-Hydroxybutanedioic acid,222656,Pomegranate,Punica granatum,DOI: 10.1006/jfca.2002.1071,C(C(C(=O)O)O)C(=O)O,C4H6O5,134.09,3,5,3,26.05,94.83,-0.01,-1.26,-1.09,-1.37,-1.0,0.32,High,No,No,No,No,No,No,0,4,0.56,0,No,1.212,No,No,1.818,3.104,No,No,0.285,3.348
Caffeic Acid,689043,Pomegranate,Punica granatum,DOI: 10.1006/jfca.2002.1071,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Chlorogenic Acid,1794427,Pomegranate,Punica granatum,DOI: 10.1006/jfca.2002.1071,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Cianidanol,9064,Pomegranate,Punica granatum,DOI: 10.1006/jfca.2002.1071,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Citric Acid,311,Pomegranate,Punica granatum,DOI: 10.1006/jfca.2002.1071,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,C6H8O7,192.12,5,7,4,37.47,132.13,-1.49,-1.72,-1.25,-1.48,-1.51,0.38,Low,No,No,No,No,No,No,0,2,0.56,0,No,0.749,No,No,2.148,3.698,No,No,0.285,4.251
Coumarin,323,Pomegranate,Punica granatum,DOI: 10.1006/jfca.2002.1071,C1=CC=C2C(=C1)C=CC(=O)O2,C9H6O2,146.14,0,2,0,42.48,30.21,1.75,1.39,1.79,1.65,1.82,-2.29,High,Yes,Yes,No,No,No,No,0,2,0.55,0,No,0.435,No,No,2.112,1.903,No,No,0.365,1.555
DL-Tartaric acid,875,Pomegranate,Punica granatum,DOI: 10.1006/jfca.2002.1071,C(C(C(=O)O)O)(C(=O)O)O,C4H6O6,150.09,3,6,4,27.21,115.06,-0.83,-1.88,-2.12,-2.18,-1.78,0.61,Low,No,No,No,No,No,No,0,4,0.56,0,No,1.212,No,No,1.744,3.769,No,No,0.285,3.965
Ferulic acid,445858,Pomegranate,Punica granatum,DOI: 10.1006/jfca.2002.1071,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Gallic Acid,370,Pomegranate,Punica granatum,DOI: 10.1006/jfca.2002.1071,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Oxalic Acid,971,Pomegranate,Punica granatum,DOI: 10.1006/jfca.2002.1071,C(=O)(C(=O)O)O,C2H2O4,90.03,1,4,2,15.27,74.6,-0.35,-0.25,-0.84,-1.51,-0.79,-0.17,High,No,No,No,No,No,No,0,4,0.85,0,No,1.403,No,No,1.68,2.96,No,No,0.281,2.403
